"HHID","h17q1","h17q2","h17q3","h17q4","h17q5","h17q6","h17q7","h17q8","h17q9","wgt_X"
"H01604-04-01","P01604-001",1,1,1,3,2,12,12,2,1874.79821777344
"H01605-04-01","P01605-008",1,2,1,3,2,12,12,2,1874.79821777344
"H01607-04-01","P01607-001",1,1,1,3,2,4,4,2,1874.79821777344
"H01612-04-01","P01612-002",1,1,1,3,2,7,4,2,1874.79821777344
"H01801-04-01","P01801-002",1,1,1,3,2,12,1,2,1874.79821777344
"H01806-04-01","P01806-002",1,1,1,3,2,4,4,2,937.399108886719
"H01806-04-02","P01806-001",1,1,1,3,2,2,6,2,937.399108886719
"H01809-04-01","P01809-001",1,2,1,3,2,12,1,2,1874.79821777344
"H01813-04-01","P01813-001",1,1,1,2,2,4,5,1,1874.79821777344
"H02108-04-01","P02108-001",1,2,1,3,5,4,4,2,1874.79821777344
"H02110-04-01","P02110-002",1,1,1,3,2,12,4,2,1874.79821777344
"H02111-04-01","P02111-002",1,2,1,3,2,2,2,2,1874.79821777344
"H02113-04-01","P02113-001",1,1,1,3,2,12,1,2,1874.79821777344
"H02203-04-01","P02203-003",1,2,1,3,2,12,1,2,1874.79821777344
"H02205-04-01","P02205-002",1,1,1,3,2,12,96,2,1874.79821777344
"H02206-04-01","P02206-005",1,1,1,3,2,1,1,2,1874.79821777344
"H02207-04-01","P02207-001",1,1,1,4,2,12,8,2,1874.79821777344
"H02304-04-01","P02304-002",1,3,1,1,2,12,12,2,1874.79821777344
"H02305-04-01","P02305-001",1,1,1,3,1,12,1,2,1874.79821777344
"H02310-04-01","P02310-002",1,2,1,2,2,12,4,2,1874.79821777344
"H02401-04-01","P02401-001",1,2,1,3,1,12,12,1,1874.79821777344
"H02407-04-01","P02407-001",1,3,1,1,2,12,12,2,1874.79821777344
"H02409-04-01","P02409-001",1,3,1,1,2,12,12,2,1874.79821777344
"H02412-04-01","P02412-006",1,1,1,3,2,4,4,2,1874.79821777344
"H02507-04-01","P02507-002",1,1,1,3,2,8,8,2,1874.79809570313
"H02601-04-01","P02601-006",1,3,1,2,2,12,12,2,937.399108886719
"H02601-04-02","P02601-001",1,1,1,3,2,96,4,2,937.399108886719
"H02602-04-01","P02602-005",1,2,1,3,2,4,4,2,1874.79821777344
"H02608-04-01","P02608-001",1,1,1,3,2,9,12,2,937.399108886719
"H02608-04-02","P02608-004",1,1,1,3,2,2,12,2,937.399108886719
"H02609-04-01","P02609-001",1,3,1,3,1,12,12,2,1874.79821777344
"H02703-04-02","P02703-016",1,1,1,3,2,12,2,2,1874.79821777344
"H02705-04-01","P02705-008",1,1,1,3,2,12,12,2,937.399108886719
"H02705-04-02","P02705-003",1,3,1,4,2,12,12,2,937.399108886719
"H02706-04-01","P02706-009",1,1,1,3,2,4,12,2,1874.79821777344
"H02710-04-01","P02710-001",1,2,2,2,2,4,1,1,1874.79821777344
"H02711-04-01","P02711-001",1,3,1,2,2,12,12,2,624.932739257813
"H02711-04-02","P02711-006",1,1,1,2,2,12,12,2,624.932739257813
"H02711-04-03","P02711-005",1,1,1,3,2,8,12,2,624.932739257813
"H02802-04-01","P02802-002",1,1,1,3,2,12,12,2,1874.79821777344
"H02803-04-01","P02803-001",1,1,1,2,2,12,4,2,1874.79821777344
"H02811-04-01","P02811-001",1,1,1,3,2,12,1,2,1874.79821777344
"H03001-04-01","P03001-002",1,2,2,3,2,4,4,2,1874.79821777344
"H03003-04-01","P03003-001",1,1,1,3,2,2,2,2,1874.79821777344
"H03005-04-01","P03005-001",1,1,1,3,2,4,4,1,1874.79821777344
"H03006-04-01","P03006-001",1,1,1,3,2,12,4,2,1874.79821777344
"H03010-04-01","P03010-002",1,1,1,3,2,12,4,2,1874.79821777344
"H03401-04-01","P03401-005",1,1,1,3,2,12,12,2,1874.79821777344
"H03408-04-01","P03408-001",1,2,2,2,1,7,7,2,1874.79821777344
"H03409-04-01","P03409-004",1,1,1,3,2,11,4,2,937.399108886719
"H03409-04-02","P03409-002",1,1,1,3,2,4,12,2,937.399108886719
"H03410-04-01","P03410-002",1,2,1,3,2,12,11,2,937.399108886719
"H03410-04-02","P03410-007",1,1,1,3,2,96,4,2,937.399108886719
"H03503-04-01","P03503-002",1,1,1,3,2,12,1,2,1874.79809570313
"H03511-04-01","P03511-005",1,1,2,1,3,3,12,1,1874.79809570313
"H03512-04-01","P03512-001",1,3,1,0,4,12,12,2,1874.79809570313
"H03515-04-01","P03515-001",1,2,1,1,2,12,12,2,1874.79809570313
"H03601-04-01","P03601-001",1,2,2,2,2,7,12,2,2551.70141601563
"H03602-04-04","P03602-001",1,2,2,3,1,4,4,2,2551.70141601563
"H03603-04-05","P03603-001",1,2,2,2,1,12,4,2,2551.70141601563
"H03604-04-04","P03604-003",1,2,1,3,2,2,2,2,850.567138671875
"H03604-04-08","P03604-023",1,1,1,,2,12,2,2,850.567138671875
"H03604-04-09","P03604-032",1,2,1,2,5,12,7,1,850.567138671875
"H03605-04-02","P03605-006",1,1,1,2,5,7,7,2,2551.70141601563
"H03607-04-01","P03607-001",1,1,2,2,2,12,4,2,2551.70141601563
"H03608-04-01","P03608-001",1,3,1,3,2,12,12,2,2551.70141601563
"H03704-04-01","P03704-001",1,3,1,2,2,12,12,2,2551.70141601563
"H03705-04-01","P03705-002",1,1,1,3,2,12,12,2,2551.70141601563
