"HHID","h17q1","h17q2","h17q3","h17q4","h17q5","h17q6","h17q7","h17q8","h17q9","wgt_X"
"H13310-04-06","P13310-078",1,1,1,3,1,4,4,2,324.663391113281
"H13310-04-07","P13310-074",1,2,2,3,2,12,4,2,324.663391113281
"H13311-04-01","P13311-002",1,2,2,3,2,4,4,2,2272.6435546875
"H14001-04-01","P14001-001",1,2,2,2,1,9,9,1,2935.46557617188
"H14002-04-01","P14002-002",1,2,2,2,2,3,3,2,2935.46557617188
"H14003-04-01","P14003-001",1,2,2,2,1,11,11,2,978.488586425781
"H14003-04-02","P14003-021",1,2,1,2,1,4,4,2,978.488586425781
"H14003-04-03","P14003-013",1,3,1,3,1,12,12,2,978.488586425781
"H14004-04-01","P14004-002",1,2,2,2,1,12,12,1,978.488586425781
"H14004-04-02","P14004-016",1,2,2,2,1,1,1,1,978.488586425781
"H14004-04-03","P14004-003",1,2,2,2,1,3,3,1,978.488586425781
"H14005-04-01","P14005-001",1,2,2,2,2,12,11,2,2935.46557617188
"H14006-04-01","P14006-002",1,2,2,3,1,3,3,2,1467.73278808594
"H14006-04-02","P14006-003",1,2,1,3,1,6,12,2,1467.73278808594
"H14007-04-01","P14007-004",1,2,2,3,1,7,7,1,2935.46557617188
"H14008-04-01","P14008-001",1,2,2,2,2,3,3,2,1467.73278808594
"H14008-04-02","P14008-005",1,2,2,2,2,3,12,2,1467.73278808594
"H14009-04-01","P14009-003",2,2,2,1,2,12,3,1,2935.46557617188
"H14010-04-01","P14010-001",1,1,2,3,2,12,12,1,2935.46557617188
"H14101-04-01","P14101-002",1,1,1,4,1,1,1,2,2935.46557617188
"H14104-04-01","P14104-002",1,2,2,3,1,12,1,2,1467.73278808594
"H14104-04-02","P14104-003",1,1,1,2,1,12,12,2,1467.73278808594
"H14106-04-01","P14106-001",1,1,1,2,1,1,1,1,2935.46557617188
"H14109-04-01","P14109-007",1,2,1,3,2,12,12,2,978.488586425781
"H14109-04-03","P14109-024",1,1,1,3,2,2,2,2,978.488586425781
"H14109-04-04","P14109-002",1,2,1,3,2,6,3,2,978.488586425781
"H14110-04-01","P14110-009",1,2,1,3,2,12,12,2,2935.46557617188
"H14111-04-01","P14111-002",1,1,1,4,1,12,2,2,2935.46557617188
"H14201-04-01","P14201-002",1,1,1,2,1,12,96,2,2935.46557617188
"H14202-04-01","P14202-001",1,1,2,3,1,12,6,1,2935.46557617188
"H14203-04-01","P14203-002",1,2,2,3,2,3,11,2,2935.46557617188
"H14206-04-01","P14206-001",1,2,2,2,1,3,3,2,2935.46557617188
"H14207-04-01","P14207-001",1,1,1,3,1,7,7,2,978.488586425781
"H14207-04-02","P14207-008",1,2,2,3,2,2,4,2,978.488586425781
"H14207-04-03","P14207-001",1,2,2,3,1,2,12,2,978.488586425781
"H14208-04-01","P14208-002",2,2,2,2,2,11,11,2,2935.46557617188
"H14209-04-01","P14209-001",1,1,1,3,2,12,1,2,2935.46557617188
"H14210-04-01","P14210-010",1,2,2,3,2,11,11,1,2935.46557617188
"H14301-04-01","P14301-001",1,2,2,3,1,12,2,2,1467.73278808594
"H14301-04-02","P14301-002",1,2,2,2,1,11,11,2,1467.73278808594
"H14302-04-01","P14302-001",1,2,2,2,1,12,3,1,733.866394042969
"H14302-04-02","P14302-010",1,2,2,2,3,11,11,1,733.866394042969
"H14302-04-03","P14302-034",1,2,2,3,1,7,7,1,733.866394042969
"H14302-04-04","P14302-019",1,2,2,3,1,1,1,2,733.866394042969
"H14303-04-01","P14303-001",1,2,2,3,1,96,96,1,2935.46557617188
"H14304-04-01","P14304-010",1,2,2,2,1,12,12,2,733.866394042969
"H14304-04-02","P14304-002",1,2,2,2,1,11,11,2,733.866394042969
"H14304-04-03","P14304-004",1,2,2,3,2,8,8,2,733.866394042969
"H14304-04-04","P14304-011",1,2,2,3,1,7,7,2,733.866394042969
"H14305-04-01","P14305-001",1,2,2,2,1,3,3,2,2935.46557617188
"H14306-04-01","P14306-001",1,2,2,2,2,12,3,2,1467.73278808594
"H14306-04-02","P14306-003",1,1,2,3,1,7,8,2,1467.73278808594
"H14307-04-01","P14307-001",1,2,2,3,1,3,3,2,2935.46557617188
"H14308-04-01","P14308-002",1,2,1,3,1,12,12,2,1467.73278808594
"H14308-04-02","P14308-007",1,2,2,3,1,7,7,1,1467.73278808594
"H14309-04-01","P14309-002",1,2,2,2,1,11,11,2,587.093139648438
"H14309-04-02","P14309-018",2,2,2,2,1,3,3,2,587.093139648438
"H14309-04-03","P14309-031",2,2,2,2,1,3,3,2,587.093139648438
"H14309-04-04","P14309-022",2,2,2,3,1,3,3,2,587.093139648438
"H14309-04-05","P14309-012",1,2,2,3,2,7,7,2,587.093139648438
"H14310-04-01","P14310-002",2,2,2,2,1,12,11,2,2935.46557617188
"H14401-04-01","P14401-003",1,2,2,2,1,3,3,1,2935.46557617188
"H14402-04-01","P14402-002",1,3,2,2,1,12,12,2,1467.73278808594
"H14402-04-02","P14402-004",1,2,2,3,1,9,9,1,1467.73278808594
"H14403-04-01","P14403-002",2,2,2,2,1,11,11,1,2935.46557617188
"H14404-04-01","P14404-010",1,2,2,2,1,3,3,2,978.488586425781
"H14404-04-02","P14404-017",1,3,2,2,1,11,12,2,978.488586425781
"H14404-04-03","P14404-007",1,2,2,2,1,11,11,2,978.488586425781
"H14405-04-01","P14405-002",2,2,2,2,1,11,11,2,2935.46557617188
"H14406-04-01","P14406-004",1,2,2,2,1,12,12,2,2935.46557617188
"H14407-04-01","P14407-001",1,2,2,2,1,12,11,2,1467.73278808594
"H14407-04-02","P14407-002",1,2,2,2,1,4,3,2,1467.73278808594
"H14408-04-01","P14408-001",1,2,2,2,1,11,11,2,2935.46557617188
"H14409-04-01","P14409-001",1,2,2,2,2,11,11,2,2935.46557617188
"H14410-04-02","P14410-001",1,2,1,2,1,12,11,1,2935.46557617188
"H14601-04-01","P14601-001",1,1,1,3,4,11,12,2,2935.46557617188
"H14606-04-01","P14606-010",1,2,1,3,2,4,4,2,2935.46557617188
"H14612-04-01","P14612-002",1,1,1,3,2,12,96,2,2935.46557617188
"H14801-04-01","P14801-001",1,3,2,2,2,12,12,2,1467.73278808594
"H14801-04-02","P14801-002",1,2,2,3,1,9,9,2,1467.73278808594
"H14802-04-01","P14802-001",1,2,2,1,1,12,11,1,2935.46557617188
"H14803-04-01","P14803-001",1,2,2,3,2,7,7,1,2935.46557617188
"H14804-04-01","P14804-001",1,2,2,3,1,12,4,2,2935.46557617188
"H14805-04-01","P14805-002",1,2,2,2,1,11,11,1,2935.46557617188
"H14806-04-01","P14806-008",1,2,1,3,1,1,1,1,978.488464355469
"H14806-04-02","P14806-002",1,2,1,3,1,1,1,2,978.488464355469
"H14806-04-03","P14806-012",1,2,1,3,1,1,1,2,978.488464355469
"H14807-04-01","P14807-002",1,2,2,2,1,3,4,2,1467.73278808594
"H14807-04-02","P14807-003",1,2,2,4,1,12,12,2,1467.73278808594
"H14808-04-01","P14808-002",1,1,1,2,1,12,12,2,1467.73278808594
"H14808-04-02","P14808-003",1,1,1,3,1,1,1,2,1467.73278808594
"H14809-04-01","P14809-001",1,1,2,3,1,7,7,2,2935.46557617188
"H14810-04-01","P14810-002",1,2,2,2,2,1,2,2,2935.46557617188
"H14903-04-01","P14903-002",1,2,1,3,2,12,1,2,1467.73278808594
"H14903-04-02","P14903-013",1,1,1,3,1,96,12,1,1467.73278808594
"H14904-04-01","P14904-001",1,2,2,2,1,12,11,1,2935.46557617188
"H14906-04-01","P14906-002",1,2,2,2,1,12,11,1,1467.73278808594
"H14906-04-02","P14906-007",1,3,1,3,2,12,12,2,1467.73278808594
"H14907-04-01","P14907-001",1,2,1,3,3,12,11,1,2935.46557617188
"H14908-04-01","P14908-001",1,2,1,3,2,4,5,1,2935.46557617188
"H14910-04-01","P14910-001",1,2,2,3,2,7,7,2,2935.46557617188
"H15002-04-01","P15002-002",1,3,2,3,2,12,12,2,2935.46557617188
"H15003-04-01","P15003-002",1,1,1,3,2,11,1,2,2935.46557617188
"H15004-04-01","P15004-001",1,1,1,2,1,12,11,2,2935.46557617188
"H15005-04-01","P15005-001",1,1,1,3,1,11,12,2,2935.46557617188
"H15006-04-01","P15006-001",1,2,2,3,1,12,3,2,2935.46557617188
"H15007-04-01","P15007-002",1,2,1,3,1,4,4,2,1467.73278808594
"H15007-04-02","P15007-010",1,1,1,3,2,12,4,2,1467.73278808594
"H15008-04-01","P15008-002",1,2,2,1,1,4,4,1,1467.73278808594
"H15008-04-02","P15008-010",1,3,1,3,1,12,12,1,1467.73278808594
"H15009-04-01","P15009-001",1,2,1,3,2,2,2,1,2935.46557617188
"H15010-04-01","P15010-001",1,2,1,3,2,4,4,2,2935.46557617188
"H15101-04-01","P15101-001",1,2,1,3,1,1,1,2,2935.46606445313
"H15102-04-01","P15102-002",1,2,2,3,2,12,4,1,1467.73303222656
"H15102-04-02","P15102-006",1,2,1,3,3,12,12,2,1467.73303222656
"H15103-04-01","P15103-001",1,2,2,3,2,12,7,2,2935.46606445313
"H15104-04-01","P15104-001",1,2,2,3,1,12,1,2,2935.46606445313
"H15105-04-01","P15105-002",1,2,1,3,1,1,1,1,2935.46606445313
"H15106-04-01","P15106-001",1,1,1,3,1,11,11,2,2935.46606445313
"H15107-04-01","P15107-001",1,1,1,3,1,12,12,2,2935.46606445313
"H15108-04-01","P15108-001",1,2,1,3,2,4,4,2,2935.46606445313
"H15109-04-01","P15109-002",1,2,2,3,1,11,11,2,1467.73303222656
"H15109-04-02","P15109-010",1,1,1,3,2,12,4,2,1467.73303222656
"H15110-04-01","P15110-001",1,2,1,3,2,12,7,2,2935.46606445313
"H15301-04-01","P15301-004",1,2,1,3,2,1,1,2,1467.73278808594
"H15301-04-02","P15301-007",1,1,1,3,2,12,4,2,1467.73278808594
"H15302-04-01","P15302-001",1,2,1,3,2,2,2,1,2935.46557617188
"H15304-04-01","P15304-001",1,2,2,2,1,12,12,2,2935.46557617188
"H15305-04-01","P15305-002",1,2,1,3,2,1,1,2,2935.46557617188
"H15306-04-01","P15306-003",1,2,1,2,1,1,1,2,2935.46557617188
"H15308-04-01","P15308-001",1,1,2,3,5,12,7,2,2935.46557617188
"H15309-04-01","P15309-002",1,1,2,3,1,12,1,2,1467.73278808594
"H15309-04-02","P15309-006",1,2,1,3,3,96,12,1,1467.73278808594
"H15310-04-01","P15310-002",1,2,2,3,1,9,9,2,2935.46557617188
"H15502-04-01","P15502-001",1,1,1,3,2,12,7,2,2935.46557617188
"H15503-04-01","P15503-001",1,1,2,3,1,12,4,2,2935.46557617188
"H15504-04-01","P15504-001",1,1,2,3,1,12,4,2,2935.46557617188
"H15505-04-01","P15505-001",1,2,2,3,2,2,12,2,1467.73278808594
"H15505-04-02","P15505-007",1,2,2,3,1,2,2,1,1467.73278808594
"H15506-04-01","P15506-003",1,1,2,3,1,4,4,1,2935.46557617188
"H15508-04-01","P15508-001",1,2,1,3,1,1,1,2,2935.46557617188
"H15509-04-01","P15509-001",1,2,1,3,2,11,2,2,2935.46557617188
"H15510-04-01","P15510-001",1,1,1,3,2,2,2,2,2935.46557617188
"H15902-04-01","P15902-001",1,3,2,2,1,12,12,2,2935.46606445313
"H15903-04-01","P15903-002",1,2,2,3,2,9,9,2,2935.46606445313
"H15904-04-01","P15904-002",1,2,2,2,2,11,11,1,2935.46606445313
"H15905-04-01","P15905-002",1,2,1,3,2,1,1,2,2935.46606445313
"H15907-04-01","P15907-001",1,2,2,2,1,11,11,2,1467.73303222656
"H15907-04-02","P15907-011",1,1,1,3,1,12,12,2,1467.73303222656
"H15908-04-01","P15908-001",1,1,1,2,1,12,12,1,2935.46606445313
"H15909-04-01","P15909-002",1,1,1,3,2,12,2,2,978.488708496094
"H15909-04-02","P15909-010",1,1,1,3,2,2,2,2,978.488708496094
"H15909-04-03","P15909-014",1,2,2,2,3,96,96,1,978.488708496094
"H15910-04-01","P15910-001",1,2,2,1,2,12,12,2,2935.46606445313
"H16201-04-01","P16201-001",1,3,2,2,1,12,12,1,1467.73278808594
"H16201-04-02","P16201-002",1,1,1,3,1,2,1,2,1467.73278808594
"H16202-04-01","P16202-001",1,3,2,2,1,12,12,1,2935.46557617188
"H16203-04-01","P16203-001",1,3,2,3,1,12,11,2,2935.46557617188
"H16204-04-01","P16204-001",1,2,1,3,2,12,7,2,2935.46557617188
"H16205-04-01","P16205-001",1,2,2,3,1,7,7,2,2935.46557617188
"H16206-04-01","P16206-008",2,2,2,2,1,11,11,2,2935.46557617188
"H16207-04-01","P16207-002",1,1,2,3,1,12,12,2,2935.46557617188
"H16208-04-01","P16208-002",1,2,2,2,2,11,11,2,2935.46557617188
"H16209-04-01","P16209-002",1,2,2,3,1,3,3,2,2935.46557617188
"H16210-04-01","P16210-002",1,2,1,4,1,7,7,2,2935.46557617188
"H16302-04-01","P16302-001",1,3,1,3,2,12,12,2,2935.46557617188
"H16304-04-01","P16304-002",1,2,2,3,2,4,4,2,2935.46557617188
"H16305-04-01","P16305-002",1,1,2,2,1,12,12,1,978.488586425781
"H16305-04-02","P16305-003",1,1,1,3,1,12,12,2,978.488586425781
"H16305-04-03","P16305-005",2,2,1,3,1,9,9,1,978.488586425781
"H16306-04-01","P16306-001",1,1,1,4,2,96,12,2,2935.46557617188
"H16307-04-01","P16307-007",1,2,2,2,2,11,11,1,2935.46557617188
"H16308-04-01","P16308-001",1,1,1,3,2,7,7,1,1467.73278808594
"H16308-04-02","P16308-007",1,2,2,3,1,7,7,2,1467.73278808594
"H16309-04-01","P16309-001",1,3,1,2,2,12,12,2,2935.46557617188
"H16310-04-01","P16310-001",1,2,1,3,2,9,9,2,2935.46557617188
"H16401-04-01","P16401-001",1,2,1,3,1,7,7,2,2935.46557617188
"H16402-04-01","P16402-001",1,2,2,2,2,3,3,2,2935.46557617188
"H16403-04-01","P16403-001",1,2,2,2,1,12,4,2,2935.46557617188
"H16404-04-01","P16404-003",1,1,1,3,2,96,96,2,2935.46557617188
"H16405-04-01","P16405-002",1,3,1,3,2,12,12,2,1467.73278808594
"H16405-04-02","P16405-004",2,2,2,3,2,3,12,2,1467.73278808594
"H16406-04-01","P16406-001",1,2,2,2,1,11,11,2,2935.46557617188
"H16407-04-01","P16407-001",1,2,2,3,1,4,4,2,978.488586425781
"H16407-04-02","P16407-002",1,1,2,2,1,11,11,2,978.488586425781
"H16407-04-03","P16407-009",1,2,2,3,1,3,3,2,978.488586425781
"H16408-04-01","P16408-001",1,1,1,3,1,2,2,1,2935.46557617188
"H16409-04-01","P16409-002",1,2,2,2,2,2,2,2,733.866394042969
"H16409-04-02","P16409-008",1,1,2,2,1,12,12,2,733.866394042969
"H16409-04-03","P16409-019",1,2,2,3,1,11,11,2,733.866394042969
"H16409-04-04","P16409-015",1,2,1,2,2,7,7,2,733.866394042969
"H16410-04-01","P16410-001",1,2,2,2,2,12,3,2,2935.46557617188
"H16501-04-01","P16501-001",1,3,2,3,1,12,12,2,1467.73278808594
"H16501-04-02","P16501-004",1,2,2,2,2,12,3,2,1467.73278808594
"H16502-04-01","P16502-001",1,2,1,3,1,3,3,2,2935.46557617188
"H16503-04-01","P16503-001",1,2,1,2,1,12,11,2,2935.46557617188
"H16505-04-01","P16505-006",1,1,1,4,1,4,4,1,978.488586425781
"H16505-04-02","P16505-014",2,2,2,3,1,3,12,2,978.488586425781
"H16505-04-03","P16505-004",1,2,2,2,1,11,11,2,978.488586425781
"H16506-04-01","P16506-006",1,2,2,3,2,3,12,2,2935.46557617188
"H16507-04-01","P16507-003",1,2,1,2,1,2,2,1,2935.46557617188
"H16508-04-01","P16508-001",1,2,1,3,1,2,2,2,2935.46557617188
"H16509-04-01","P16509-002",1,2,1,3,2,12,7,2,2935.46557617188
"H16510-04-01","P16510-001",1,2,1,2,1,12,11,2,2935.46557617188
"H16604-04-01","P16604-002",1,1,1,2,2,12,11,2,1467.73278808594
"H16604-04-02","P16604-006",1,1,1,3,2,12,12,2,1467.73278808594
"H16606-04-01","P16606-002",1,2,2,3,1,12,11,1,2935.46557617188
"H16607-04-01","P16607-002",1,2,1,3,2,12,4,2,2935.46557617188
"H16609-04-01","P16609-001",1,2,1,3,2,4,4,2,2935.46557617188
"H16611-04-01","P16611-001",1,1,1,3,2,1,1,2,2935.46557617188
"H16701-04-01","P16701-002",1,2,2,3,1,4,4,1,2935.46557617188
"H16702-04-01","P16702-002",1,1,2,3,1,5,5,2,2935.46557617188
"H16703-04-01","P16703-002",1,2,1,2,1,12,3,1,1467.73278808594
"H16703-04-02","P16703-010",1,1,1,3,1,2,12,2,1467.73278808594
"H16704-04-01","P16704-002",1,2,1,3,1,2,12,2,1467.73278808594
"H16704-04-02","P16704-011",1,1,1,3,1,4,12,2,1467.73278808594
"H16705-04-01","P16705-002",1,2,2,3,2,4,4,2,2935.46557617188
"H16707-04-01","P16707-001",1,2,2,2,3,12,11,1,2935.46557617188
"H16708-04-01","P16708-002",1,2,1,3,1,1,1,2,2935.46557617188
"H16709-04-01","P16709-001",1,1,1,2,2,12,12,1,2935.46557617188
"H16710-04-01","P16710-002",1,2,1,3,2,12,4,2,2935.46557617188
"H16802-04-01","P16802-002",1,2,1,3,2,12,1,2,2935.46606445313
"H16803-04-01","P16803-002",1,1,2,3,1,4,4,1,2935.46606445313
"H16804-04-01","P16804-001",1,1,1,3,1,7,7,2,1467.73303222656
"H16804-04-03","P16804-007",1,1,1,3,1,1,12,2,1467.73303222656
"H16806-04-01","P16806-001",1,2,2,2,3,11,11,2,1467.73303222656
"H16806-04-02","P16806-011",1,2,1,2,2,96,12,2,1467.73303222656
"H16807-04-01","P16807-002",1,2,2,3,1,96,11,2,2935.46606445313
"H16808-04-01","P16808-001",1,1,1,3,1,1,12,2,2935.46606445313
"H16809-04-01","P16809-005",1,2,1,2,1,12,12,1,978.488708496094
"H16809-04-02","P16809-009",1,2,1,3,2,4,4,2,978.488708496094
"H16809-04-03","P16809-002",1,2,2,3,1,2,2,2,978.488708496094
"H16810-04-01","P16810-003",1,2,1,3,1,4,4,1,2935.46606445313
"H17002-04-01","P17002-002",1,2,2,3,1,12,4,2,2935.46557617188
"H17003-04-01","P17003-002",1,1,2,3,2,9,9,2,2935.46557617188
"H17005-04-01","P17005-001",1,1,1,3,2,6,6,2,2935.46557617188
"H17006-04-01","P17006-001",1,1,1,3,2,12,4,2,2935.46557617188
"H17007-04-01","P17007-001",1,3,2,2,1,12,12,1,1467.73278808594
"H17007-04-02","P17007-002",1,1,1,3,1,12,3,2,1467.73278808594
"H17008-04-01","P17008-001",1,1,1,2,2,7,7,2,2935.46557617188
"H17009-04-01","P17009-001",1,1,1,3,1,12,1,1,1467.73278808594
"H17009-04-02","P17009-009",1,1,1,3,1,1,12,2,1467.73278808594
"H17010-04-01","P17010-002",1,1,1,3,2,12,4,2,1467.73278808594
"H17010-04-02","P17010-003",1,3,1,3,2,12,12,2,1467.73278808594
"H17101-04-01","P17101-001",1,3,2,2,4,12,12,2,2935.46557617188
"H17102-04-01","P17102-002",1,2,2,3,1,1,1,1,2935.46557617188
"H17103-04-01","P17103-010",1,1,1,3,2,12,1,2,2935.46557617188
"H17105-04-01","P17105-001",1,1,1,2,2,12,1,2,2935.46557617188
"H17107-04-01","P17107-003",1,2,2,2,1,12,12,1,2935.46557617188
"H17108-04-01","P17108-001",1,1,1,3,1,12,11,2,2935.46557617188
"H17109-04-01","P17109-001",1,2,1,3,2,9,9,1,2935.46557617188
"H17110-04-01","P17110-001",1,2,2,3,2,2,2,2,2935.46557617188
"H17201-04-01","P17201-001",2,2,2,2,2,3,12,2,757.547973632813
"H17201-04-02","P17201-004",1,2,1,3,2,4,12,2,757.547973632813
"H17201-04-03","P17201-011",1,2,1,2,1,1,12,1,757.547973632813
"H17202-04-01","P17202-002",1,2,2,3,2,4,4,1,2272.64404296875
"H17203-04-01","P17203-001",1,2,2,3,2,4,4,2,2272.64404296875
"H17204-04-01","P17204-001",1,1,1,3,2,12,4,2,2272.64404296875
"H17205-04-01","P17205-001",1,2,2,3,2,3,12,2,2272.64404296875
"H17206-04-01","P17206-001",1,1,1,3,2,4,4,2,2272.64404296875
"H17207-04-01","P17207-001",1,2,2,3,2,3,3,2,1136.32202148438
"H17207-04-02","P17207-003",1,2,1,3,1,96,12,2,1136.32202148438
"H17208-04-01","P17208-001",1,3,2,3,1,12,12,1,2272.64404296875
"H17210-04-01","P17210-002",1,1,1,3,2,12,4,2,2272.64404296875
"H17301-04-01","P17301-002",1,2,2,2,2,4,4,2,2272.64404296875
"H17302-04-01","P17302-001",1,2,1,3,1,12,12,2,2272.64404296875
"H17308-04-01","P17308-002",1,2,1,2,2,3,3,2,2272.64404296875
"H17309-04-01","P17309-002",1,2,2,2,1,12,11,1,2272.64404296875
"H17310-04-01","P17310-001",1,1,2,3,2,4,4,2,2272.64404296875
"H17401-04-01","P17401-002",1,1,1,3,2,12,5,2,1467.73278808594
"H17401-04-02","P17401-003",1,2,2,3,1,7,12,2,1467.73278808594
"H17403-04-01","P17403-001",1,3,2,3,2,12,12,1,2935.46557617188
"H17404-04-01","P17404-002",1,2,2,3,1,4,4,2,2935.46557617188
"H17405-04-01","P17405-001",1,2,2,2,1,12,12,2,2935.46557617188
"H17406-04-01","P17406-002",2,1,1,3,2,12,1,2,1467.73278808594
"H17406-04-03","P17406-003",1,1,1,3,4,12,12,2,1467.73278808594
"H17408-04-01","P17408-004",1,1,1,3,2,12,12,2,2935.46557617188
"H17409-04-01","P17409-001",1,2,1,3,2,2,2,2,2935.46557617188
"H17410-04-01","P17410-002",1,1,1,3,2,2,12,2,2935.46557617188
"H17502-04-01","P17502-001",1,2,1,3,2,2,2,2,2935.46557617188
"H17503-04-01","P17503-001",1,2,1,3,2,5,5,2,2935.46557617188
"H17504-04-02","P17504-001",1,3,1,3,1,12,12,2,2935.46557617188
"H17506-04-01","P17506-009",1,2,2,3,2,4,4,2,2935.46557617188
"H17507-04-01","P17507-008",1,1,1,3,2,12,12,1,2935.46557617188
"H17508-04-01","P17508-001",1,1,2,2,1,12,12,1,2935.46557617188
"H17509-04-01","P17509-001",1,1,1,3,5,6,6,1,2935.46557617188
"H17511-04-01","P17511-002",1,2,1,3,1,2,4,2,978.488586425781
"H17511-04-02","P17511-015",1,2,2,3,1,11,12,2,978.488586425781
"H17511-04-03","P17511-017",1,2,1,3,2,1,1,2,978.488586425781
"H17601-04-01","P17601-002",1,1,1,3,2,2,2,2,2935.46557617188
"H17602-04-01","P17602-001",1,1,1,3,4,12,12,2,2935.46557617188
"H17604-04-01","P17604-001",1,2,2,3,2,12,1,2,2935.46557617188
"H17605-04-01","P17605-001",1,1,1,2,2,12,12,2,2935.46557617188
"H17606-04-01","P17606-001",1,1,1,2,2,12,1,1,2935.46557617188
"H17608-04-01","P17608-001",1,1,1,3,2,12,12,1,1467.73278808594
"H17608-04-02","P17608-006",1,1,1,2,1,2,1,2,1467.73278808594
"H17609-04-01","P17609-002",1,1,1,3,2,12,11,2,2935.46557617188
"H17610-04-01","P17610-001",1,1,1,3,1,12,4,2,2935.46557617188
"H17701-04-01","P17701-001",1,2,1,3,2,12,1,2,2935.46557617188
"H17703-04-01","P17703-002",1,2,2,3,2,1,1,1,2935.46557617188
"H17704-04-01","P17704-001",1,3,1,3,2,12,12,2,2935.46557617188
"H17705-04-02","P17705-002",1,2,1,3,2,4,11,2,2935.46557617188
"H17707-04-02","P17707-001",1,1,1,3,1,12,1,2,978.488586425781
"H17707-04-03","P17707-007",1,2,1,3,1,1,1,2,978.488586425781
"H17707-04-04","P17707-005",1,2,2,3,2,4,12,2,978.488586425781
"H17708-04-01","P17708-001",1,2,2,3,2,11,4,2,1467.73278808594
"H17708-04-02","P17708-005",1,1,1,3,2,12,12,2,1467.73278808594
"H17709-04-01","P17709-002",2,2,2,3,2,4,4,2,2935.46557617188
"H17710-04-01","P17710-002",1,1,1,3,2,12,2,2,2935.46557617188
"H18001-04-01","P18001-001",1,3,1,2,1,12,3,2,1102.41516113281
"H18001-04-02","P18001-006",1,1,1,3,2,4,96,2,1102.41516113281
"H18005-04-01","P18005-001",1,1,1,3,2,12,4,2,2204.83032226563
"H18007-04-01","P18007-002",1,1,1,3,2,12,12,2,2204.83032226563
"H18010-04-01","P18010-003",1,1,1,3,2,12,2,2,2204.83032226563
"H18011-04-01","P18011-002",1,1,1,3,2,12,12,2,2204.83032226563
"H18012-04-01","P18012-002",1,2,1,3,2,12,11,2,2204.83032226563
"H18013-04-01","P18013-002",1,3,1,3,2,12,1,1,2204.83032226563
"H18101-04-01","P18101-001",2,2,2,2,2,3,3,1,2204.83032226563
"H18102-04-01","P18102-001",1,1,2,2,2,3,3,1,2204.83032226563
"H18103-04-01","P18103-001",1,1,1,2,3,12,11,1,734.943481445313
"H18103-04-02","P18103-014",1,3,1,2,2,3,3,2,734.943481445313
"H18103-04-03","P18103-011",1,2,2,3,2,1,1,2,734.943481445313
"H18104-04-01","P18104-002",1,2,2,2,1,12,3,2,551.207580566406
"H18104-04-02","P18104-007",1,2,2,2,2,12,11,1,551.207580566406
"H18104-04-03","P18104-010",1,2,2,2,2,3,12,1,551.207580566406
"H18104-04-04","P18104-005",1,2,1,2,2,1,3,2,551.207580566406
"H18105-04-01","P18105-001",1,2,2,3,2,1,1,1,2204.83032226563
"H18106-04-01","P18106-005",1,2,2,2,1,3,3,2,2204.83032226563
"H18107-04-01","P18107-001",1,1,2,2,1,12,12,2,2204.83032226563
"H18108-04-01","P18108-001",1,1,1,2,2,3,3,2,2204.83032226563
"H18109-04-01","P18109-001",2,1,2,2,2,7,7,1,2204.83032226563
"H18110-04-01","P18110-001",1,2,1,3,2,12,1,2,2204.83032226563
"H18201-04-01","P18201-002",1,2,2,2,1,3,3,2,2204.83032226563
"H18202-04-02","P18202-015",1,3,2,2,1,3,3,1,367.4716796875
"H18202-04-03","P18202-018",1,3,2,3,1,3,12,1,367.4716796875
"H18202-04-04","P18202-002",1,1,1,2,1,12,4,1,367.4716796875
"H18202-04-05","P18202-025",1,3,2,2,2,3,12,1,367.4716796875
"H18202-04-06","P18202-028",1,2,2,2,2,11,12,1,367.4716796875
"H18203-04-01","P18203-001",1,2,2,2,2,11,3,1,2204.83032226563
"H18204-04-01","P18204-001",1,1,2,2,2,12,12,1,1102.41516113281
"H18204-04-02","P18204-003",1,1,2,2,2,3,12,1,1102.41516113281
"H18205-04-01","P18205-001",1,2,2,2,2,4,4,2,1102.41516113281
"H18205-04-02","P18205-009",1,3,1,2,2,3,3,1,1102.41516113281
"H18206-04-01","P18206-007",1,2,2,1,1,12,11,2,1102.41516113281
"H18206-04-02","P18206-015",1,2,2,2,2,11,12,2,1102.41516113281
"H18207-04-01","P18207-002",1,2,2,2,1,12,12,2,1102.41516113281
"H18207-04-02","P18207-009",1,2,1,2,2,11,12,1,1102.41516113281
"H18208-04-01","P18208-001",1,2,1,2,2,3,3,2,2204.83032226563
"H18209-04-01","P18209-002",1,2,2,1,1,12,12,2,1102.41516113281
"H18209-04-02","P18209-008",1,2,2,2,2,12,12,2,1102.41516113281
"H18210-04-01","P18210-001",1,2,1,3,2,1,1,2,440.966064453125
"H18210-04-02","P18210-010",1,2,1,3,2,12,12,2,440.966064453125
"H18210-04-03","P18210-030",1,2,1,2,2,3,3,2,440.966064453125
"H18210-04-04","P18210-024",1,2,1,3,2,1,1,2,440.966064453125
"H18210-04-05","P18210-019",1,1,1,3,2,1,1,2,440.966064453125
"H18301-04-01","P18301-016",1,2,2,1,1,12,11,1,314.975738525391
"H18301-04-02","P18301-017",1,2,2,3,2,3,12,1,314.975738525391
"H18301-04-03","P18301-025",1,2,2,2,1,3,12,1,314.975738525391
"H18301-04-04","P18301-004",1,2,2,2,2,12,11,1,314.975738525391
