"District_Name","SubCounty","Parish","Villagecode","Infrastructure_ID","C5BQ10","C5BQ11","C5BQ12","C5BQ13","C5BQ14","C5BQ15","C5BQ16","C5BQ17","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
104,104104,10410403,1041040304,2,3,,,,,,,,2,1,
104,104104,10410403,1041040304,3,1,22.3999996185303,1,1,4,2,,2,2,1,
104,104104,10410403,1041040304,4,1,4,1,1,4,2,,2,2,1,
104,104104,10410403,1041040304,5,1,0,1,1,96,2,,2,2,1,
104,104105,10410504,1041050403,1,3,,,,,,,,2,,
104,104105,10410504,1041050403,2,2,3,1,1,4,2,,1,2,,
104,104105,10410504,1041050403,3,1,23,1,1,4,2,,2,2,,
104,104105,10410504,1041050403,4,1,6,1,1,4,2,,1,2,,
104,104105,10410504,1041050403,5,1,1,1,1,4,2,,2,2,,
104,104208,10420804,1042080404,1,,,,,,,,,2,2,
104,104208,10420804,1042080404,2,,,,,,,,,2,2,
104,104208,10420804,1042080404,3,,,,,,,,,2,2,
104,104208,10420804,1042080404,4,,,,,,,,,2,2,
104,104208,10420804,1042080404,5,,,,,,,,,2,2,
105,105105,10510502,1051050201,1,,,,,,,,,2,1,
105,105105,10510502,1051050201,2,2,26.5,1,2,4,2,,2,2,1,
105,105105,10510502,1051050201,3,,,,,,,,,2,1,
105,105105,10510502,1051050201,4,1,10,1,3,96,1,14,,2,1,
105,105105,10510502,1051050201,5,1,35,1,2,96,1,4,,2,1,
106,106101,10610101,1061010108,1,3,,,,,,,,2,1,
106,106101,10610101,1061010108,2,,,,,,,,,2,1,
106,106101,10610101,1061010108,3,2,34,1,1,2,2,,2,2,1,
106,106101,10610101,1061010108,4,1,60,1,2,2,1,6.90000009536743,,2,1,
106,106101,10610101,1061010108,5,1,45,1,1,96,1,6,,2,1,
106,106101,10610109,1061010902,1,3,,,,,,,,2,1,
106,106101,10610109,1061010902,2,,,,,,,,,2,1,
106,106101,10610109,1061010902,3,2,34,1,1,2,2,,2,2,1,
106,106101,10610109,1061010902,4,1,60,1,2,2,1,6.90000009536743,,2,1,
106,106101,10610109,1061010902,5,1,45,1,1,96,1,6,,2,1,
106,106106,10610606,1061060602,1,3,,,,,,,,2,1,
106,106106,10610606,1061060602,2,2,7,2,2,4,2,,2,2,1,
106,106106,10610606,1061060602,3,1,60,1,2,4,2,,2,2,1,
106,106106,10610606,1061060602,4,1,6,2,3,4,2,,2,2,1,
106,106106,10610606,1061060602,5,1,4,1,2,3,2,,2,2,1,
107,107105,10710503,1071050302,1,3,,,,,,,,2,1,
107,107105,10710503,1071050302,2,3,,,,,,,,2,1,
107,107105,10710503,1071050302,3,96,9,1,2,2,1,12,,2,1,
107,107105,10710503,1071050302,4,96,20,2,1,1,2,,96,2,1,
107,107105,10710503,1071050302,5,96,35,1,1,1,1,3,,2,1,
107,107105,10710505,1071050503,1,3,,,,,,,,2,1,
107,107105,10710505,1071050503,2,3,,,,,,,,2,1,
107,107105,10710505,1071050503,3,96,68,1,2,2,1,12,,2,1,
107,107105,10710505,1071050503,4,96,20,2,1,1,2,,96,2,1,
107,107105,10710505,1071050503,5,96,35,1,1,1,1,3,,2,1,
107,107202,10720206,1072020601,1,,,,,,,,,2,1,
107,107202,10720206,1072020601,2,3,,,,,,,,2,1,
107,107202,10720206,1072020601,3,2,30,1,2,1,1,8,,2,1,
107,107202,10720206,1072020601,4,1,10,1,2,96,1,13,,2,1,
107,107202,10720206,1072020601,5,1,10,2,2,96,1,2,,2,1,
107,107302,10730203,1073020305,1,,,,,,,,,2,1,
107,107302,10730203,1073020305,2,3,,,,,,,,2,1,
107,107302,10730203,1073020305,3,2,13,1,2,1,2,,1,2,1,
107,107302,10730203,1073020305,4,1,20,1,2,96,1,20,,2,1,
107,107302,10730203,1073020305,5,1,15,1,1,96,1,3,,2,1,
107,107305,10730507,1073050702,1,,,,,,,,,2,1,
107,107305,10730507,1073050702,2,3,,,,,,,,2,1,
107,107305,10730507,1073050702,3,2,40,2,2,1,2,,2,2,1,
107,107305,10730507,1073050702,4,1,30,2,2,96,1,5,,2,1,
107,107305,10730507,1073050702,5,1,30,2,2,3,1,4,,2,1,
108,108106,10810603,1081060309,1,3,,,,,,,,2,1,
108,108106,10810603,1081060309,2,,,,,,,,,2,1,
108,108106,10810603,1081060309,3,2,36,2,1,1,2,,1,2,1,
108,108106,10810603,1081060309,4,1,37,1,1,96,1,28.2999992370605,,2,1,
108,108106,10810603,1081060309,5,1,23,1,2,96,1,7,,2,1,
108,108301,10830101,1083010101,1,3,,,,,,,,2,3,"Weekend and strted holidays early."
108,108301,10830101,1083010101,2,3,,,,,,,,2,3,"Weekend and strted holidays early."
108,108301,10830101,1083010101,3,2,30,1,2,1,1,6,,2,3,"Weekend and strted holidays early."
