"HHID","a6bq1","hh","wgt_X"
99100401,1,"H09910-04-01",2792.466796875
100020401,2,"H10002-04-01",2792.466796875
100040401,1,"H10004-04-01",2792.466796875
100070401,2,"H10007-04-01",1396.2333984375
100100401,1,"H10010-04-01",2792.466796875
102010401,2,"H10201-04-01",1396.23327636719
103110401,2,"H10311-04-01",2792.466796875
107010401,2,"H10701-04-01",757.547973632813
107010402,2,"H10701-04-02",757.547973632813
107020401,2,"H10702-04-01",2272.64404296875
107030401,1,"H10703-04-01",2272.64404296875
107040401,2,"H10704-04-01",1136.32202148438
107040402,1,"H10704-04-02",1136.32202148438
107060401,1,"H10706-04-01",1136.32202148438
107060402,1,"H10706-04-02",1136.32202148438
107080401,1,"H10708-04-01",2272.64404296875
107090401,1,"H10709-04-01",2272.64404296875
107100401,1,"H10710-04-01",454.52880859375
107100404,1,"H10710-04-04",454.52880859375
108010401,2,"H10801-04-01",2272.64404296875
108020401,1,"H10802-04-01",2272.64404296875
108030401,1,"H10803-04-01",757.547973632813
108030402,2,"H10803-04-02",757.547973632813
108030403,1,"H10803-04-03",757.547973632813
108040401,1,"H10804-04-01",2272.64404296875
108050401,1,"H10805-04-01",2272.64404296875
108060401,2,"H10806-04-01",2272.64404296875
108070401,2,"H10807-04-01",1136.32202148438
108070402,1,"H10807-04-02",1136.32202148438
108090401,2,"H10809-04-01",2272.64404296875
109040401,2,"H10904-04-01",2272.64404296875
109050401,1,"H10905-04-01",2272.64404296875
109060401,2,"H10906-04-01",2272.64404296875
109080401,2,"H10908-04-01",2272.64404296875
109090401,1,"H10909-04-01",568.161010742188
109090402,1,"H10909-04-02",568.161010742188
109100401,1,"H10910-04-01",2272.64404296875
110010401,1,"H11001-04-01",2272.64404296875
110020401,1,"H11002-04-01",2272.64404296875
110060401,2,"H11006-04-01",2272.64404296875
110070401,1,"H11007-04-01",2272.64404296875
110090401,2,"H11009-04-01",2272.64404296875
110100401,1,"H11010-04-01",2272.64404296875
110110401,1,"H11011-04-01",2272.64404296875
115020401,2,"H11502-04-01",1136.32202148438
115040401,2,"H11504-04-01",2272.64404296875
115050401,2,"H11505-04-01",2272.64404296875
115070401,1,"H11507-04-01",2272.64404296875
115100401,2,"H11510-04-01",2272.64404296875
118010401,2,"H11801-04-01",2272.64404296875
118040401,2,"H11804-04-01",2272.64404296875
118050401,2,"H11805-04-01",2272.64404296875
118060401,2,"H11806-04-01",2272.64404296875
118070401,2,"H11807-04-01",2272.64404296875
118080401,2,"H11808-04-01",1136.32202148438
118090401,2,"H11809-04-01",2272.64404296875
118100401,2,"H11810-04-01",2272.64404296875
119010401,1,"H11901-04-01",2272.64404296875
119050401,2,"H11905-04-01",2272.64404296875
119070401,1,"H11907-04-01",2272.64404296875
119080401,2,"H11908-04-01",2272.64404296875
119100401,1,"H11910-04-01",2272.64404296875
120010401,2,"H12001-04-01",2272.64404296875
120030402,1,"H12003-04-02",1136.32202148438
120050401,1,"H12005-04-01",2272.64404296875
120060401,2,"H12006-04-01",2272.64404296875
120070401,2,"H12007-04-01",2272.64404296875
120080401,2,"H12008-04-01",1136.32202148438
120080402,2,"H12008-04-02",1136.32202148438
120090401,2,"H12009-04-01",2272.64404296875
120100401,1,"H12010-04-01",2272.64404296875
120110401,2,"H12011-04-01",2272.64404296875
123060401,2,"H12306-04-01",2272.64404296875
123110401,2,"H12311-04-01",2272.64404296875
124020401,1,"H12402-04-01",2272.64404296875
124070401,2,"H12407-04-01",1136.32202148438
124080401,2,"H12408-04-01",2272.64404296875
124090401,2,"H12409-04-01",2272.64404296875
124110401,1,"H12411-04-01",2272.64404296875
125010401,2,"H12501-04-01",2272.64404296875
125020401,2,"H12502-04-01",2272.64404296875
125040401,1,"H12504-04-01",2272.64404296875
125050401,2,"H12505-04-01",2272.64404296875
125060401,2,"H12506-04-01",2272.64404296875
125070401,,"H12507-04-01",2272.64404296875
125090401,2,"H12509-04-01",2272.64404296875
125100401,2,"H12510-04-01",2272.64404296875
125120401,1,"H12512-04-01",2272.64404296875
126010401,2,"H12601-04-01",2272.6435546875
126030401,2,"H12603-04-01",2272.6435546875
126040401,1,"H12604-04-01",2272.6435546875
126050401,2,"H12605-04-01",2272.6435546875
126060401,1,"H12606-04-01",1136.32177734375
126060402,2,"H12606-04-02",1136.32177734375
126070401,1,"H12607-04-01",2272.6435546875
126090401,2,"H12609-04-01",2272.6435546875
126100401,1,"H12610-04-01",1136.32177734375
126100402,1,"H12610-04-02",1136.32177734375
126110401,2,"H12611-04-01",2272.6435546875
127010401,2,"H12701-04-01",1136.32177734375
127030401,2,"H12703-04-01",2272.6435546875
127040401,1,"H12704-04-01",2272.6435546875
127050401,2,"H12705-04-01",2272.6435546875
127060401,2,"H12706-04-01",2272.6435546875
127070401,2,"H12707-04-01",2272.6435546875
127080401,2,"H12708-04-01",2272.6435546875
127090401,1,"H12709-04-01",1136.32177734375
127100401,1,"H12710-04-01",2272.6435546875
128050401,1,"H12805-04-01",757.547973632813
