"hh","wgt_X","HHID","region","urban","district_code","district_name","scounty_code","subcounty_name","parish_code","parish_name","h1aq5","ea","HHID_old","rotate","wgt","wave","a1bq6","a1bq7","a1bq8","day_v1","month_v1","year_v1","day_v2","month_v2","year_v2","nonresp"
"H03605-04-02",2551.70141601563,36050402,1,0,"103","Kiboga",103107,"Lwamata",10310702,"Kasejjere",,36,,0,2551.70141601563,4,2,1,,"29","09","2013","17","03","2014",1
"H03607-04-01",2551.70141601563,36070401,1,0,"103","Kiboga",103106,"Kiboga Town Council",10310602,"Buzibweera Ward",,36,1033000307,1,2551.70141601563,4,2,1,,"29","09","2013","17","03","2014",1
"H03608-04-01",2551.70141601563,36080401,1,0,"103","Kiboga",103106,"Kiboga Town Council",10310602,"Buzibweera Ward",,36,1033000308,1,2551.70141601563,4,1,1,,"29","09","2013","16","03","2014",1
"H03704-04-01",2551.70141601563,37040401,1,0,"123","Kyankwanzi",123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",,37,1033000504,1,2551.70141601563,4,1,,,"25","01","2014","25","01","2014",1
"H03705-04-01",2551.70141601563,37050401,1,0,"123","Kyankwanzi",123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",,37,1033000505,1,2551.70141601563,4,1,,,"24","01","2014","24","01","2014",1
"H03706-04-01",2551.70141601563,37060401,1,0,"123","Kyankwanzi",123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",,37,1033000506,1,2551.70141601563,4,1,1,,"24","01","2014","28","07","2014",1
"H03707-04-01",1275.85070800781,37070401,1,0,"123","Kyankwanzi",123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",,37,1033000507,1,1275.85070800781,4,1,,,"26","01","2014","30","01","2014",1
"H03709-04-01",2551.70141601563,37090401,1,0,"123","Kyankwanzi",123107,"Ntwete",12310707,"Natyole",,37,1033000509,1,2551.70141601563,4,1,,,"26","01","2014","26","01","2014",1
"H03711-04-02",637.925354003906,37110402,1,0,"123","Kyankwanzi",123107,"Ntwete",12310709,"Ntiba",,37,103300051102,1,637.925354003906,4,1,,,"25","01","2014","25","01","2014",1
"H03711-04-03",637.925354003906,37110403,1,0,"123","Kyankwanzi",123107,"Ntwete",12310709,"Ntiba",,37,2103300051102,1,637.925354003906,4,1,,,,,,"25","01","2014",1
