"District_Name","SubCounty","Parish","Villagecode","Payment_ID","C3DQ26","Other_C3DQ26","C3DQ27","C3DQ28","C3DQ29","Education_Response","Reason_Edu_Not_Done"
102,102104,10210417,1021041701,1,,,2,,,3,"no one was present at school"
102,102104,10210417,1021041701,2,1,,1,78600,2,3,"no one was present at school"
102,102104,10210417,1021041701,3,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,4,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,5,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,6,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,7,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,8,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,9,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,10,2,,,,,3,"no one was present at school"
102,102104,10210419,1021041903,1,,,1,5000,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,2,1,,1,25000,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,3,1,,1,20000,4,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,4,2,,,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,5,1,,2,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,6,2,,,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,7,2,,,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,8,2,,,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,9,2,,,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,10,1,"TUITION",1,15000,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102105,10210501,1021050106,1,,,2,,,1,
102,102105,10210501,1021050106,2,1,,1,15000,2,1,
102,102105,10210501,1021050106,3,2,,,,,1,
102,102105,10210501,1021050106,4,2,,,,,1,
102,102105,10210501,1021050106,5,1,,2,,,1,
102,102105,10210501,1021050106,6,2,,,,,1,
102,102105,10210501,1021050106,7,2,,,,,1,
102,102105,10210501,1021050106,8,2,,,,,1,
102,102105,10210501,1021050106,9,2,,,,,1,
102,102105,10210501,1021050106,10,1,"TUITION",1,10400,2,1,
102,102105,10210503,1021050307,1,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,2,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,3,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,4,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,5,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
