"HHID","APCode","a6cq2","a6cq3a","a6cq3b","a6cq3c","a6cq3d","a6cq3e","a6cq4a","a6cq4b","a6cq4c","a6cq5a","a6cq5b","a6cq5c","a6cq6","a6cq7","a6cq8","a6cq9","a6cq10","a6cq11","a6cq12","a6cq13a","a6cq13b","a6cq14a","a6cq14b","a6cq15","a6cq15b","a6cq15c","a6cq16","hh","wgt_X"
39090401,27,1,3,3909001,3909002,3909002,3909001,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,3,3,1,"H03909-04-01",1275.85070800781
39100401,23,1,11,3910001,,3910001,,0,,,0,,,11,0,0,0,0,0,0,0,,0,,0,1,1,1,"H03910-04-01",2551.70141601563
39100401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
40010401,23,1,6,4001001,4001002,4001007,4001001,0,,,0,,,6,6,0,0,0,0,6,0,,0,,0,3,6,1,"H04001-04-01",2551.70141601563
40010401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04001-04-01",2551.70141601563
40010401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04001-04-01",2551.70141601563
40010401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04001-04-01",2551.70141601563
40010401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04001-04-01",2551.70141601563
40030401,23,1,7,4003001,4003008,4003002,4003008,0,,,0,,,7,16,0,0,0,2,12,0,,0,,2,1,3,1,"H04003-04-01",850.567138671875
40030401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40040401,23,1,9,4004001,,4004001,,0,,,0,,,2,12,0,0,0,3,2,0,,0,,0,1,5,1,"H04004-04-01",2551.70141601563
40040401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40050401,23,1,3,4005001,4005015,4005001,4005015,0,,,0,,,6,0,0,0,0,0,3,0,,0,,0,1,3,1,"H04005-04-01",2551.70141601563
