"HHID","h12q1","h12q2","h12q3a","h12q3b","h12q4","h12qNew","h12q4a","h12q4b","h12q4c","h12q4d","h12q4e","h12q6a","h12q6b","h12q7","h12q8","h12q8a","h12q8b","h12q9","h12q10","h12q11a","h12q11b","h12q11c","h12q11d","h12q11e","h12q12","h12q12a","h12q13","h12q14","h12q15","h12q16","h12q17","h12q18","h12q19","_merge"
"H24604-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24605-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24606-04-01",1,"P24606-001",1,"charcoal burning",1910,1,1,,,"P24606-001",,9,2013,5,1,"P24606-001",,2,,"P24606-001",,,,,8,1,65000,0,0,0,0,2,2,3
"H24608-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24610-04-01",1,"P24610-001",1,"operating retail shop",4719,1,1,,,"P24610-005",,99,2013,2,2,"P24610-005",,2,,"P24610-005",,,,,12,,100000,0,10000,50000,0,2,1,3
"H24801-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24802-04-01",1,"P24802-002",1,"selling hh items in a kiosk",4799,1,1,,,"P24802-001",,99,1997,6,2,"P24802-001","P24802-002",2,,"P24802-001",,,,,12,,230000,0,0,150000,0,2,2,3
"H24802-04-02",1,"P24802-011",1,"saloon",9602,1,1,,,"P24802-011",,3,2014,7,2,"P24802-011",,2,,"P24802-011",,,,,3,1,150000,0,0,0,45000,2,2,3
"H24803-04-01",2,,1,"MAT MAKING",202,0,2,2,4,"P24803-001",,99,1989,1,2,"P24803-001",,2,,"P24803-001",,,,,0,2,40000,0,0,15000,0,2,2,3
"H24804-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24805-04-01",1,"P24805-002",2,"makes and sells mats",1629,1,1,,,"P24805-002",,99,1991,1,2,"P24805-002",,2,,"P24805-002",,,,,12,,80000,0,0,30000,0,2,2,3
"H24805-04-01",1,"P24805-002",1,"makes and sells mandazi",1071,1,1,,,"P24805-002",,99,1986,4,2,"P24805-002",,2,,"P24805-002","P24805-003",,,,12,,136000,0,0,40000,2000,2,2,3
"H24806-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24808-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24809-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H24811-04-01",1,"P24811-001",1,"sale of salt, sugar, soap in markets",4781,1,1,,,"P24811-002",,10,2010,4,2,"P24811-002",,2,,"P24811-002",,,,,12,,350000,0,0,221000,0,2,2,3
"H25001-04-01",1,"P25001-008",1,"brewing alcohol",1101,0,1,,,"P25001-001",,99,2010,4,5,"P25001-001",,1,7,"P25001-001",,,,,12,,80000,0,0,52000,8000,2,2,3
"H25002-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25003-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25004-04-01",1,"P25004-001",1,"sells household items",525,0,1,,,"P25004-001",,4,2007,4,2,"P25004-001",,2,,"P25004-001",,,,,12,,650000,0,0,1500000,0,2,2,3
"H25005-04-01",1,"P25005-001",1,"selling tobacco leaves",4781,1,1,,,"P25005-001",,99,2005,4,2,"P25005-001",,2,,"P25005-001",,,,,12,,110000,0,0,60000,2000,2,2,3
"H25006-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25008-04-01",1,"P25008-001",1,"making charcoal",1629,1,1,,,"P25008-001",,12,2006,8,1,"P25008-001",,2,,"P25008-001",,,,,10,1,100000,0,0,0,0,2,2,3
"H25009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25011-04-01",1,"P25011-002",1,"sells small fish in market",4781,1,1,,,"P25011-002",,99,2007,4,2,"P25011-002",,2,,"P25011-002",,,,,12,,36000,0,0,28000,2000,2,2,3
"H25201-04-01",2,,1,"making bricks",2399,0,2,6,2,"999",,1,2011,,,"P25201-001",,,,,,,,,,,,0,,,,,,3
"H25201-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25202-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25203-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25204-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25204-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25207-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25208-04-01",1,"P25208-001",1,"sell of household merchandise",4719,1,1,,,"P25208-001",,1,2008,5,2,"P25208-001",,2,,"P25208-001",,,,,12,,800000,0,0,500000,50000,2,2,3
"H25209-04-01",1,"P25209-001",1,"buys and sells cocoa(wholeseller)",4620,1,1,,,"P25209-001",,12,2013,4,2,"P25209-001",,2,,"P25209-001",,,,,4,1,1210000,0,0,960000,0,2,2,3
"H25210-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25401-04-01",1,"P25401-001",1,"mining gold",729,0,1,,,"P25401-001","P25401-003",10,2006,8,1,"P25401-001","P25401-003",2,,"P25401-001","P25401-003","P25401-005",,,12,,350000,3,0,0,30000,2,2,3
"H25402-04-01",2,,1,"Gold mining",729,0,2,2,3,,,,,,,"P25402-001",,,,,,,,,,,,0,,,,,,3
"H25402-04-02",1,"P25402-006",1,"BREWING",741,0,1,,,"P25402-005","P25402-006",99,2000,2,1,"P25402-005","P25402-006",2,,"P25402-005","P25402-006",,,,10,1,280000,1,5000,0,0,2,2,3
"H25402-04-02",1,"P25402-006",2,"Grocery shop",4781,1,1,,,"P25402-005",,3,2013,1,2,"P25402-005","P25402-006",2,,"P25402-005","P25402-006",,,,9,1,1000000,0,0,400000,10000,2,2,3
"H25403-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25403-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25404-04-01",1,"P25404-002",1,"retail shop",4719,1,1,,,"P25404-001","P25404-002",99,2007,1,2,"P25404-001","P25404-002",2,,"P25404-001","P25404-002",,,"P25404-001",4,1,500000,0,0,300000,10000,2,2,3
"H25406-04-01",1,"P25406-001",1,"retail shop",4719,1,1,,,"P25406-001",,99,2008,1,2,"P25406-001",,2,,"P25406-001",,,,,10,1,230000,0,0,150000,4000,2,2,3
"H25407-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25408-04-01",1,"P25408-006",2,"distilling waragi",1103,0,1,,,"P25408-006",,2,1997,2,2,"P25408-006",,2,,"P25408-006",,,,,12,,240000,2,20000,20000,10000,2,2,3
"H25408-04-02",1,"P25408-002",2,"tender running market",8299,0,1,,,"P25408-002",,6,2011,4,2,"P25408-002","P25408-017",2,,"P25408-002","P25408-017",,,,12,,15000000,2,600000,12000000,300000,2,1,3
"H25408-04-02",1,"P25408-002",1,"bar selling beer",5630,0,1,,,"P25408-002",,99,2003,2,2,"P25408-002",,2,,"P25408-002",,,,,12,,3000000,3,300000,1500000,50000,2,2,3
"H25409-04-01",1,"P25409-001",1,"Brewing beer",,0,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25409-04-01",1,"P25409-001",2,"retail sale of clothes",4782,1,1,,,"P25409-001",,99,2000,4,2,"P25409-001",,2,,"P25409-001",,,,,9,1,1000000,0,0,600000,100000,8,2,3
"H25409-04-02",2,,1,"Brewing beer",,0,2,14,2,"P25409-001","P25409-002",,,,,,,,,,,,,,,,,,,,,,,3
"H25409-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25410-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25410-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25601-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25602-04-01",1,"P25602-002",1,"Produce buyer",4781,1,1,,,"P25602-002",,9,2012,8,5,"P25602-002",,1,7,"P25602-002",,,,,9,1,1700000,1,150000,900000,10000,2,2,3
"H25603-04-01",1,"P25603-003",1,"buying and selling coffee",4781,0,1,,,"P25603-001","P25603-002",99,2000,1,2,"P25603-001","P25603-002",2,,"P25603-001",,,,,12,,600000,0,0,350000,10000,2,2,3
"H25605-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25606-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25607-04-01",2,,1,"Brewing beer",1103,0,2,2,2,"P25607-001","P25607-002",99,2000,,,"P25607-001",,,,,,,,,,,,0,,,,,,3
"H25608-04-01",1,"P25608-001",1,"Shop retailing",4719,0,1,,,"P25608-001",,99,2003,1,2,"P25608-001",,1,2,"P25608-001",,,,,12,,550000,0,0,300000,50000,2,2,3
"H25609-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25609-04-02",1,"P25609-020",1,"operates a sewing machine",1410,1,1,,,"P25609-020",,11,2013,5,2,"P25609-020",,2,,"P25609-020",,,,,9,1,300000,0,0,150000,35000,2,2,3
"H25609-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25609-04-05",1,"P25609-038",1,"Bodaboda[motorcycle hiring]",4922,0,2,5,2,"P25609-016",,1,2012,,,"P25609-010",,,,,,,,,,,,9,,,,,,3
"H25609-04-05",1,"P25609-038",2,"taxi driving",4922,1,1,,,"P25609-038",,10,2011,8,2,"P25609-038",,2,,"P25609-038",,,,,12,,1160000,0,0,900000,60000,8,1,3
"H25609-04-06",1,"P25609-016",1,"Boda Boda",4922,0,1,,,"P25609-016",,1,2012,8,2,"P25609-016",,2,,"P25609-016",,,,,12,,420000,0,0,150000,60000,2,8,3
"H25609-04-07",2,,1,"Boda Boda",4922,0,2,5,2,"P25609-016",,1,2012,,,,,,,,,,,,,,,0,,,,,,3
"H25610-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25610-04-02",1,"P25610-010",1,"Operating agarage",4922,1,1,,,"P25610-009",,2,2009,6,2,"P25610-009",,2,,"P25610-009",,,,,12,,300000,0,0,0,20000,2,2,3
"H25610-04-03",1,"P25610-005",1,"Selling general merchandise",,1,1,,,"P25610-017",,99,2009,4,2,"P25610-017",,2,,"P25610-017",,,,,12,,500000,0,0,250000,20000,2,2,3
"H25701-04-01",1,"P25701-001",1,"Selling stationary",4772,1,1,,,"P25701-001",,1,2004,1,2,"P25701-001",,2,,"P25701-001",,,,,12,,500000,0,0,150000,10000,2,2,3
"H25702-04-01",1,"P25702-001",1,"Selling produce",,1,1,,,"P25702-002","P25702-001",4,2009,8,2,"P25702-002",,2,,"P25702-002",,,,,12,,200000,0,0,50000,45000,2,2,3
"H25702-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25703-04-02",1,"P25703-001",1,"Selling matooke",4781,1,1,,,"P25703-001",,8,2013,5,2,"P25703-001",,2,,"P25703-001",,,,,3,1,750000,1,0,200000,65000,2,2,3
"H25703-04-03",1,"P25703-002",1,"Buying and selling of agriculture produce",4781,1,1,,,"P25703-002",,6,2014,4,2,"P25703-002",,2,,"P25703-002",,,,,2,1,500000,0,0,400000,0,2,2,3
"H25703-04-03",1,"P25703-002",2,"Drug Shop",4772,1,1,,,"P25703-010","P25703-002",6,2009,1,2,"P25703-010","P25703-002",2,,"P25703-010","P25703-002",,,,12,,600000,0,0,350000,50000,2,2,3
"H25704-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25705-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25705-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25706-04-01",1,"P25706-002",1,"Buying and selling of cattle",4781,1,1,,,"P25706-001",,12,1994,8,2,"P25706-001",,2,,"P25706-001",,,,,12,,25000000,0,0,19000000,0,2,2,3
"H25706-04-01",1,"P25706-002",2,"Operating a shop",4719,1,1,,,"P25706-002",,8,2002,6,2,"P25706-002",,2,,"P25706-002",,,,,12,,250000,0,0,100000,0,2,2,3
"H25706-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25706-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25706-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25707-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25708-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25709-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25901-04-01",2,,1,"Shop",,0,1,,,"P25901-001",,12,2011,7,2,"P25901-001",,2,,"P25901-001",,,,,,,,,,,,,,3
"H25902-04-01",1,"P25902-001",1,"sell domestic ware",4719,0,1,,,"P25902-001","P25902-002",99,1988,1,2,"P25902-001","P25902-002",1,7,"P25902-001","P25902-002",,,,12,,1500000,2,0,500000,50000,2,2,3
"H25903-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25903-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25903-04-03",2,,1,"SELLS FOOD AT MARKET",4781,0,2,13,2,"P25903-019","P25903-020",99,1999,,,"P25903-020","P25903-019",,,,,,,,,,,0,,,,,,3
"H25903-04-04",1,"P25903-031",1,"Matooke Trader",4781,1,1,,,"P25903-031","P25903-031",4,2011,4,2,"P25903-031","P25903-025",2,,"P25903-031",,,,,12,,900000,0,0,400000,0,2,2,3
"H25903-04-05",1,"P25903-018",1,"Tour and travel",7912,1,1,,,"P25903-018",,4,2009,7,2,"P25903-018",,2,,"P25903-018",,,,,12,,1000000,0,0,0,0,2,2,3
"H25904-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25905-04-01",1,"P25905-002",1,"baking pancakes and mandazi",5629,1,1,,,"P25905-002","P25905-001",99,2005,1,2,"P25905-002","P25905-001",2,,"P25905-002","P25905-001",,,,12,,130000,0,0,80000,7000,2,2,3
"H25906-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25906-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25907-04-01",1,"P25907-006",2,"Matooke tarder",4781,1,1,,,"P25907-002",,6,2012,8,2,"P25907-002",,1,2,"P25907-002",,,,,12,,5700000,4,500000,3600000,300000,2,2,3
"H25907-04-01",1,"P25907-006",3,"Drug shop",4772,1,1,,,"P25907-006",,9,2012,5,4,"P25907-006",,2,,"P25907-006",,,,,12,,600000,1,90000,300000,60000,2,2,3
"H25907-04-01",1,"P25907-006",1,"Selling, Shoes (second hand)",4771,0,2,4,3,,,,,,,"P25907-002",,,,,,,,,,,,0,,,,,,3
"H25908-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25909-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25910-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25910-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H25910-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26008-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26009-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26009-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26009-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26009-04-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26009-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26010-04-01",1,"P26010-001",1,"Real estates or Rentals",6820,0,1,,,"P26010-001","P26010-002",3,2000,1,2,"P26010-001","P26010-002",2,,"P26010-001","P26010-002",,,,12,,150000,0,0,0,0,2,2,3
"H26012-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26102-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26106-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26106-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26107-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26108-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26109-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26110-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26111-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26201-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26201-04-03",1,"P26201-013",1,"repairs bicycle, motocyle",3315,1,1,,,"P26201-013",,99,2001,6,1,"P26201-013",,2,,"P26201-013",,,,,12,,50000,0,0,0,0,2,2,3
"H26202-04-01",1,"P26202-001",1,"selling second hand clothings",4774,1,1,,,"P26202-001",,1,2007,4,2,"P26202-001",,2,,"P26202-001",,,,,12,,2145000,0,0,1500000,35000,2,2,3
"H26203-04-01",1,"P26203-005",1,"brewing alcohol",1103,1,1,,,"P26203-005",,99,2010,8,2,"P26203-005",,2,,"P26203-005",,,,,12,,600000,0,0,200000,50000,2,2,3
"H26203-04-02",1,"P26203-004",1,"boda boda",4922,1,1,,,"P26203-004",,1,2014,8,2,"P26203-004",,2,,"P26203-004",,,,,4,1,580000,0,0,0,180000,2,2,3
"H26204-04-01",1,"P26204-001",1,"selling banana juice",5630,1,1,,,"P26204-001",,1,2013,8,2,"P26204-001","P26204-002",2,,"P26204-001",,,,,12,,80000,0,0,40000,0,2,2,3
"H26205-04-01",1,"P26205-002",1,"selling of food stuff at the stall",4781,0,1,,,"P26205-002",,5,2009,1,8,"P26205-002","P26205-002",2,,"P26205-002",,,,,12,,320000,0,0,200000,0,2,2,3
"H26206-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26206-04-02",1,"P26206-015",1,"boda boda driving",4922,1,1,,,"P26206-015",,1,2008,8,3,"P26206-015",,2,,"P26206-015",,,,,4,1,320000,0,0,0,80000,2,2,3
"H26207-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26208-04-01",1,"P26208-001",1,"Runs a bar",5630,1,1,,,"P26208-001",,8,2000,1,2,"P26208-002",,2,,"P26208-001",,,,,12,,500000,0,0,400000,50000,2,2,3
"H26209-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26209-04-02",1,"P26209-014",1,"sells agricultural produce",4620,1,1,,,"P26209-014",,1,2010,4,2,"P26209-014",,2,,"P26209-014",,,,,12,,2000000,0,0,1000000,300000,2,2,3
"H26209-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26209-04-04",1,"P26209-020",1,"sells second hand clothes",4721,1,1,,,"P26209-020",,1,2012,4,2,"P26209-004","P26209-020",2,,"P26209-020",,,,,9,2,100000,0,0,300000,100000,2,2,3
"H26209-04-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26210-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26302-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26304-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26305-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26306-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26307-04-01",1,"P26307-001",1,"motocycle rider- bodaboda",4922,1,1,,,"P26307-001",,1,2011,4,2,"P26307-001",,2,,"P26307-001",,,,,12,,90000,0,0,15000,60000,1,2,3
"H26308-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26309-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26311-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26403-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26405-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26406-04-01",1,"P26406-001",1,"carpentry",3100,1,1,,,"P26406-001",,99,1982,2,2,"P26406-001",,2,,"P26406-001",,,,,1,1,100000,0,0,80000,0,2,2,3
"H26407-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26410-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26411-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26411-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26411-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26416-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26501-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26502-04-01",1,"P26502-007",1,"Brewing local porridge",1103,1,1,,,"P26502-007",,8,2013,1,2,"P26502-007",,2,,"P26502-007",,,,,4,1,400000,0,40000,80000,20000,2,2,3
"H26502-04-02",1,"P26502-011",1,"Retail shop",4719,1,1,,,"P26502-011",,1,2011,1,2,"P26502-011",,2,,"P26502-011",,,,,12,,150000,0,0,80000,0,2,2,3
"H26502-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26503-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26504-04-01",1,"P26504-001",1,"sell of second hand clothes",4751,1,1,,,"P26504-001",,99,1972,8,2,"P26504-001",,2,,"P26504-001",,,,,10,1,0,0,0,150000,0,2,2,3
"H26505-04-01",1,"P26505-002",1,"Selling of agriculture produce",4781,1,1,,,"P26505-002",,2,2005,6,5,"P26505-002",,2,,"P26505-002",,,,,12,,240000,0,0,80000,10000,2,2,3
"H26506-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26507-04-01",1,"P26507-001",1,"Selling porridge",4772,1,1,,,"P26507-001","P26507-008",99,2000,1,2,"P26507-001","P26507-008",2,,"P26507-001","P26507-008",,,,12,,2000000,2,0,300000,150000,2,2,3
"H26509-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26511-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26511-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26602-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26602-04-02",1,"P26602-007",1,"Boda boda",4922,1,1,,,"P26602-002",,10,2013,8,2,"P26602-002",,2,,"P26602-002",,,,,8,1,500000,0,0,50000,200000,2,2,3
"H26603-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26603-04-02",1,"P26603-011",1,"Buying and selling of sorghum",4781,1,1,,,"P26603-011",,99,2009,7,2,"P26603-011",,2,,"P26603-011",,,,,12,,300000,0,0,100000,0,2,2,3
"H26603-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26604-04-01",1,"P26604-001",1,"Repairing bicycles",3315,1,1,,,"P26604-001",,99,2000,6,2,"P26604-001",,2,,"P26604-001",,,,,12,,200000,1,30000,30000,0,2,2,3
"H26605-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26607-04-01",1,"P26607-002",1,"Bar",5630,1,1,,,"P26607-002",,99,2009,5,2,"P26607-002","P26607-001",2,,"P26607-002","P26607-001",,,,12,,300000,1,0,150000,50000,2,2,3
"H26607-04-01",1,"P26607-002",2,"Sells produce",4781,1,1,,,"P26607-002",,8,2013,8,2,"P26607-002",,2,,"P26607-002",,,,,8,1,320000,1,0,200000,50000,2,2,3
"H26608-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26609-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H26610-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27004-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27005-04-01",1,"P27005-002",1,"making handcrafts",2399,1,1,,,"P27005-002",,1,2011,1,2,"P27005-002",,2,,"P27005-002",,,,,6,1,66000,1,0,30000,0,2,2,3
"H27006-04-01",1,"P27006-003",1,"shop selling food staffs",4721,1,1,,,"P27006-002",,6,2009,6,2,"P27006-002","P27006-001",2,,"P27006-002",,,,,12,,290000,0,0,150000,20000,2,2,3
"H27006-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27007-04-01",1,"P27007-002",1,"making baskets",2399,1,1,,,"P27007-002","P27007-002",99,2013,1,2,"P27007-002","P27007-002",2,,"P27007-002",,,,,6,1,30000,0,10000,5000,0,2,2,3
"H27008-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27010-04-01",1,"P27010-002",1,"retail store in non specialised store",4719,1,1,,,"P27010-002",,99,2002,2,2,"P27010-001","P27010-002",2,,"P27010-002",,,,,12,,1900000,0,0,1200000,0,2,2,3
"H27010-04-02",1,"P27010-003",1,"retail shop in general merchandise",,1,1,,,"P27010-003",,1,2012,2,2,"P27010-003",,2,,"P27010-003",,,,,12,,800000,0,0,600000,50000,2,2,3
"H27010-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27102-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27103-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27104-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27106-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27106-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27106-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27107-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27108-04-01",1,"P27108-001",1,"Bodaboda",4922,0,1,,,"P27108-001","P27108-001",1,2009,8,2,"P27108-001","P27108-001",2,,"P27108-001",,,,,12,,552000,0,0,0,192000,2,2,3
"H27110-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27401-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27402-04-01",1,"P27402-001",1,"retail shop for general merchandise",4719,1,1,,,"P27402-013",,10,2013,7,2,"P27402-013",,2,,"P27402-013",,,,,5,1,1000000,0,0,800000,40000,2,2,3
"H27402-04-02",1,"P27402-001",1,"buys and sells matooke(whole seller)",4630,1,1,,,"P27402-001",,1,1992,4,2,"P27402-001",,2,,"P27402-001",,,,,12,,320000,0,0,200000,0,2,2,3
"H27403-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H27404-04-01",1,"P27404-001",1,"sells food crops in the market",4789,1,1,,,"P27404-001",,99,2006,4,2,"P27404-001",,2,,"P27404-001",,,,,12,,70000,1,0,100000,0,2,2,3
