"District_Name","SubCounty","Parish","Villagecode","Communal_Resource_ID","C6EQ1","Other_C6EQ1","C6EQ2","C6EQ3","C6EQ4","C6EQ5","C6EQ6","C6EQ7A","C6EQ7B","C6EQ7C","C6EQ8A","C6EQ8B","C6EQ8C","C6EQ9A","C6EQ9B","C6EQ9C","C6EQ10","C6EQ11","C6EQ12","C6EQ13","C6EQ14","End_comm_resource","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102104,10210417,1021041701,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210419,1021041903,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Health Centre demolished for renovation"
102,102105,10210501,1021050106,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210503,1021050307,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210503,1021050307,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210503,1021050307,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210503,1021050307,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210503,1021050307,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210504,1021050405,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,
102,102105,10210504,1021050405,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,
102,102105,10210504,1021050405,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,
102,102105,10210504,1021050405,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"they uses mulago hospital - very near"
