"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H25910-04-03","P25910-003",3,1,"P25910-001",,,2,,34,1,28,2,1,2,4,417,4,410,10,4,410,14,1,812.416076660156
"H25910-04-03","P25910-004",4,1,"P25910-001",,,1,"P25910-002",,,28,2,1,2,4,410,,,100,,,,,812.416076660156
"H25910-04-03","P25910-014",5,1,"P25910-001",,,2,,34,1,28,2,1,2,4,418,4,410,5,4,410,14,1,812.416076660156
"H25910-04-03","P25910-017",6,1,"P25910-001",,,1,"P25910-002",,,28,2,1,2,4,410,,,100,,,,,812.416076660156
"H26008-04-01","P26008-001",1,3,,,,3,,,,32,1,2,1,4,403,,,100,,,,,3443.49438476563
"H26008-04-01","P26008-002",2,3,,,,2,,73,19,32,3,,,4,403,,,100,,,,,3443.49438476563
"H26008-04-01","P26008-009",8,2,,31,5,2,,16,6,32,3,,,4,403,4,403,3,4,403,10,0,3443.49438476563
"H26008-04-01","P26008-010",9,2,,31,5,2,,16,6,32,3,,,4,403,4,403,3,4,403,10,0,3443.49438476563
"H26009-04-01","P26009-004",2,3,,,,3,,,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-01","P26009-005",3,3,,,,3,,,,32,2,2,2,4,403,4,403,30,4,403,9,0,573.915710449219
"H26009-04-01","P26009-007",5,1,"P26009-004",,,1,"P26009-005",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-01","P26009-008",6,1,"P26009-004",,,1,"P26009-005",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-01","P26009-009",7,1,"P26009-004",,,1,"P26009-005",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-01","P26009-010",8,1,"P26009-004",,,1,"P26009-005",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-01","P26009-011",9,1,"P26009-004",,,1,"P26009-005",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-01","P26009-012",10,3,,,,3,,,,32,2,2,2,4,403,4,403,25,4,403,96,0,573.915710449219
"H26009-04-02","P26009-013",1,2,,36,19,2,,12,19,32,2,1,2,4,403,,,100,,,,,573.915710449219
"H26009-04-02","P26009-014",2,2,,70,5,2,,70,19,32,2,1,2,4,403,4,403,4,4,403,9,1,573.915710449219
"H26009-04-02","P26009-018",3,1,"P26009-013",,,1,"P26009-014",,,32,2,1,2,4,403,,,100,,,,,573.915710449219
"H26009-04-03","P26009-001",1,2,,12,19,2,,70,19,32,3,,,4,403,,,100,,,,,573.915710449219
"H26009-04-03","P26009-002",2,3,,,,2,,70,19,32,3,,,4,403,4,403,4,4,403,9,1,573.915710449219
"H26009-04-03","P26009-003",3,1,"P26009-001",,,1,"P26009-002",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-04","P26009-019",1,2,,12,19,2,,34,19,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-04","P26009-020",2,2,,12,5,2,,17,19,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-04","P26009-021",3,1,"P26009-019",,,1,"P26009-020",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-04","P26009-022",4,1,"P26009-019",,,1,"P26009-020",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-04","P26009-025",5,1,"P26009-019",,,1,"P26009-020",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-05","P26009-023",1,2,,12,19,2,,34,19,32,2,2,2,4,403,4,403,2,4,403,5,0,573.915710449219
"H26009-04-05","P26009-024",2,2,,70,19,2,,70,19,32,2,2,2,4,403,4,403,2,4,403,5,1,573.915710449219
"H26009-04-05","P26009-026",3,1,"P26009-023",,,1,"P26009-024",,,32,2,2,2,4,403,,,100,,,,,573.915710449219
"H26009-04-06","P26009-006",1,2,,12,19,2,,13,19,32,2,1,2,4,403,,,100,,,,,573.915710449219
"H26009-04-06","P26009-027",2,2,,51,1,2,,70,7,34,2,1,2,2,202,4,403,8,2,202,1,0,573.915710449219
"H26010-04-01","P26010-001",2,3,,,,2,,99,9,32,2,2,3,4,403,,,100,,,,,3443.49438476563
"H26010-04-01","P26010-002",1,3,,,,2,,99,9,32,2,2,3,4,407,4,403,40,4,407,9,0,3443.49438476563
"H26010-04-01","P26010-007",7,2,,99,19,2,,99,19,32,3,,,4,407,4,403,5,4,407,8,0,3443.49438476563
"H26012-04-01","P26012-001",1,2,,14,4,1,"P26012-005",,,32,3,,,4,403,,,100,,,,,3443.49438476563
"H26012-04-01","P26012-003",3,2,,99,5,2,,99,5,31,1,2,2,4,403,,,100,,,,,3443.49438476563
"H26012-04-01","P26012-005",5,3,,,,2,,73,10,32,3,,,4,403,,,100,,,,,3443.49438476563
"H26012-04-01","P26012-007",7,2,,99,5,2,,99,5,32,3,,,4,403,4,403,5,4,403,9,0,3443.49438476563
"H26012-04-01","P26012-008",8,1,"P26012-001",,,1,"P26012-007",,,32,3,,,4,403,,,100,,,,,3443.49438476563
"H26012-04-01","P26012-009",9,1,"P26012-001",,,1,"P26012-007",,,32,1,2,2,4,403,,,100,,,,,3443.49438476563
"H26012-04-01","P26012-014",10,1,"P26012-001",,,1,"P26012-005",,,32,1,2,2,4,403,,,100,,,,,3443.49438476563
"H26102-04-02","P26102-001",1,3,,,,3,,,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26102-04-02","P26102-003",3,2,,3,19,2,,2,88,32,2,2,3,4,403,,,100,,,,,3443.49487304688
"H26102-04-02","P26102-004",4,2,,2,1,2,,2,88,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26102-04-02","P26102-010",10,2,,2,1,2,,2,88,32,3,,,1,103,1,103,0,1,103,8,1,3443.49487304688
"H26106-04-01","P26106-001",1,3,,,,3,,,,32,2,2,2,4,403,,,100,,,,,1721.74743652344
"H26106-04-01","P26106-002",2,3,,,,2,,1,19,32,2,2,2,4,403,4,403,38,4,403,9,2,1721.74743652344
"H26106-04-01","P26106-003",3,1,"P26106-001",,,1,"P26106-002",,,32,2,2,2,4,403,,,100,,,,,1721.74743652344
"H26106-04-01","P26106-006",4,2,,3,19,2,,2,19,32,2,2,2,4,403,,,100,,,,,1721.74743652344
"H26106-04-01","P26106-007",5,2,,2,19,2,,1,19,32,2,2,3,4,403,4,403,6,4,403,14,0,1721.74743652344
"H26106-04-01","P26106-008",6,1,"P26106-001",,,1,"P26106-002",,,32,2,2,3,4,403,,,100,,,,,1721.74743652344
"H26106-04-02","P26106-004",1,2,,2,19,2,,1,19,32,3,,,4,403,4,403,1,4,403,9,1,1721.74743652344
"H26106-04-02","P26106-009",2,2,,2,19,3,,,,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26106-04-02","P26106-010",3,1,"P26106-009",,,1,"P26106-004",,,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26107-04-01","P26107-001",1,3,,,,3,,,,30,3,,,5,513,4,403,30,5,513,9,0,3443.49487304688
"H26107-04-01","P26107-005",2,2,,2,1,2,,2,1,30,3,,,4,403,3,312,0,3,312,10,0,3443.49487304688
"H26107-04-01","P26107-006",3,2,,2,1,2,,2,19,30,3,,,4,403,,,100,,,,,3443.49487304688
"H26108-04-01","P26108-001",1,3,,,,3,,,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26108-04-01","P26108-003",2,3,,,,3,,,,17,3,,,1,106,4,403,7,1,106,9,1,3443.49487304688
"H26108-04-01","P26108-004",3,1,"P26108-001",,,1,"P26108-003",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26108-04-01","P26108-005",4,1,"P26108-001",,,1,"P26108-003",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26109-04-01","P26109-001",1,3,,,,2,,73,19,32,3,,,4,403,4,403,11,4,402,10,0,3443.49487304688
"H26109-04-01","P26109-002",2,2,,99,5,1,"P26109-001",,,28,3,,,4,402,4,403,11,4,402,11,0,3443.49487304688
"H26109-04-01","P26109-003",3,2,,99,5,1,"P26109-001",,,28,3,,,4,402,4,403,11,4,402,11,0,3443.49487304688
"H26109-04-01","P26109-004",4,2,,99,19,1,"P26109-001",,,30,3,,,4,403,,,100,,,,,3443.49487304688
"H26109-04-01","P26109-005",5,2,,99,5,1,"P26109-001",,,28,3,,,4,403,,,100,,,,,3443.49487304688
"H26110-04-01","P26110-001",1,3,,,,3,,,,30,2,1,2,4,408,4,403,46,4,408,5,0,3443.49487304688
"H26110-04-01","P26110-002",2,3,,,,3,,,,30,2,1,2,4,408,4,403,46,4,408,14,0,3443.49487304688
"H26110-04-01","P26110-006",3,2,,3,19,2,,3,19,30,3,,,4,403,,,100,,,,,3443.49487304688
"H26110-04-01","P26110-007",4,2,,3,19,2,,3,19,30,3,,,4,403,,,100,,,,,3443.49487304688
"H26111-04-01","P26111-001",2,3,,,,2,,12,19,32,2,2,2,4,403,4,403,3,4,403,9,1,3443.49487304688
"H26111-04-01","P26111-003",3,3,,,,1,"P26111-001",,,32,3,,,4,403,4,403,3,4,403,14,1,3443.49487304688
"H26111-04-01","P26111-004",4,3,,,,1,"P26111-001",,,32,3,,,4,403,4,403,3,4,403,14,1,3443.49487304688
"H26111-04-01","P26111-005",5,3,,,,1,"P26111-001",,,32,3,,,4,403,4,403,3,4,403,14,1,3443.49487304688
"H26111-04-01","P26111-006",6,3,,,,1,"P26111-001",,,32,3,,,4,403,4,403,3,4,403,14,1,3443.49487304688
"H26111-04-01","P26111-007",7,3,,,,1,"P26111-001",,,32,3,,,4,403,4,403,3,4,403,14,1,3443.49487304688
"H26111-04-01","P26111-008",8,1,"P26111-009",,,1,"P26111-001",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26111-04-01","P26111-009",1,2,,14,19,3,,,,32,1,2,2,4,403,,,100,,,,,3443.49487304688
"H26111-04-01","P26111-010",9,1,"P26111-009",,,2,,13,19,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26111-04-01","P26111-011",10,1,"P26111-009",,,2,,13,19,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26201-04-01","P26201-001",1,3,,,,3,,,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-002",2,3,,,,3,,,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-003",3,1,"P26201-001",,,1,"P26201-002",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-004",4,1,"P26201-001",,,1,"P26201-002",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-005",5,1,"P26201-001",,,1,"P26201-002",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-006",6,1,"P26201-001",,,1,"P26201-002",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-007",7,2,,12,5,1,"P26201-014",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-008",8,2,,99,88,3,,,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-009",9,2,,99,99,2,,17,19,17,2,2,1,1,102,4,403,8,4,403,14,3,1721.74743652344
"H26201-04-01","P26201-010",10,2,,12,5,1,"P26201-014",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-011",11,2,,12,5,1,"P26201-014",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-014",14,1,"P26201-001",,,1,"P26201-002",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-01","P26201-019",19,2,,12,5,1,"P26201-014",,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26201-04-03","P26201-013",1,3,,,,3,,,,32,2,2,1,4,403,,,100,,,,,1721.74743652344
"H26202-04-01","P26202-001",1,2,,15,19,2,,16,19,32,2,1,2,4,403,,,100,,,,,3443.49487304688
"H26202-04-01","P26202-002",2,2,,16,19,1,"P26202-001",,,32,2,1,2,4,403,,,100,,,,,3443.49487304688
"H26202-04-01","P26202-003",3,2,,16,19,1,"P26202-001",,,32,2,1,2,4,403,,,100,,,,,3443.49487304688
"H26202-04-01","P26202-004",4,2,,33,5,2,,32,5,32,2,1,2,4,403,,,100,,,,,3443.49487304688
"H26202-04-01","P26202-005",5,3,,,,2,,32,5,32,2,1,2,4,403,,,100,,,,,3443.49487304688
"H26203-04-01","P26203-002",1,3,,,,2,,8,9,32,2,9,2,4,403,4,403,50,4,403,9,0,1721.74743652344
"H26203-04-01","P26203-003",2,3,,,,1,"P26203-002",,,32,2,9,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-005",4,3,,,,1,"P26203-002",,,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-007",5,2,,71,17,2,,71,1,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-008",6,2,,71,17,2,,71,1,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-009",7,1,"P26203-003",,,2,,71,1,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-010",8,1,"P26203-003",,,2,,71,1,32,2,9,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-011",9,2,,61,1,2,,33,19,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-012",10,1,"P26203-005",,,2,,70,19,32,2,9,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-015",12,2,,71,19,2,,71,19,32,2,9,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-01","P26203-016",13,1,"P26203-003",,,2,,70,19,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26203-04-02","P26203-004",1,3,,,,2,,73,19,32,2,6,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-02","P26203-017",2,2,,15,19,2,,17,19,32,2,6,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-02","P26203-018",3,1,"P26203-004",,,1,"P26203-017",,,32,2,6,2,4,403,,,100,,,,,1721.74743652344
"H26203-04-02","P26203-019",4,1,"P26203-004",,,1,"P26203-017",,,32,2,6,2,4,403,,,100,,,,,1721.74743652344
"H26204-04-01","P26204-001",1,3,,,,2,,73,19,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26204-04-01","P26204-002",2,2,,34,5,2,,17,19,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26204-04-01","P26204-003",3,1,"P26204-001",,,1,"P26204-002",,,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26204-04-01","P26204-004",4,1,"P26204-001",,,1,"P26204-002",,,32,1,9,3,4,403,,,100,,,,,3443.49487304688
"H26205-04-01","P26205-002",1,3,,,,2,,15,19,32,3,,,4,403,4,403,5,4,403,9,0,3443.49487304688
"H26205-04-01","P26205-005",4,3,,,,2,,34,5,32,3,,,4,403,4,403,0,4,403,14,1,3443.49487304688
"H26205-04-01","P26205-006",5,2,,99,19,2,,99,19,32,3,,,4,403,4,403,1,4,403,8,1,3443.49487304688
"H26206-04-01","P26206-008",3,2,,99,1,2,,15,19,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26206-04-01","P26206-011",1,3,,,,2,,10,10,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26206-04-01","P26206-012",4,2,,13,1,1,"P26206-011",,,32,3,,,4,403,,,100,,,,,1721.74743652344
"H26206-04-01","P26206-013",5,2,,17,1,1,"P26206-012",,,32,3,,,4,403,,,1,4,403,14,1,1721.74743652344
"H26206-04-01","P26206-014",6,2,,17,1,1,"P26206-012",,,32,3,,,4,403,,,0,4,403,14,1,1721.74743652344
"H26206-04-02","P26206-007",1,2,,10,19,2,,12,19,32,3,,,4,403,4,403,3,4,403,9,0,1721.74743652344
"H26206-04-02","P26206-015",2,3,,,,2,,10,19,17,3,,,4,403,,,100,,,,,1721.74743652344
"H26206-04-02","P26206-016",3,1,"P26206-015",,,1,"P26206-007",,,17,3,,,4,403,,,100,,,,,1721.74743652344
"H26206-04-02","P26206-017",4,1,"P26206-015",,,1,"P26206-007",,,17,3,,,4,403,,,100,,,,,1721.74743652344
"H26207-04-01","P26207-001",1,3,,,,3,,,,32,2,2,3,4,403,,,100,,,,,3443.49487304688
"H26207-04-01","P26207-002",2,3,,,,2,,73,19,32,2,2,3,4,403,4,403,28,4,403,9,2,3443.49487304688
"H26207-04-01","P26207-004",4,1,"P26207-001",,,1,"P26207-002",,,32,2,2,3,4,403,,,100,,,,,3443.49487304688
"H26207-04-01","P26207-005",5,1,"P26207-001",,,1,"P26207-002",,,32,2,2,3,4,403,,,100,,,,,3443.49487304688
"H26207-04-01","P26207-006",6,1,"P26207-001",,,1,"P26207-002",,,32,2,2,3,4,403,,,100,,,,,3443.49487304688
"H26207-04-01","P26207-007",7,1,"P26207-001",,,1,"P26207-002",,,32,2,2,3,4,403,,,100,,,,,3443.49487304688
"H26208-04-01","P26208-001",1,2,,15,5,2,,15,19,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26208-04-01","P26208-002",2,2,,17,1,1,"P26208-001",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26208-04-01","P26208-003",3,2,,13,19,1,"P26208-001",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26208-04-01","P26208-004",4,2,,13,19,1,"P26208-001",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26208-04-01","P26208-005",5,2,,13,19,1,"P26208-001",,,32,3,,,4,403,,,100,,,,,3443.49487304688
"H26209-04-01","P26209-001",1,3,,,,3,,,,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-01","P26209-002",2,3,,,,3,,,,32,2,2,1,4,403,4,403,33,4,403,9,0,688.698974609375
"H26209-04-01","P26209-006",3,1,"P26209-001",,,1,"P26209-002",,,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-01","P26209-008",4,1,"P26209-001",,,1,"P26209-002",,,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-02","P26209-003",1,2,,34,19,2,,17,5,32,1,2,1,4,403,4,403,2,4,403,9,1,688.698974609375
"H26209-04-02","P26209-014",2,2,,17,19,2,,73,19,32,1,2,2,4,403,,,100,,,,,688.698974609375
"H26209-04-02","P26209-015",3,1,"P26209-014",,,2,,34,15,32,3,,,4,403,4,403,1,4,403,14,1,688.698974609375
"H26209-04-02","P26209-016",4,1,"P26209-014",,,2,,34,15,32,3,,,4,403,4,403,1,4,403,14,1,688.698974609375
"H26209-04-02","P26209-017",5,1,"P26209-014",,,1,"P26209-003",,,32,3,,,4,403,,,100,,,,,688.698974609375
"H26209-04-03","P26209-005",1,2,,34,19,2,,17,19,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-03","P26209-018",2,2,,32,19,2,,32,19,32,2,2,1,4,403,4,403,2,4,403,9,1,688.698974609375
"H26209-04-03","P26209-019",3,1,"P26209-005",,,1,"P26209-018",,,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-04","P26209-004",1,2,,41,10,2,,17,99,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-04","P26209-020",2,2,,34,1,2,,17,19,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-04","P26209-021",3,1,"P26209-004",,,1,"P26209-020",,,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-05","P26209-007",1,2,,34,10,2,,34,5,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26209-04-05","P26209-022",2,2,,17,19,2,,17,19,32,2,2,1,4,403,4,403,0,4,403,9,1,688.698974609375
"H26209-04-05","P26209-023",3,1,"P26209-007",,,2,,17,19,32,2,2,1,4,403,,,100,,,,,688.698974609375
"H26210-04-01","P26210-001",1,3,,,,3,,,,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26210-04-01","P26210-002",2,3,,,,3,,,,32,1,9,2,4,403,4,403,51,4,403,9,0,3443.49487304688
"H26210-04-01","P26210-005",3,2,,99,5,2,,33,5,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26210-04-01","P26210-006",4,3,,,,2,,15,19,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26210-04-01","P26210-010",5,3,,,,3,,,,32,1,9,2,4,403,,,100,,,,,3443.49487304688
"H26302-04-01","P26302-001",1,3,,,,3,,,,41,2,2,3,4,409,4,403,64,4,409,1,0,3443.49438476563
"H26304-04-01","P26304-001",1,3,,,,3,,,,49,3,,,3,310,4,403,33,3,310,3,0,3443.49438476563
"H26304-04-01","P26304-002",2,3,,,,3,,,,49,3,,,3,310,4,403,33,3,310,3,0,3443.49438476563
"H26304-04-01","P26304-004",3,1,"P26304-001",,,1,"P26304-002",,,49,3,,,4,403,,,100,,,,,3443.49438476563
"H26304-04-01","P26304-005",4,1,"P26304-001",,,1,"P26304-002",,,49,9,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-001",1,2,,2,19,2,,1,19,12,3,,,3,310,4,403,33,3,310,14,0,3443.49438476563
"H26305-04-01","P26305-002",2,2,,1,19,2,,1,19,12,3,,,3,310,4,403,13,3,310,9,0,3443.49438476563
"H26305-04-01","P26305-003",3,1,"P26305-001",,,1,"P26305-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-004",4,1,"P26305-001",,,1,"P26305-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-005",5,1,"P26305-001",,,1,"P26305-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-012",9,1,"P26305-001",,,1,"P26305-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-013",10,1,"P26305-001",,,1,"P26305-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-014",6,1,"P26305-001",,,1,"P26305-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26305-04-01","P26305-020",7,2,,2,19,2,,2,19,32,3,,,4,403,3,310,4,4,403,14,1,3443.49438476563
"H26306-04-01","P26306-001",1,3,,,,2,,1,19,12,3,,,4,409,4,403,15,4,409,9,0,3443.49438476563
"H26306-04-01","P26306-002",2,3,,,,2,,2,19,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26306-04-01","P26306-003",3,1,"P26306-002",,,1,"P26306-001",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26306-04-01","P26306-004",4,1,"P26306-002",,,1,"P26306-001",,,12,3,,,4,409,,,100,,,,,3443.49438476563
"H26306-04-01","P26306-005",5,1,"P26306-002",,,1,"P26306-001",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26306-04-01","P26306-006",6,1,"P26306-002",,,1,"P26306-001",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26306-04-01","P26306-007",7,1,"P26306-002",,,1,"P26306-001",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26307-04-01","P26307-001",1,2,,99,99,2,,99,19,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26307-04-01","P26307-005",3,1,"P26307-001",,,1,"P26307-006",,,12,2,2,2,4,403,,,100,,,,,3443.49438476563
"H26307-04-01","P26307-006",4,2,,99,23,2,,99,19,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26307-04-01","P26307-007",5,1,"P26307-001",,,1,"P26307-006",,,12,2,2,2,4,403,,,100,,,,,3443.49438476563
"H26307-04-01","P26307-008",6,1,"P26307-001",,,1,"P26307-006",,,12,2,2,2,4,403,,,100,,,,,3443.49438476563
"H26308-04-01","P26308-001",1,2,,2,19,2,,1,19,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26308-04-01","P26308-002",2,2,,3,1,2,,1,19,12,3,,,4,403,4,403,8,4,403,9,0,3443.49438476563
"H26308-04-01","P26308-004",3,1,"P26308-001",,,1,"P26308-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26308-04-01","P26308-005",4,1,"P26308-001",,,1,"P26308-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26308-04-01","P26308-006",5,1,"P26308-001",,,1,"P26308-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-001",1,3,,,,3,,,,57,2,1,2,3,303,4,403,42,3,303,1,0,3443.49438476563
"H26309-04-01","P26309-002",2,1,"P26309-001",,,1,"P26309-010",,,57,3,,,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-003",3,1,"P26309-001",,,1,"P26309-010",,,57,2,1,2,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-004",4,1,"P26309-001",,,1,"P26309-010",,,57,2,1,2,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-005",5,1,"P26309-001",,,1,"P26309-010",,,57,9,,,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-006",6,1,"P26309-001",,,1,"P26309-010",,,57,9,,,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-008",7,1,"P26309-001",,,1,"P26309-010",,,57,2,1,2,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-009",8,1,"P26309-001",,,1,"P26309-010",,,57,9,,,4,403,,,100,,,,,3443.49438476563
"H26309-04-01","P26309-010",9,3,,,,3,,,,57,9,,,3,303,4,403,21,3,303,9,0,3443.49438476563
"H26311-04-01","P26311-001",1,3,,,,2,,73,19,49,3,,,4,403,4,403,10,4,403,5,0,3443.49438476563
"H26311-04-01","P26311-002",2,2,,73,19,2,,73,19,12,3,,,5,530,4,403,10,4,403,9,0,3443.49438476563
"H26311-04-01","P26311-003",3,1,"P26311-001",,,1,"P26311-002",,,49,3,,,4,403,,,100,,,,,3443.49438476563
"H26311-04-01","P26311-004",4,1,"P26311-001",,,1,"P26311-002",,,49,3,,,4,403,,,100,,,,,3443.49438476563
"H26311-04-01","P26311-005",5,1,"P26311-001",,,1,"P26311-002",,,49,3,,,4,403,,,100,,,,,3443.49438476563
"H26311-04-01","P26311-006",6,1,"P26311-001",,,1,"P26311-002",,,49,3,,,4,403,,,100,,,,,3443.49438476563
"H26311-04-01","P26311-007",7,1,"P26311-001",,,1,"P26311-002",,,12,3,,,4,403,,,100,,,,,3443.49438476563
"H26403-04-01","P26403-001",1,3,,,,3,,,,25,3,,,4,403,,,100,,,,,3443.49487304688
"H26403-04-01","P26403-002",2,1,"P26403-001",,,2,,16,19,25,3,,,4,403,,,100,,,,,3443.49487304688
"H26403-04-01","P26403-003",3,1,"P26403-001",,,2,,16,19,25,3,,,4,403,,,100,,,,,3443.49487304688
"H26405-04-01","P26405-001",1,3,,,,2,,31,19,11,2,2,1,3,316,4,403,20,3,316,1,2,3443.49487304688
"H26405-04-01","P26405-002",3,3,,,,2,,73,19,11,2,2,1,4,403,,,100,,,,,3443.49487304688
"H26405-04-01","P26405-003",4,1,"P26405-001",,,1,"P26405-002",,,11,2,2,1,4,403,,,100,,,,,3443.49487304688
"H26405-04-01","P26405-004",5,1,"P26405-001",,,1,"P26405-002",,,11,2,2,1,4,403,,,100,,,,,3443.49487304688
"H26405-04-01","P26405-006",6,1,"P26405-001",,,1,"P26405-002",,,11,2,2,1,4,403,,,100,,,,,3443.49487304688
"H26406-04-01","P26406-001",1,3,,,,3,,,,25,3,,,4,404,4,403,38,4,403,5,0,3443.49487304688
"H26406-04-01","P26406-002",2,2,,15,19,2,,73,19,25,3,,,4,410,4,403,31,4,403,9,0,3443.49487304688
"H26406-04-01","P26406-003",3,1,"P26406-001",,,1,"P26406-002",,,25,3,,,4,403,,,100,,,,,3443.49487304688
