"HHID","a9q2","a9q3","A9Q3_other","a9q4a","a9q4b","a9q4c","a9q4d","a9q5a","a9q5b","a9q5c","a9q5d","a9q5d_2","a9q5e","a9q5f","a9q5f_2","a9q5g","a9q6a","a9q6b","a9q7","a9q8","a9q9","a9q10","hh","wgt_X"
36040408,3,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,4,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,5,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,6,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-08",850.567138671875
36040409,1,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,2,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,3,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,4,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,5,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,6,2,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36050402,1,2,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,2,2,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,3,2,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,4,2,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,5,2,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,6,2,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36070401,1,2,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,2,2,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,3,2,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,4,2,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,5,2,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,6,2,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36080401,1,1,,3608001,,,,1,1,2,2,1,2,2,"no",1,1,1,0,2,,1,"H03608-04-01",2551.70141601563
36080401,2,2,,,,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,3,2,,,,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,4,2,,,,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,5,2,,,,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,6,2,,,,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
37040401,1,2,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,2,2,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,3,2,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,4,2,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,5,2,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,6,2,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37050401,1,2,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,2,2,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,3,2,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,4,2,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,5,2,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,6,2,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37060401,1,2,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,2,2,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,3,2,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,4,2,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,5,2,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,6,2,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37070401,1,2,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,2,2,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,3,2,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,4,2,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,5,2,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,6,2,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
