"HHID","ALiveStock_Small_ID","a6bq2","a6bq3a","a6bq3b","a6bq3c","a6bq3d","a6bq3e","a6bq4a","a6bq4b","a6bq4c","a6bq5a","a6bq5b","a6bq5c","a6bq6","a6bq7","a6bq8","a6bq9","a6bq10","a6bq11","a6bq12","a6bq13a","a6bq13b","a6bq14a","a6bq14b","a6bq15","a6bq15b","a6bq15c","a6bq16","hh","wgt_X"
36030405,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,19,1,0,,,,,1,3603001,3603002,0,,,0,0,0,0,0,0,0,0,,0,,0,1,5,3,"H03603-04-05",2551.70141601563
36030405,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36040409,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,19,1,3,3604032,3604031,3604033,3604034,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,5,1,"H03604-04-09",850.567138671875
36040409,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36050402,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,22,1,1,3605008,,3605008,,0,,,0,,,1,2,0,0,0,0,0,0,,0,,2,1,5,1,"H03605-04-02",2551.70141601563
36070401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,22,1,9,3607006,,3607006,,0,,,0,,,4,10,0,0,0,1,4,0,,0,,0,1,3,1,"H03607-04-01",2551.70141601563
36080401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03608-04-01",2551.70141601563
36080401,22,1,1,3608001,,3608001,,0,,,0,,,0,0,0,0,0,0,0,1,40000,0,,0,1,5,1,"H03608-04-01",2551.70141601563
37050401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,22,1,1,3705005,3705002,3705002,3705005,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,1,1,"H03705-04-01",2551.70141601563
37070401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,19,1,6,3707002,,3707002,,0,,,0,,,2,4,0,0,0,0,0,0,,0,,0,1,3,1,"H03707-04-01",1275.85070800781
37070401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,22,1,3,3707002,,3707002,,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,3,1,"H03707-04-01",1275.85070800781
38090401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,19,1,3,3809002,3809010,3809002,3809010,0,,,0,,,7,0,0,4,0,0,0,0,,0,,0,1,1,2,"H03809-04-01",2551.70141601563
38090401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03809-04-01",2551.70141601563
39030401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,18,1,3,3903003,3903001,3903003,3903007,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,3,1,"H03903-04-01",2551.70141601563
39030401,19,1,2,3903003,,3903003,3903007,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,3,1,"H03903-04-01",2551.70141601563
