"HHID","AGroup_ID","a8bq1","a8bq2","a8bq3","a8bq4","a8bq5","a8bq5_1","a8bq6","a8bq7","a8bq8","a8bq9","a8bq10a","a8bq10b","hh","wgt_X"
108020401,106,0,,,,,,,,,,,,"H10802-04-01",2272.64404296875
108030401,105,0,,,,,,,,,,,,"H10803-04-01",757.547973632813
108030401,106,0,,,,,,,,,,,,"H10803-04-01",757.547973632813
108030403,105,0,,,,,,,,,,,,"H10803-04-03",757.547973632813
108030403,106,0,,,,,,,,,,,,"H10803-04-03",757.547973632813
108040401,105,2,6,3.5,1,84,3,0,,2,120000,10804001,99999999,"H10804-04-01",2272.64404296875
108050401,106,0,,,,,,,,,,,,"H10805-04-01",2272.64404296875
108070402,106,0,,,,,,,,,,,,"H10807-04-02",1136.32202148438
109040401,105,5,12,3,2,1,2,0,,2,720000,10904001,10904002,"H10904-04-01",2272.64404296875
109050401,105,0,,,,,,,,,,,,"H10905-04-01",2272.64404296875
109050401,106,0,,,,,,,,,,,,"H10905-04-01",2272.64404296875
109090401,105,1,6,2,1,2,0,0,,,,,,"H10909-04-01",568.161010742188
109090401,106,0,,,,,,,,,,,,"H10909-04-01",568.161010742188
109090402,105,0,,,,,,,,,,,,"H10909-04-02",568.161010742188
109090402,106,0,,,,,,,,,,,,"H10909-04-02",568.161010742188
109100401,106,0,,,,,,,,,,,,"H10910-04-01",2272.64404296875
110010401,106,0,,,,,,,,,,,,"H11001-04-01",2272.64404296875
110020401,106,0,,,,,,,,,,,,"H11002-04-01",2272.64404296875
110070401,105,2,4,1,1,1,0,0,,,,,,"H11007-04-01",2272.64404296875
110070401,106,0,,,,,,,,,,,,"H11007-04-01",2272.64404296875
110100401,105,1,6,5,1,5,0,0,,,,,,"H11010-04-01",2272.64404296875
110100401,106,0,,,,,,,,,,,,"H11010-04-01",2272.64404296875
110110401,105,0,,,,,,,,,,,,"H11011-04-01",2272.64404296875
110110401,106,0,,,,,,,,,,,,"H11011-04-01",2272.64404296875
115020401,105,0,,,,,,,,,,,,"H11502-04-01",1136.32202148438
115050401,105,1,1,2,1,2,0,0,,,,,,"H11505-04-01",2272.64404296875
115070401,106,0,,,,,,,,,,,,"H11507-04-01",2272.64404296875
118080401,105,0,,,,,,,,,,,,"H11808-04-01",1136.32202148438
