"District_Name","SubCounty","Parish","Villagecode","Class_ID","C3KQ52","C3KQ53","C3KQ54","C3KQ55A","C3KQ55B","C3KQ56","C3KQ57","C3KQ58","C3KQ59","C3KQ60","C3KQ61","C3KQ62","C3KQ63","C3KQ64","C3KQ65","C3KQ66","C3KQ52_V2","C3KQ53_V2","C3KQ54_V2","C3KQ55A_V2","C3KQ55B_V2","C3KQ56_V2","C3KQ57_V2","C3KQ58_V2","C3KQ59_V2","C3KQ60_V2","C3KQ61_V2","C3KQ62_V2","C3KQ63_V2","C3KQ64_V2","C3KQ65_V2","C3KQ66_V2","Education_Response","Reason_Edu_Not_Done"
102,102103,10210301,1021030109,3,,1,2,44,46,1,3,1,,,,1,74,1,1,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,4,,2,1,38,47,1,3,1,,,,1,79,1,1,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,5,,2,1,38,50,1,1,1,,,,1,74,1,2,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,6,,1,1,44,66,1,2,1,,,,1,83,1,2,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,7,,2,2,17,39,1,1,1,,,,1,40,1,1,1,,,,,,,,,,,,,,,,,1,
102,102103,10210302,1021030203,1,,2,2,12,13,2,3,,,,,,,,,,,2,2,11,11,2,3,1,,,,2,6,1,2,1,1,
102,102103,10210302,1021030203,2,,2,2,14,16,2,3,,,,,,,,,,,2,2,10,16,2,3,1,,,,2,10,1,2,1,1,
102,102103,10210302,1021030203,3,,2,2,8,12,2,3,,,,,,,,,,,2,2,13,11,2,3,1,,,,2,8,1,1,1,1,
102,102103,10210302,1021030203,4,,1,1,13,14,2,3,,,,,,,,,,,1,3,15,7,2,3,1,,,,2,9,1,1,,1,
102,102103,10210302,1021030203,5,,2,2,12,10,2,3,,,,,,,,,,,1,1,16,12,2,3,1,,,,2,10,1,1,1,1,
102,102103,10210302,1021030203,6,,1,2,9,12,2,3,,,,,,,,,,,1,2,12,20,2,3,1,,,,2,17,1,1,1,1,
102,102103,10210302,1021030203,7,,,,,,,,,,,,,,,,,,1,3,6,7,2,3,1,,,,2,13,1,1,1,1,
102,102103,10210304,1021030412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210305,1021030504,1,,2,1,29,21,1,4,1,,,,1,43,1,3,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,2,,2,1,25,15,1,4,1,,,,1,29,1,1,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,3,,2,1,6,16,1,1,1,,,,1,21,1,3,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,4,,2,1,27,17,1,4,1,,,,1,32,1,3,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,5,,2,1,12,25,1,4,1,,,,1,32,1,2,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,6,,1,1,30,20,1,4,1,,,,1,50,1,2,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,7,,1,2,12,18,1,3,2,1,96,,1,26,1,2,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030509,1,,,,,,,,,,,,,,,,,,2,2,28,36,2,4,1,,,,1,49,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,2,,,,,,,,,,,,,,,,,,2,1,39,33,1,4,1,,,,1,26,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,3,,,,,,,,,,,,,,,,,,2,2,47,52,1,4,1,,,,1,54,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,4,,,,,,,,,,,,,,,,,,2,2,35,43,1,4,1,,,,1,56,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,5,,,,,,,,,,,,,,,,,,2,1,35,53,1,4,1,,,,1,84,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,6,,,,,,,,,,,,,,,,,,2,1,31,47,1,4,1,,,,1,50,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,7,,,,,,,,,,,,,,,,,,1,2,27,27,1,4,1,,,,1,54,1,1,1,3,"No Contact"
102,102103,10210306,1021030606,1,,2,2,20,36,2,4,1,,,,1,53,1,1,1,,2,2,20,36,2,4,1,,,,1,53,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,2,,2,2,13,39,1,3,1,,,,1,49,1,1,1,,2,2,13,39,1,3,1,,,,1,49,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,3,,2,1,28,26,2,4,1,,,,1,53,1,1,1,,2,1,28,26,1,4,1,,,,1,53,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,4,,1,1,25,26,1,3,1,,,,2,70,1,1,1,,1,1,25,26,1,3,1,,,,1,70,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,5,,2,1,20,43,1,4,1,,,,1,58,1,1,1,,2,1,20,43,1,4,1,,,,1,58,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,6,,1,1,15,34,1,3,1,,,,1,63,1,1,1,,1,1,15,34,1,3,1,,,,1,63,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,7,,2,1,30,27,1,4,1,,,,1,55,1,1,1,,1,1,30,27,1,4,1,,,,1,55,1,1,1,3,"school closed for holidays"
102,102103,10210308,1021030803,1,,2,2,49,43,2,5,1,,,,2,92,1,1,1,,2,2,36,51,1,1,1,,,,2,88,1,1,1,,
102,102103,10210308,1021030803,2,,2,2,36,44,2,5,1,,,,2,77,1,1,1,,2,2,39,33,1,1,1,,,,2,74,1,1,1,,
102,102103,10210308,1021030803,3,,2,2,23,30,2,5,1,,,,2,53,1,1,1,,2,2,29,41,1,1,1,,,,2,75,1,1,1,,
102,102103,10210308,1021030803,4,,2,2,29,27,2,5,1,,,,2,54,1,1,1,,2,2,23,28,2,1,1,,,,2,52,1,1,1,,
102,102103,10210308,1021030803,5,,1,2,19,28,2,5,1,,,,2,47,1,1,1,,1,2,32,19,1,1,1,,,,2,54,1,1,1,,
102,102103,10210308,1021030803,6,,1,2,21,16,2,5,1,,,,2,37,1,1,1,,1,2,13,27,2,1,1,,,,2,36,1,1,1,,
102,102103,10210308,1021030803,7,,1,1,12,18,2,5,2,1,96,,2,0,,,1,,1,1,15,11,1,1,1,,,,2,26,1,1,1,,
102,102103,10210309,1021030904,1,,2,2,11,11,2,5,1,,,,2,14,1,1,2,,2,3,7,10,2,5,1,,,,2,16,1,1,1,1,
102,102103,10210309,1021030904,1,,2,2,11,11,2,5,1,,,,2,14,1,1,2,,2,3,7,10,2,5,1,,,,2,16,1,1,1,1,
102,102103,10210309,1021030904,1,,2,2,11,11,2,5,1,,,,2,14,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,1,,2,2,11,11,2,5,1,,,,2,14,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,2,,2,1,17,23,2,1,1,,,,2,23,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,2,,2,1,17,23,2,1,1,,,,2,23,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,2,,2,1,17,23,2,5,1,,,,2,23,1,1,2,,2,2,10,12,2,5,1,,,,2,16,1,1,1,1,
102,102103,10210309,1021030904,2,,2,1,17,23,2,5,1,,,,2,23,1,1,2,,2,2,10,12,2,5,1,,,,2,16,1,1,1,1,
102,102103,10210309,1021030904,3,,2,2,10,15,2,5,1,,,,2,19,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,3,,2,2,10,15,2,5,1,,,,2,19,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,3,,2,2,10,15,2,5,1,,,,2,19,1,1,2,,2,2,10,21,1,5,1,,,,2,18,1,1,2,1,
102,102103,10210309,1021030904,3,,2,2,10,15,2,5,1,,,,2,19,1,1,2,,2,2,10,21,1,5,1,,,,2,18,1,1,2,1,
102,102103,10210309,1021030904,4,,2,3,9,14,2,5,1,,,,2,14,1,1,2,,1,2,7,12,2,5,2,2,,13,2,19,1,1,2,1,
102,102103,10210309,1021030904,4,,2,3,9,14,2,5,1,,,,2,14,1,1,2,,1,2,7,12,2,5,2,2,,13,2,19,1,1,2,1,
102,102103,10210309,1021030904,4,,2,3,9,14,2,5,1,,,,2,14,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,4,,2,3,9,14,2,5,1,,,,2,14,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,5,,1,2,11,15,2,5,1,,,,2,19,1,1,2,,1,3,7,11,2,5,1,,,,2,11,1,1,2,1,
102,102103,10210309,1021030904,5,,1,2,11,15,2,5,1,,,,2,19,1,1,2,,1,3,7,11,2,5,1,,,,2,11,1,1,2,1,
102,102103,10210309,1021030904,5,,1,2,11,15,2,5,1,,,,2,19,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,5,,1,2,11,15,2,5,1,,,,2,19,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,6,,1,1,10,9,2,5,1,,,,2,15,1,1,2,,1,2,15,14,2,5,1,,,,2,29,1,1,2,1,
102,102103,10210309,1021030904,6,,1,1,10,9,2,5,1,,,,2,15,1,1,2,,1,2,15,14,2,5,1,,,,2,29,1,1,2,1,
102,102103,10210309,1021030904,6,,1,1,10,9,2,5,1,,,,2,15,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,6,,1,1,10,9,2,5,1,,,,2,15,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,7,,1,2,11,12,2,5,1,,,,2,12,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,7,,1,2,11,12,2,5,1,,,,2,12,1,1,2,,,,,,,,,,,,,,,,,1,
102,102103,10210309,1021030904,7,,1,2,11,12,2,5,1,,,,2,12,1,1,2,,1,1,12,10,2,5,2,2,,13,2,19,1,1,2,1,
102,102103,10210309,1021030904,7,,1,2,11,12,2,5,1,,,,2,12,1,1,2,,1,1,12,10,2,5,2,2,,13,2,19,1,1,2,1,
102,102103,10210312,1021031208,1,,2,2,36,38,2,5,2,,,,1,,,,1,,2,2,27,29,1,3,1,,,,1,59,1,1,1,2,
102,102103,10210312,1021031208,2,,2,1,41,52,2,5,2,,,,1,,,,1,,2,2,40,46,1,2,1,,,,2,72,1,1,1,2,
102,102103,10210312,1021031208,3,,2,2,60,93,2,5,2,,,,1,,,,1,,2,2,42,64,2,1,1,,,,1,88,1,1,1,2,
102,102103,10210312,1021031208,4,,2,2,65,82,2,5,2,,,,1,,,,1,,2,1,60,65,1,2,1,,,,1,98,1,1,,2,
102,102103,10210312,1021031208,5,,2,1,79,85,1,4,2,,,,1,,,,1,,2,1,55,65,1,2,1,,,,1,95,1,1,1,2,
102,102103,10210312,1021031208,6,,2,1,66,94,1,4,2,,,,,,,,1,,1,2,59,66,1,2,1,,,,1,115,1,1,1,2,
102,102103,10210312,1021031208,7,,,,,,,,,,,,,,,,,,2,1,57,54,1,2,1,,,,1,108,1,1,1,2,
102,102104,10210401,1021040102,1,,2,2,30,34,2,5,1,,,,1,57,1,1,1,,2,2,30,34,2,5,1,,,,1,57,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,2,,2,2,41,57,2,5,1,,,,1,73,1,1,1,,2,2,41,57,2,5,1,,,,1,73,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,3,,2,1,64,64,2,5,1,,,,1,109,1,1,1,,2,1,64,64,2,5,1,,,,1,109,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,4,,2,2,58,72,1,4,1,,,,1,104,1,1,1,,2,2,58,72,1,4,1,,,,1,104,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,5,,2,2,58,77,1,3,1,,,,1,109,1,1,1,,2,2,58,77,1,3,1,,,,1,109,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,6,,1,2,46,69,1,3,1,,,,1,90,1,1,1,,1,2,46,69,1,2,1,,,,1,90,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,7,,1,2,52,38,1,2,1,,,,1,68,1,1,1,,1,2,52,38,1,2,1,,,,1,68,1,1,1,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210402,1021040203,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210402,1021040203,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210402,1021040203,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210402,1021040203,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210402,1021040203,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210402,1021040203,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
