"HHID","LiveStockID","a6aq2","a6aq3a","a6aq3b","a6aq3c","a6aq3d","a6aq3e","a6aq4a","a6aq4b","a6aq4c","a6aq5a","a6aq5b","a6aq5c","a6aq6","a6aq7","a6aq8","a6aq9","a6aq10","a6aq11","a6aq12","a6aq13a","a6aq13b","a6aq14a","a6aq14b","a6aq15","a6aq15b","a6aq15c","a6aq16","hh","wgt_X"
39090402,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39100401,1,1,5,3910001,,3910001,3910002,0,,,1,3,100000,5,2,0,0,0,0,2,0,,0,,0,1,1,1,"H03910-04-01",2551.70141601563
39100401,2,1,2,3910001,,3910001,,0,,,1,3,100000,2,0,0,0,0,0,0,0,,0,,0,1,1,1,"H03910-04-01",2551.70141601563
39100401,3,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,4,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,5,1,7,3910001,,3910001,,0,,,1,3,100000,4,5,0,0,0,0,2,0,,0,,0,1,2,1,"H03910-04-01",2551.70141601563
39100401,6,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,7,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,8,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,9,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,10,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,11,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,12,2,,,,,,,,,1,3,100000,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
40020401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,7,1,2,4002002,4002001,4002001,4002002,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1,"H04002-04-01",2551.70141601563
40020401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
