"HHID","h15eq2","h15eq2_1","h15eq3","wgt_X"
"H05305-04-03",803,1,30000,465.4111328125
"H05305-04-03",806,1,50000,465.4111328125
"H05305-04-03",807,1,20000,465.4111328125
"H05305-04-05",806,1,60000,465.4111328125
"H05306-04-01",807,1,8000,1396.2333984375
"H05306-04-02",807,1,10000,1396.2333984375
"H05308-04-01",807,1,10000,2792.466796875
"H05309-04-01",806,1,60000,2792.466796875
"H05309-04-01",807,1,100000,2792.466796875
"H05310-04-01",806,1,100000,1396.2333984375
"H05310-04-02",806,1,70000,1396.2333984375
"H05310-04-02",807,1,50000,1396.2333984375
"H05404-04-01",807,1,15000,2792.46655273438
"H05407-04-02",806,1,500000,1396.23327636719
"H05409-04-01",806,1,30000,2792.46655273438
"H05409-04-01",807,1,30000,2792.46655273438
"H05410-04-01",807,1,6000,2792.46655273438
"H05410-04-01",809,1,200000,2792.46655273438
"H05412-04-01",806,1,80000,930.822265625
"H05412-04-01",807,1,10000,930.822265625
"H05412-04-02",806,1,30000,930.822265625
"H05412-04-02",807,1,10000,930.822265625
"H05702-04-01",806,1,100000,2792.466796875
"H05702-04-01",807,1,50000,2792.466796875
"H05703-04-01",807,1,20000,2792.466796875
"H05704-04-01",808,1,50000,2792.466796875
"H05705-04-01",806,1,100000,2792.466796875
"H05706-04-01",806,1,320000,2792.466796875
"H05706-04-01",807,1,40000,2792.466796875
"H05710-04-01",806,1,200000,2792.466796875
"H05710-04-01",807,1,600000,2792.466796875
"H05711-04-02",806,1,50000,1396.2333984375
"H05901-04-01",807,1,25000,2551.701171875
"H05901-04-01",809,1,200000,2551.701171875
"H05904-04-01",806,1,1000000,2551.701171875
"H05904-04-01",807,1,1000000,2551.701171875
"H05906-04-01",806,1,1000000,1275.8505859375
"H05906-04-01",807,1,300000,1275.8505859375
"H05910-04-01",806,1,50000,2551.701171875
"H06001-04-01",806,1,15000,2551.70141601563
"H06005-04-01",804,1,35000,2551.70141601563
"H06005-04-01",806,1,100000,2551.70141601563
"H06005-04-01",807,1,20000,2551.70141601563
"H06006-04-01",806,1,250000,2551.70141601563
"H06006-04-01",807,1,20000,2551.70141601563
"H06006-04-01",809,1,10000,2551.70141601563
"H06007-04-01",806,1,35000,2551.70141601563
"H06007-04-01",807,1,20000,2551.70141601563
"H06008-04-01",806,1,60000,2551.70141601563
"H06009-04-01",806,1,50000,2551.70141601563
"H06009-04-01",807,1,200000,2551.70141601563
"H06009-04-01",808,1,300000,2551.70141601563
"H06009-04-01",809,1,400000,2551.70141601563
"H06010-04-01",806,1,140000,2551.70141601563
"H06010-04-01",807,1,30000,2551.70141601563
"H06103-04-01",807,1,70000,2551.70141601563
"H06104-04-01",806,1,30000,850.567138671875
"H06104-04-01",807,1,28000,850.567138671875
