"HHID","h14q2","h14q3","h14q4","h14q3A","h14q3B","h14q5","h14q2b","h14q8","h14q2c","h14q6","h14q7","wgt_X"
"H00307-04-01",1,2,,,,,,,,,,1874.79821777344
"H00307-04-01",2,2,,,,,,,,,,1874.79821777344
"H00307-04-01",3,2,,,,,,,2000000,,,1874.79821777344
"H00307-04-01",4,2,,,,,,,50000,,,1874.79821777344
"H00307-04-01",5,2,,,,,,,,,,1874.79821777344
"H00307-04-01",6,1,1,"P00307-002","P00307-001",100000,,,,,1,1874.79821777344
"H00307-04-01",7,2,,,,,,,,,,1874.79821777344
"H00307-04-01",8,2,,,,,,,,,,1874.79821777344
"H00307-04-01",9,2,,,,,,,,,,1874.79821777344
"H00307-04-01",10,2,,,,,,,,,,1874.79821777344
"H00307-04-01",11,2,,,,,,,,,,1874.79821777344
"H00307-04-01",12,2,,,,,,,,,,1874.79821777344
"H00307-04-01",13,2,,,,,,,,,,1874.79821777344
"H00307-04-01",14,2,,,,,,,,,,1874.79821777344
"H00307-04-01",15,2,,,,,,,,,,1874.79821777344
"H00307-04-01",16,1,2,"P00307-002","P00307-001",50000,,,,,1,1874.79821777344
"H00307-04-01",17,2,,,,,,,,,,1874.79821777344
"H00307-04-01",18,2,,,,,,,,,,1874.79821777344
"H00307-04-01",19,2,,,,,,,,,,1874.79821777344
"H00307-04-01",20,2,,,,,,,,,,1874.79821777344
"H00307-04-01",21,2,,,,,,,,,,1874.79821777344
"H00307-04-01",22,2,,,,,,,,,,1874.79821777344
"H00312-04-01",1,2,,,,,,,,,,1874.79821777344
"H00312-04-01",2,2,,,,,,,,,,1874.79821777344
"H00312-04-01",3,2,,,,,,,,,,1874.79821777344
"H00312-04-01",4,1,,"P00312-001",,35000,,,10000,,,1874.79821777344
"H00312-04-01",5,2,,,,,,,,,,1874.79821777344
"H00312-04-01",6,1,1,"P00312-001",,250000,1,,80000,,,1874.79821777344
"H00312-04-01",7,1,1,"P00312-001",,10000,1,,15000,,,1874.79821777344
"H00312-04-01",8,2,,,,,,,,,,1874.79821777344
"H00312-04-01",9,2,,,,,,,,,,1874.79821777344
"H00312-04-01",10,2,,,,,,,,,,1874.79821777344
"H00312-04-01",11,1,1,"P00312-008",,900000,,,,,3,1874.79821777344
"H00312-04-01",12,2,,,,,,,,,,1874.79821777344
"H00312-04-01",13,2,,,,,,,,,,1874.79821777344
"H00312-04-01",14,2,,,,,,,,,,1874.79821777344
"H00312-04-01",15,1,1,"P00312-001",,15000,,,7000,,2,1874.79821777344
"H00312-04-01",16,1,3,"P00312-001","P00312-008",160000,1,,40000,,1,1874.79821777344
