"HHID","h12q1","h12q2","wgt_X"
"H01801-04-01",2,,1874.79821777344
"H01806-04-01",1,"P01806-002",937.399108886719
"H01806-04-02",1,"P01806-001",937.399108886719
"H01809-04-01",2,,1874.79821777344
"H01813-04-01",2,,1874.79821777344
"H02108-04-01",1,"P02108-001",1874.79821777344
"H02110-04-01",1,"P02110-002",1874.79821777344
"H02111-04-01",2,,1874.79821777344
"H02113-04-01",2,,1874.79821777344
"H02203-04-01",2,,1874.79821777344
"H02205-04-01",1,"P02205-002",1874.79821777344
"H02206-04-01",2,,1874.79821777344
"H02207-04-01",1,"P02207-001",1874.79821777344
"H02304-04-01",1,"P02304-002",1874.79821777344
"H02305-04-01",2,,1874.79821777344
"H02310-04-01",2,,1874.79821777344
"H02401-04-01",2,,1874.79821777344
"H02407-04-01",2,,1874.79821777344
"H02409-04-01",2,,1874.79821777344
"H02412-04-01",2,,1874.79821777344
"H02507-04-01",2,,1874.79809570313
"H02601-04-01",1,"P02601-006",937.399108886719
"H02601-04-02",1,"P02601-002",937.399108886719
"H02602-04-01",1,"P02602-005",1874.79821777344
"H02608-04-01",1,"P02608-001",937.399108886719
"H02608-04-02",2,,937.399108886719
"H02609-04-01",1,"P02609-001",1874.79821777344
"H02703-04-02",1,"P02703-016",1874.79821777344
"H02705-04-01",1,"P02705-008",937.399108886719
"H02705-04-02",1,"P02705-003",937.399108886719
"H02706-04-01",1,"P02706-009",1874.79821777344
"H02710-04-01",2,,1874.79821777344
"H02711-04-01",2,,624.932739257813
"H02711-04-02",2,,624.932739257813
"H02711-04-03",2,,624.932739257813
"H02802-04-01",1,"P02802-002",1874.79821777344
"H02803-04-01",1,"P02803-001",1874.79821777344
"H02811-04-01",1,"P02811-001",1874.79821777344
"H03001-04-01",1,"P03001-001",1874.79821777344
"H03003-04-01",1,"P03003-001",1874.79821777344
"H03005-04-01",2,,1874.79821777344
"H03006-04-01",2,,1874.79821777344
"H03010-04-01",1,"P03010-002",1874.79821777344
"H03401-04-01",1,"P03401-005",1874.79821777344
"H03408-04-01",2,,1874.79821777344
"H03409-04-01",1,"P03409-004",937.399108886719
"H03409-04-02",2,,937.399108886719
"H03410-04-01",1,"P03410-002",937.399108886719
"H03410-04-02",1,"P03410-007",937.399108886719
"H03503-04-01",1,"P03503-002",1874.79809570313
"H03511-04-01",1,"P03511-002",1874.79809570313
"H03512-04-01",1,"P03512-001",1874.79809570313
"H03515-04-01",2,,1874.79809570313
"H03601-04-01",1,"P03601-009",2551.70141601563
"H03602-04-04",1,"P03602-010",2551.70141601563
"H03603-04-05",2,,2551.70141601563
"H03604-04-04",2,,850.567138671875
"H03604-04-08",1,"P03604-023",850.567138671875
"H03604-04-09",2,,850.567138671875
"H03605-04-02",1,"P03605-006",2551.70141601563
"H03607-04-01",1,"P03607-006",2551.70141601563
"H03608-04-01",2,,2551.70141601563
"H03704-04-01",2,,2551.70141601563
"H03705-04-01",1,"P03705-002",2551.70141601563
"H03706-04-01",2,,2551.70141601563
"H03707-04-01",1,"P03707-002",1275.85070800781
"H03707-04-02",2,,1275.85070800781
"H03709-04-01",1,"P03709-001",2551.70141601563
"H03711-04-02",1,"P03711-006",637.925354003906
"H03711-04-03",1,"P03711-002",637.925354003906
"H03711-04-04",1,"P03711-010",637.925354003906
"H03804-04-01",1,"P03804-001",2551.70141601563
"H03807-04-01",2,,2551.70141601563
"H03809-04-01",1,"P03809-002",2551.70141601563
"H03810-04-01",1,"P03810-010",2551.70141601563
"H03811-04-01",1,"P03811-001",2551.70141601563
"H03813-04-01",1,"P03813-001",2551.70141601563
