"HHID","h12q1","h12q2","wgt_X"
"H11810-04-01",2,,2272.64404296875
"H11901-04-01",1,"P11901-001",2272.64404296875
"H11902-04-01",2,,2272.64404296875
"H11903-04-01",1,"P11903-001",1136.32202148438
"H11903-04-02",1,"P11903-003",1136.32202148438
"H11905-04-01",2,,2272.64404296875
"H11907-04-01",1,"P11907-002",2272.64404296875
"H11908-04-01",1,"P11908-002",2272.64404296875
"H11910-04-01",1,"P11910-001",2272.64404296875
"H12001-04-01",2,,2272.64404296875
"H12003-04-01",1,"P12003-002",1136.32202148438
"H12003-04-02",1,"P12003-003",1136.32202148438
"H12005-04-01",1,"P12005-001",2272.64404296875
"H12006-04-01",2,,2272.64404296875
"H12007-04-01",2,"P12007-001",2272.64404296875
"H12008-04-01",1,"P12008-002",1136.32202148438
"H12008-04-02",1,"P12008-004",1136.32202148438
"H12009-04-01",2,,2272.64404296875
"H12010-04-01",1,"P12010-003",2272.64404296875
"H12011-04-01",1,"P12011-001",2272.64404296875
"H12303-04-01",1,"P12303-004",2272.64404296875
"H12306-04-01",1,"P12306-002",2272.64404296875
"H12310-04-01",1,"P12310-001",2272.64404296875
"H12311-04-01",1,"P12311-002",2272.64404296875
"H12401-04-01",1,"P12401-002",2272.64404296875
"H12402-04-01",1,"P12402-005",2272.64404296875
"H12404-04-01",1,"P12404-008",2272.64404296875
"H12407-04-01",2,,1136.32202148438
"H12407-04-02",2,,1136.32202148438
"H12408-04-01",2,,2272.64404296875
"H12409-04-01",2,,2272.64404296875
"H12411-04-01",2,,2272.64404296875
"H12501-04-01",2,,2272.64404296875
"H12502-04-01",1,"P12502-003",2272.64404296875
"H12504-04-01",2,,2272.64404296875
"H12505-04-01",1,"P12505-001",2272.64404296875
"H12506-04-01",1,"P12506-002",2272.64404296875
"H12507-04-01",2,,2272.64404296875
"H12509-04-01",2,,2272.64404296875
"H12510-04-01",1,"P12510-001",2272.64404296875
"H12512-04-01",2,,2272.64404296875
"H12601-04-01",2,,2272.6435546875
"H12603-04-01",2,,2272.6435546875
"H12604-04-01",2,,2272.6435546875
"H12605-04-01",1,"P12605-001",2272.6435546875
"H12606-04-01",2,,1136.32177734375
"H12606-04-02",2,,1136.32177734375
"H12607-04-01",2,,2272.6435546875
"H12609-04-01",2,,2272.6435546875
"H12610-04-01",1,"P12610-001",1136.32177734375
"H12610-04-02",1,"P12610-003",1136.32177734375
"H12611-04-01",2,,2272.6435546875
"H12701-04-01",1,"P12701-001",1136.32177734375
"H12701-04-02",2,,1136.32177734375
"H12703-04-01",2,,2272.6435546875
"H12704-04-01",2,,2272.6435546875
"H12705-04-01",2,,2272.6435546875
"H12706-04-01",2,,2272.6435546875
"H12707-04-01",2,,2272.6435546875
"H12708-04-01",1,"P12708-001",2272.6435546875
"H12709-04-01",1,"P12709-001",1136.32177734375
"H12710-04-01",2,,2272.6435546875
"H12805-04-01",2,,757.547973632813
"H12805-04-02",2,,757.547973632813
"H12806-04-01",2,,2272.64404296875
"H12808-04-01",1,"P12808-002",2272.64404296875
"H12809-04-01",2,,757.547973632813
"H12809-04-02",1,"P12809-007",757.547973632813
"H12809-04-03",1,"P12809-012",757.547973632813
"H12810-04-01",2,,2272.64404296875
"H12811-04-01",2,,2272.64404296875
"H12812-04-01",2,,2272.64404296875
"H12901-04-01",2,,2272.64404296875
"H12902-04-02",2,,2272.64404296875
"H12903-04-01",1,"P12903-002",2272.64404296875
"H12904-04-01",2,,2272.64404296875
"H12905-04-01",2,,1136.32202148438
"H12905-04-02",1,"P12905-003",1136.32202148438
"H12906-04-01",1,"P12906-002",2272.64404296875
"H12907-04-01",1,"P12907-001",2272.64404296875
"H12908-04-01",2,,2272.64404296875
"H12909-04-02",2,,2272.64404296875
"H12910-04-01",2,,2272.64404296875
"H13002-04-01",2,,2272.64404296875
"H13003-04-01",2,,2272.64404296875
"H13004-04-01",1,"P13004-002",2272.64404296875
"H13005-04-01",2,,2272.64404296875
"H13006-04-01",1,"P13006-002",378.773986816406
"H13006-04-02",2,,378.773986816406
"H13006-04-03",2,,378.773986816406
"H13006-04-04",2,,378.773986816406
"H13006-04-05",2,,378.773986816406
"H13006-04-06",2,,378.773986816406
"H13007-04-01",1,"P13007-001",2272.64404296875
"H13008-04-01",1,"P13008-002",2272.64404296875
"H13009-04-01",1,"P13009-002",2272.64404296875
"H13010-04-01",1,"P13010-002",2272.64404296875
"H13102-04-01",2,,1136.32202148438
"H13102-04-02",1,"P13102-003",1136.32202148438
"H13103-04-01",2,,2272.64404296875
"H13104-04-01",1,"P13104-001",2272.64404296875
"H13105-04-01",1,"P13105-001",1136.32202148438
"H13105-04-02",1,"P13105-013",1136.32202148438
"H13106-04-01",2,,2272.64404296875
"H13107-04-02",2,,757.547973632813
"H13107-04-03",2,,757.547973632813
"H13107-04-04",2,,757.547973632813
"H13108-04-01",2,,1136.32202148438
"H13108-04-02",2,,1136.32202148438
"H13109-04-01",2,,2272.64404296875
"H13111-04-01",2,,2272.64404296875
"H13202-04-01",2,,2272.64404296875
"H13203-04-01",2,,2272.64404296875
"H13204-04-01",2,,2272.64404296875
"H13205-04-02",2,,757.547973632813
"H13205-04-04",2,,757.547973632813
"H13207-04-01",1,"P13207-006",2272.64404296875
"H13208-04-01",1,"P13208-001",1136.32202148438
"H13208-04-02",1,"P13208-010",1136.32202148438
"H13209-04-01",1,"P13209-001",2272.64404296875
"H13210-04-01",2,,2272.64404296875
"H13303-04-01",1,"P13303-001",2272.6435546875
"H13306-04-01",1,"P13306-007",2272.6435546875
"H13307-04-01",2,,1136.32177734375
"H13307-04-02",1,"P13307-002",1136.32177734375
"H13308-04-01",2,,2272.6435546875
"H13309-04-01",2,,2272.6435546875
"H13310-04-01",2,,324.663391113281
"H13310-04-02",1,"P13310-016",324.663391113281
"H13310-04-03",1,"P13310-008",324.663391113281
"H13310-04-04",1,"P13310-001",324.663391113281
"H13310-04-05",2,,324.663391113281
"H13310-04-07",1,"P13310-074",324.663391113281
"H13311-04-01",1,"P13311-002",2272.6435546875
"H14001-04-01",2,,2935.46557617188
"H14002-04-01",1,"P14002-002",2935.46557617188
"H14003-04-01",2,,978.488586425781
"H14003-04-02",2,,978.488586425781
"H14003-04-03",1,"P14003-013",978.488586425781
"H14004-04-01",2,,978.488586425781
"H14004-04-02",2,,978.488586425781
"H14004-04-03",2,,978.488586425781
"H14005-04-01",2,,2935.46557617188
"H14006-04-01",2,,1467.73278808594
"H14006-04-02",1,"P14006-003",1467.73278808594
"H14007-04-01",1,"P14007-004",2935.46557617188
"H14008-04-01",2,,1467.73278808594
"H14008-04-02",1,"P14008-005",1467.73278808594
"H14009-04-01",2,,2935.46557617188
"H14010-04-01",2,,2935.46557617188
"H14101-04-01",2,,2935.46557617188
"H14104-04-01",2,,1467.73278808594
"H14104-04-02",1,"P14104-003",1467.73278808594
"H14106-04-01",1,"P14106-001",2935.46557617188
"H14109-04-01",2,,978.488586425781
"H14109-04-03",2,,978.488586425781
"H14109-04-04",2,,978.488586425781
"H14110-04-01",2,,2935.46557617188
"H14111-04-01",1,"P14111-002",2935.46557617188
"H14201-04-01",2,,2935.46557617188
"H14202-04-01",2,,2935.46557617188
"H14203-04-01",1,"P14203-002",2935.46557617188
"H14206-04-01",1,"P14206-001",2935.46557617188
"H14207-04-01",2,,978.488586425781
"H14207-04-02",1,"P14207-008",978.488586425781
"H14207-04-03",2,,978.488586425781
"H14208-04-01",2,,2935.46557617188
"H14209-04-01",1,"P14209-001",2935.46557617188
"H14210-04-01",1,"P14210-010",2935.46557617188
"H14301-04-01",2,,1467.73278808594
"H14301-04-02",2,,1467.73278808594
"H14302-04-01",2,,733.866394042969
"H14302-04-02",2,,733.866394042969
"H14302-04-03",2,,733.866394042969
"H14302-04-04",2,,733.866394042969
"H14303-04-01",2,,2935.46557617188
"H14304-04-01",2,,733.866394042969
"H14304-04-02",2,,733.866394042969
"H14304-04-03",2,,733.866394042969
"H14304-04-04",1,"P14304-018",733.866394042969
"H14305-04-01",2,,2935.46557617188
"H14306-04-01",2,,1467.73278808594
"H14306-04-02",2,,1467.73278808594
"H14307-04-01",2,,2935.46557617188
"H14308-04-01",1,"P14308-002",1467.73278808594
"H14308-04-02",2,,1467.73278808594
"H14309-04-01",2,,587.093139648438
"H14309-04-02",2,,587.093139648438
"H14309-04-03",2,,587.093139648438
"H14309-04-04",2,,587.093139648438
"H14309-04-05",2,,587.093139648438
"H14310-04-01",2,,2935.46557617188
"H14401-04-01",1,"P14401-003",2935.46557617188
"H14402-04-01",1,"P14402-002",1467.73278808594
"H14402-04-02",2,,1467.73278808594
"H14403-04-01",2,,2935.46557617188
"H14404-04-01",1,"P14404-010",978.488586425781
"H14404-04-02",2,,978.488586425781
"H14404-04-03",2,,978.488586425781
"H14405-04-01",2,,2935.46557617188
"H14406-04-01",2,,2935.46557617188
"H14407-04-01",2,,1467.73278808594
"H14407-04-02",1,"P14407-002",1467.73278808594
"H14408-04-01",2,,2935.46557617188
"H14409-04-01",2,,2935.46557617188
"H14410-04-02",1,"P14410-002",2935.46557617188
"H14601-04-01",1,"P14601-001",2935.46557617188
"H14606-04-01",2,,2935.46557617188
"H14612-04-01",1,"P14612-001",2935.46557617188
"H14801-04-01",2,,1467.73278808594
"H14801-04-02",2,,1467.73278808594
"H14802-04-01",2,,2935.46557617188
"H14803-04-01",2,,2935.46557617188
"H14804-04-01",2,,2935.46557617188
"H14805-04-01",2,,2935.46557617188
"H14806-04-01",2,,978.488464355469
"H14806-04-02",2,,978.488464355469
"H14806-04-03",2,,978.488464355469
"H14807-04-01",1,"P14807-002",1467.73278808594
"H14807-04-02",2,,1467.73278808594
"H14808-04-01",2,,1467.73278808594
"H14808-04-02",2,,1467.73278808594
"H14809-04-01",2,,2935.46557617188
"H14810-04-01",2,,2935.46557617188
"H14903-04-01",2,,1467.73278808594
"H14903-04-02",1,"P14903-013",1467.73278808594
"H14904-04-01",2,,2935.46557617188
"H14906-04-01",2,,1467.73278808594
"H14906-04-02",2,,1467.73278808594
"H14907-04-01",2,,2935.46557617188
"H14908-04-01",2,,2935.46557617188
"H14910-04-01",1,"P14910-001",2935.46557617188
"H15002-04-01",2,,2935.46557617188
"H15003-04-01",2,,2935.46557617188
"H15004-04-01",2,,2935.46557617188
"H15005-04-01",2,,2935.46557617188
"H15006-04-01",2,,2935.46557617188
"H15007-04-01",1,"P15007-002",1467.73278808594
"H15007-04-02",2,,1467.73278808594
"H15008-04-01",2,,1467.73278808594
"H15008-04-02",2,,1467.73278808594
"H15009-04-01",2,,2935.46557617188
"H15010-04-01",1,"P15010-001",2935.46557617188
"H15101-04-01",1,"P15101-001",2935.46606445313
"H15102-04-01",1,"P15102-002",1467.73303222656
"H15102-04-02",2,,1467.73303222656
"H15103-04-01",2,,2935.46606445313
"H15104-04-01",2,,2935.46606445313
"H15105-04-01",1,"P15105-002",2935.46606445313
"H15106-04-01",2,,2935.46606445313
"H15107-04-01",2,,2935.46606445313
"H15108-04-01",1,"P15108-001",2935.46606445313
"H15109-04-01",2,,1467.73303222656
"H15109-04-02",1,"P15109-010",1467.73303222656
"H15110-04-01",2,,2935.46606445313
"H15301-04-01",2,,1467.73278808594
"H15301-04-02",2,,1467.73278808594
"H15302-04-01",2,,2935.46557617188
"H15304-04-01",2,,2935.46557617188
"H15305-04-01",1,"P15305-002",2935.46557617188
"H15306-04-01",2,,2935.46557617188
"H15308-04-01",2,,2935.46557617188
"H15309-04-01",2,,1467.73278808594
"H15309-04-02",2,,1467.73278808594
"H15310-04-01",2,,2935.46557617188
"H15502-04-01",2,,2935.46557617188
"H15503-04-01",2,,2935.46557617188
"H15504-04-01",2,,2935.46557617188
"H15505-04-01",1,"P15505-001",1467.73278808594
"H15505-04-02",2,,1467.73278808594
"H15506-04-01",2,,2935.46557617188
"H15508-04-01",2,,2935.46557617188
"H15509-04-01",1,"P15509-001",2935.46557617188
"H15510-04-01",2,,2935.46557617188
"H15902-04-01",2,,2935.46606445313
"H15903-04-01",1,"P15903-002",2935.46606445313
"H15904-04-01",1,"P15904-002",2935.46606445313
"H15905-04-01",1,"P15905-002",2935.46606445313
"H15907-04-01",2,,1467.73303222656
"H15907-04-02",2,,1467.73303222656
"H15908-04-01",2,,2935.46606445313
"H15909-04-01",1,"P15909-002",978.488708496094
"H15909-04-02",2,,978.488708496094
"H15909-04-03",1,"P15909-014",978.488708496094
"H15910-04-01",2,,2935.46606445313
"H16201-04-01",2,,1467.73278808594
"H16201-04-02",1,"P16201-002",1467.73278808594
"H16202-04-01",2,,2935.46557617188
"H16203-04-01",1,"P16203-001",2935.46557617188
"H16204-04-01",2,,2935.46557617188
"H16205-04-01",1,"P16205-003",2935.46557617188
"H16206-04-01",2,,2935.46557617188
"H16207-04-01",2,,2935.46557617188
"H16208-04-01",2,,2935.46557617188
"H16209-04-01",1,"P16209-002",2935.46557617188
"H16210-04-01",2,,2935.46557617188
"H16302-04-01",2,,2935.46557617188
"H16304-04-01",1,"P16304-002",2935.46557617188
"H16305-04-01",2,,978.488586425781
"H16305-04-02",2,,978.488586425781
"H16305-04-03",2,,978.488586425781
"H16306-04-01",1,"P16306-001",2935.46557617188
"H16307-04-01",2,,2935.46557617188
"H16308-04-01",2,,1467.73278808594
"H16308-04-02",2,,1467.73278808594
"H16309-04-01",1,"P16309-001",2935.46557617188
"H16310-04-01",1,"P16310-001",2935.46557617188
"H16401-04-01",1,"P16401-002",2935.46557617188
"H16402-04-01",1,"P16402-001",2935.46557617188
"H16403-04-01",2,,2935.46557617188
"H16404-04-01",2,,2935.46557617188
"H16405-04-01",1,"P16405-002",1467.73278808594
"H16405-04-02",1,"P16405-005",1467.73278808594
"H16406-04-01",2,,2935.46557617188
"H16407-04-01",2,,978.488586425781
"H16407-04-02",2,,978.488586425781
"H16407-04-03",2,,978.488586425781
"H16408-04-01",2,,2935.46557617188
"H16409-04-01",1,"P16409-001",733.866394042969
"H16409-04-02",1,"P16409-007",733.866394042969
"H16409-04-03",1,"P16409-019",733.866394042969
"H16409-04-04",1,"P16409-014",733.866394042969
"H16410-04-01",1,"P16410-001",2935.46557617188
"H16501-04-01",2,,1467.73278808594
"H16501-04-02",1,"P16501-004",1467.73278808594
"H16502-04-01",2,,2935.46557617188
"H16503-04-01",1,"P16503-002",2935.46557617188
"H16505-04-01",1,"P16505-006",978.488586425781
"H16505-04-02",1,"P16505-014",978.488586425781
"H16505-04-03",2,,978.488586425781
"H16506-04-01",1,"P16506-005",2935.46557617188
"H16507-04-01",2,,2935.46557617188
"H16508-04-01",1,"P16508-001",2935.46557617188
"H16509-04-01",1,"P16509-002",2935.46557617188
"H16510-04-01",2,,2935.46557617188
"H16604-04-01",2,,1467.73278808594
"H16604-04-02",1,"P16604-006",1467.73278808594
"H16606-04-01",1,"P16606-002",2935.46557617188
"H16607-04-01",2,,2935.46557617188
"H16609-04-01",2,,2935.46557617188
"H16611-04-01",2,,2935.46557617188
"H16701-04-01",2,,2935.46557617188
"H16702-04-01",1,"P16702-001",2935.46557617188
"H16703-04-01",2,,1467.73278808594
"H16703-04-02",2,,1467.73278808594
"H16704-04-01",2,,1467.73278808594
"H16704-04-02",2,,1467.73278808594
"H16705-04-01",1,"P16705-002",2935.46557617188
"H16707-04-01",2,,2935.46557617188
"H16708-04-01",1,"P16708-001",2935.46557617188
"H16709-04-01",2,,2935.46557617188
"H16710-04-01",2,,2935.46557617188
"H16802-04-01",2,,2935.46606445313
"H16803-04-01",1,"P16803-002",2935.46606445313
"H16804-04-01",2,,1467.73303222656
"H16804-04-03",2,,1467.73303222656
"H16806-04-01",2,,1467.73303222656
"H16806-04-02",2,,1467.73303222656
"H16807-04-01",2,,2935.46606445313
"H16808-04-01",2,,2935.46606445313
"H16809-04-01",2,,978.488708496094
"H16809-04-02",2,,978.488708496094
"H16809-04-03",2,,978.488708496094
"H16810-04-01",2,,2935.46606445313
"H17002-04-01",2,,2935.46557617188
"H17003-04-01",1,"P17003-002",2935.46557617188
"H17005-04-01",2,,2935.46557617188
"H17006-04-01",2,,2935.46557617188
"H17007-04-01",2,,1467.73278808594
"H17007-04-02",2,,1467.73278808594
"H17008-04-01",2,,2935.46557617188
"H17009-04-01",2,,1467.73278808594
"H17009-04-02",2,,1467.73278808594
"H17010-04-01",1,"P17010-002",1467.73278808594
"H17010-04-02",2,,1467.73278808594
"H17101-04-01",2,,2935.46557617188
"H17102-04-01",2,,2935.46557617188
"H17103-04-01",1,"P17103-010",2935.46557617188
"H17105-04-01",2,,2935.46557617188
"H17107-04-01",2,,2935.46557617188
"H17108-04-01",2,,2935.46557617188
"H17109-04-01",2,,2935.46557617188
"H17110-04-01",2,,2935.46557617188
"H17201-04-01",1,"P17201-001",757.547973632813
"H17201-04-02",1,"P17201-004",757.547973632813
"H17201-04-03",2,,757.547973632813
"H17202-04-01",2,,2272.64404296875
"H17203-04-01",1,"P17203-001",2272.64404296875
"H17204-04-01",1,"P17204-001",2272.64404296875
"H17205-04-01",1,"P17205-001",2272.64404296875
"H17206-04-01",2,,2272.64404296875
"H17207-04-01",2,,1136.32202148438
"H17207-04-02",2,,1136.32202148438
"H17208-04-01",1,"P17208-002",2272.64404296875
"H17210-04-01",1,"P17210-002",2272.64404296875
"H17301-04-01",2,,2272.64404296875
"H17302-04-01",1,"P17302-001",2272.64404296875
"H17308-04-01",1,"P17308-001",2272.64404296875
"H17309-04-01",2,,2272.64404296875
"H17310-04-01",2,,2272.64404296875
"H17401-04-01",2,,1467.73278808594
"H17401-04-02",2,,1467.73278808594
"H17403-04-01",2,,2935.46557617188
"H17404-04-01",1,"P17404-002",2935.46557617188
"H17405-04-01",1,"P17405-001",2935.46557617188
"H17406-04-01",1,"P17406-001",1467.73278808594
"H17406-04-03",2,,1467.73278808594
"H17408-04-01",1,"P17408-001",2935.46557617188
"H17409-04-01",1,"P17409-001",2935.46557617188
"H17410-04-01",1,"P17410-002",2935.46557617188
"H17502-04-01",2,,2935.46557617188
"H17503-04-01",1,"P17503-001",2935.46557617188
"H17504-04-02",2,,2935.46557617188
"H17506-04-01",1,"P17506-009",2935.46557617188
"H17507-04-01",1,"P17507-001",2935.46557617188
"H17508-04-01",2,,2935.46557617188
"H17509-04-01",2,,2935.46557617188
"H17511-04-01",1,"P17511-002",978.488586425781
"H17511-04-02",2,,978.488586425781
"H17511-04-03",1,"P17511-004",978.488586425781
"H17601-04-01",1,"P17601-002",2935.46557617188
"H17602-04-01",2,,2935.46557617188
"H17604-04-01",1,"P17604-001",2935.46557617188
"H17605-04-01",1,"P17605-001",2935.46557617188
"H17606-04-01",2,,2935.46557617188
"H17608-04-01",2,,1467.73278808594
"H17608-04-02",1,"P17608-006",1467.73278808594
"H17609-04-01",1,"P17609-002",2935.46557617188
"H17610-04-01",1,"P17610-001",2935.46557617188
"H17701-04-01",2,,2935.46557617188
"H17703-04-01",1,"P17703-001",2935.46557617188
"H17704-04-01",2,,2935.46557617188
"H17705-04-02",2,,2935.46557617188
"H17707-04-02",2,,978.488586425781
"H17707-04-03",2,,978.488586425781
"H17707-04-04",2,,978.488586425781
"H17708-04-01",2,,1467.73278808594
"H17708-04-02",2,,1467.73278808594
"H17709-04-01",2,,2935.46557617188
"H17710-04-01",2,,2935.46557617188
"H18001-04-01",2,,1102.41516113281
"H18001-04-02",2,,1102.41516113281
"H18005-04-01",1,"P18005-002",2204.83032226563
"H18007-04-01",1,"P18007-001",2204.83032226563
"H18010-04-01",2,,2204.83032226563
"H18011-04-01",2,,2204.83032226563
"H18012-04-01",1,"P18012-002",2204.83032226563
"H18013-04-01",1,"P18013-002",2204.83032226563
"H18101-04-01",2,,2204.83032226563
"H18102-04-01",2,,2204.83032226563
"H18103-04-01",1,"P18103-001",734.943481445313
"H18103-04-02",1,"P18103-014",734.943481445313
"H18103-04-03",2,,734.943481445313
"H18104-04-01",2,,551.207580566406
"H18104-04-02",2,,551.207580566406
"H18104-04-03",2,,551.207580566406
"H18104-04-04",2,,551.207580566406
"H18105-04-01",1,"P18105-002",2204.83032226563
"H18106-04-01",1,"P18106-001",2204.83032226563
"H18107-04-01",2,,2204.83032226563
"H18108-04-01",1,"P18108-002",2204.83032226563
"H18109-04-01",1,"P18109-001",2204.83032226563
"H18110-04-01",1,"P18110-002",2204.83032226563
"H18201-04-01",2,,2204.83032226563
"H18202-04-02",2,,367.4716796875
"H18202-04-03",2,,367.4716796875
"H18202-04-04",2,,367.4716796875
"H18202-04-05",2,,367.4716796875
"H18202-04-06",2,,367.4716796875
"H18203-04-01",1,"P18203-001",2204.83032226563
"H18204-04-01",2,,1102.41516113281
"H18204-04-02",2,,1102.41516113281
"H18205-04-01",2,,1102.41516113281
"H18205-04-02",1,"P18205-009",1102.41516113281
"H18206-04-01",2,,1102.41516113281
"H18206-04-02",2,,1102.41516113281
"H18207-04-01",1,"P18207-002",1102.41516113281
"H18207-04-02",2,,1102.41516113281
"H18208-04-01",1,"P18208-001",2204.83032226563
"H18209-04-01",2,,1102.41516113281
"H18209-04-02",2,,1102.41516113281
"H18210-04-01",2,,440.966064453125
"H18210-04-02",2,,440.966064453125
"H18210-04-03",2,,440.966064453125
"H18210-04-04",1,"P18210-024",440.966064453125
"H18210-04-05",2,,440.966064453125
"H18301-04-01",1,"P18301-016",314.975738525391
"H18301-04-02",1,"P18301-017",314.975738525391
"H18301-04-03",1,"P18301-025",314.975738525391
"H18301-04-04",2,,314.975738525391
"H18301-04-05",1,"P18301-040",314.975738525391
"H18301-04-06",1,"P18301-024",314.975738525391
"H18301-04-07",2,,314.975738525391
"H18302-04-01",2,,2204.83032226563
"H18303-04-01",1,"P18303-001",2204.83032226563
"H18305-04-01",1,"P18305-004",2204.83032226563
"H18306-04-01",1,"P18306-001",2204.83032226563
"H18307-04-01",1,"P18307-002",2204.83032226563
"H18308-04-01",2,,2204.83032226563
"H18309-04-01",1,"P18309-010",2204.83032226563
"H18311-04-01",1,"P18311-002",1102.41516113281
"H18311-04-02",2,,1102.41516113281
"H18601-04-01",2,,551.207580566406
"H18601-04-02",1,"P18601-005",551.207580566406
"H18601-04-03",1,"P18601-035",551.207580566406
"H18601-04-04",2,,551.207580566406
"H18602-04-01",1,"P18602-001",2204.83032226563
"H18603-04-01",2,,2204.83032226563
"H18604-04-01",2,,2204.83032226563
"H18605-04-01",2,,2204.83032226563
"H18606-04-01",2,,2204.83032226563
"H18607-04-01",1,"P18607-002",2204.83032226563
"H18608-04-01",2,,2204.83032226563
"H18609-04-01",1,"P18609-002",2204.83032226563
"H18610-04-01",2,,2204.83032226563
"H18708-04-01",1,"P18708-006",2204.83032226563
"H18712-04-01",2,,2204.83032226563
"H18801-04-01",2,,1102.41516113281
"H18801-04-02",2,,1102.41516113281
"H18802-04-01",2,,2204.83032226563
"H18803-04-01",2,,2204.83032226563
"H18804-04-01",2,,2204.83032226563
"H18805-04-01",2,,2204.83032226563
"H18806-04-01",1,"P18806-009",734.943481445313
"H18806-04-02",2,,734.943481445313
"H18806-04-03",1,"P18806-001",734.943481445313
"H18807-04-01",2,,1102.41516113281
"H18807-04-02",2,,1102.41516113281
"H18808-04-01",1,"P18808-002",734.943481445313
"H18808-04-02",2,,734.943481445313
"H18808-04-03",2,,734.943481445313
"H18809-04-01",1,"P18809-002",2204.83032226563
"H18810-04-01",2,,2204.83032226563
"H18901-04-01",2,,2204.83032226563
"H18902-04-01",1,"P18902-003",2204.83032226563
"H18904-04-01",2,,2204.83032226563
"H18905-04-01",2,,2204.83032226563
"H18907-04-01",2,,2204.83032226563
"H18908-04-01",1,"P18908-001",2204.83032226563
"H18909-04-01",2,,2204.83032226563
"H18910-04-01",2,,2204.83032226563
"H19001-04-01",1,"P19001-001",1102.41516113281
"H19001-04-02",2,,1102.41516113281
"H19002-04-01",2,,2204.83032226563
"H19004-04-01",2,,2204.83032226563
"H19005-04-01",2,,2204.83032226563
"H19006-04-01",1,"P19006-003",2204.83032226563
"H19007-04-01",2,,2204.83032226563
"H19008-04-01",1,"P19008-003",551.207580566406
"H19008-04-02",2,,551.207580566406
"H19008-04-03",2,,551.207580566406
"H19008-04-04",1,"P19008-009",551.207580566406
"H19009-04-01",1,"P19009-001",2204.83032226563
"H19010-04-01",2,,2204.83032226563
"H19101-04-01",1,"P19101-001",2204.83032226563
"H19102-04-01",1,"P19102-001",2204.83032226563
"H19103-04-01",2,,2204.83032226563
"H19104-04-01",2,,2204.83032226563
"H19105-04-01",2,,2204.83032226563
"H19106-04-01",2,,2204.83032226563
"H19107-04-01",2,,734.943359375
"H19107-04-02",1,"P19107-001",734.943359375
"H19107-04-03",2,,734.943359375
"H19108-04-01",1,"P19108-001",734.943359375
"H19108-04-02",1,"P19108-007",734.943359375
"H19108-04-03",2,,734.943359375
"H19109-04-01",1,"P19109-001",2204.83032226563
"H19110-04-01",1,"P19110-009",2204.83032226563
"H19201-04-01",1,"P19201-003",2204.83032226563
"H19203-04-01",1,"P19203-001",2204.83032226563
"H19204-04-01",2,,2204.83032226563
"H19205-04-01",2,,1102.41516113281
"H19205-04-03",2,,1102.41516113281
"H19206-04-01",1,"P19206-001",2204.83032226563
"H19207-04-01",1,"P19207-001",2204.83032226563
"H19208-04-01",2,,2204.83032226563
"H19210-04-01",1,"P19210-001",2204.83032226563
"H19211-04-01",2,,2204.83032226563
"H19212-04-01",1,"P19212-005",734.943359375
"H19212-04-02",1,"P19212-013",734.943359375
"H19212-04-03",1,"P19212-002",734.943359375
"H19401-04-01",1,"P19401-001",2464.5224609375
"H19402-04-01",1,"P19402-001",2464.5224609375
"H19404-04-01",2,,2464.5224609375
"H19406-04-01",1,"P19406-003",2464.5224609375
"H19407-04-01",2,,2464.5224609375
"H19409-04-01",1,"P19409-001",2464.5224609375
"H19501-04-01",1,"P19501-001",2464.5224609375
"H19502-04-01",1,"P19502-001",2464.5224609375
"H19504-04-01",1,"P19504-001",1232.26123046875
"H19504-04-02",2,,1232.26123046875
"H19505-04-01",2,,2464.5224609375
"H19506-04-01",1,"P19506-001",2464.5224609375
"H19507-04-01",1,"P19507-002",2464.5224609375
"H19508-04-01",1,"P19508-002",2464.5224609375
"H19509-04-01",2,,2464.5224609375
"H19510-04-01",2,,2464.5224609375
"H19602-04-01",2,,1232.26123046875
"H19602-04-02",2,,1232.26123046875
"H19603-04-01",1,"P19603-003",2464.5224609375
"H19604-04-01",1,"P19604-002",2464.5224609375
"H19605-04-01",1,"P19605-001",2464.5224609375
"H19607-04-01",1,"P19607-001",821.507507324219
"H19607-04-02",2,,821.507507324219
"H19607-04-03",1,"P19607-003",821.507507324219
"H19608-04-01",1,"P19608-001",2464.5224609375
"H19609-04-01",2,,2464.5224609375
"H19610-04-01",2,,2464.5224609375
"H19702-04-01",2,,616.130615234375
"H19702-04-02",1,"P19702-010",616.130615234375
"H19702-04-03",1,"P19702-022",616.130615234375
"H19702-04-04",1,"P19702-009",616.130615234375
"H19703-04-01",2,,1232.26123046875
"H19703-04-02",1,"P19703-004",1232.26123046875
"H19704-04-01",1,"P19704-001",2464.5224609375
"H19705-04-01",1,"P19705-002",2464.5224609375
"H19707-04-01",2,,2464.5224609375
"H19708-04-01",2,,2464.5224609375
"H19709-04-01",2,,2464.5224609375
"H19710-04-01",2,,2464.5224609375
"H19711-04-01",1,"P19711-009",2464.5224609375
"H20002-04-01",1,"P20002-001",2464.5224609375
"H20003-04-01",1,"P20003-001",2464.5224609375
"H20004-04-01",1,"P20004-002",2464.5224609375
"H20005-04-01",2,,1232.26123046875
"H20005-04-02",1,"P20005-005",1232.26123046875
"H20006-04-01",2,,2464.5224609375
"H20007-04-01",2,,2464.5224609375
"H20009-04-01",1,"P20009-001",2464.5224609375
"H20010-04-01",1,"P20010-001",821.507446289063
"H20010-04-02",2,,821.507446289063
