"District_Name","SubCounty","Parish","Villagecode","Community_groups_ID","C6BQ1","C6BQ1_Other","C6BQ2","C6BQ3","C6BQ4","C6BQ5","End_commgroup","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102103,10210308,1021030803,310,1,,1,"2012",1,0,,2,,
102,102103,10210308,1021030803,311,2,,,,,,,2,,
102,102103,10210308,1021030803,312,1,"COMUNTY DEVELOPMENT",2,"1994",9,47,,2,,
102,102103,10210308,1021030803,313,2,,,,,,,2,,
102,102103,10210309,1021030904,301,2,,,,,,,1,1,
102,102103,10210309,1021030904,301,2,,,,,,,2,1,
102,102103,10210309,1021030904,302,1,,1,"2009",3,15,,2,1,
102,102103,10210309,1021030904,302,1,,1,"2009",3,15,,1,1,
102,102103,10210309,1021030904,303,2,,,,,,,2,1,
102,102103,10210309,1021030904,303,2,,,,,,,1,1,
102,102103,10210309,1021030904,304,2,,,,,,,1,1,
102,102103,10210309,1021030904,304,2,,,,,,,2,1,
102,102103,10210309,1021030904,305,1,,4,"2006",2,30,,2,1,
102,102103,10210309,1021030904,305,1,,4,"2006",2,30,,1,1,
102,102103,10210309,1021030904,306,1,,2,"2010",3,50,,2,1,
102,102103,10210309,1021030904,306,1,,2,"2010",3,50,,1,1,
102,102103,10210309,1021030904,307,2,,,,,,,2,1,
102,102103,10210309,1021030904,307,2,,,,,,,1,1,
102,102103,10210309,1021030904,308,2,,,,,,,1,1,
102,102103,10210309,1021030904,308,2,,,,,,,2,1,
102,102103,10210309,1021030904,309,1,,1,"2005",2,0,,2,1,
102,102103,10210309,1021030904,309,1,,1,"2005",2,0,,1,1,
102,102103,10210309,1021030904,310,2,,,,,,,1,1,
102,102103,10210309,1021030904,310,2,,,,,,,2,1,
102,102103,10210309,1021030904,311,2,,,,,,,2,1,
102,102103,10210309,1021030904,311,2,,,,,,,1,1,
102,102103,10210309,1021030904,312,2,,,,,,,2,1,
102,102103,10210309,1021030904,312,2,,,,,,,1,1,
102,102103,10210309,1021030904,313,2,,,,,,,1,1,
102,102103,10210309,1021030904,313,2,,,,,,,2,1,
102,102103,10210312,1021031208,301,2,,,,,,,2,,
102,102103,10210312,1021031208,302,2,,,,,,,2,,
102,102103,10210312,1021031208,303,2,,,,,,,2,,
102,102103,10210312,1021031208,304,1,,5,"2011",1,15,,2,,
102,102103,10210312,1021031208,305,2,,,,,,,2,,
102,102103,10210312,1021031208,306,1,,3,"2011",1,20,,2,,
102,102103,10210312,1021031208,307,1,,2,"2011",2,2,,2,,
102,102103,10210312,1021031208,308,2,,,,,,,2,,
102,102103,10210312,1021031208,309,1,,1,"2006",2,1,,2,,
102,102103,10210312,1021031208,310,1,,1,"2012",1,0,,2,,
102,102103,10210312,1021031208,311,2,,,,,,,2,,
102,102103,10210312,1021031208,312,2,,,,,,,2,,
102,102103,10210312,1021031208,313,2,,,,,,,2,,
102,102104,10210401,1021040102,301,2,,,,,,,2,1,
102,102104,10210401,1021040102,302,2,,,,,,,2,1,
102,102104,10210401,1021040102,303,2,,,,,,,2,1,
102,102104,10210401,1021040102,304,1,,2,"2009",1,30,,2,1,
102,102104,10210401,1021040102,305,2,,,,,,,2,1,
102,102104,10210401,1021040102,306,1,,2,"2013",2,30,,2,1,
102,102104,10210401,1021040102,307,2,,,,,,,2,1,
102,102104,10210401,1021040102,308,2,,,,,,,2,1,
102,102104,10210401,1021040102,309,2,,,,,,,2,1,
102,102104,10210401,1021040102,310,2,,,,,,,2,1,
102,102104,10210401,1021040102,311,2,,,,,,,2,1,
102,102104,10210401,1021040102,312,2,,,,,,,2,1,
102,102104,10210401,1021040102,313,2,,,,,,,2,1,
102,102104,10210402,1021040203,301,2,,,,,,,1,,
102,102104,10210402,1021040203,302,2,,,,,,,1,,
102,102104,10210402,1021040203,303,2,,,,,,,1,,
102,102104,10210402,1021040203,304,2,,,,,,,1,,
102,102104,10210402,1021040203,305,2,,,,,,,1,,
102,102104,10210402,1021040203,306,1,,3,"2011",1,40,,1,,
102,102104,10210402,1021040203,307,2,,,,,,,1,,
102,102104,10210402,1021040203,308,2,,,,,,,1,,
102,102104,10210402,1021040203,309,2,,,,,,,1,,
102,102104,10210402,1021040203,310,2,,,,,,,1,,
102,102104,10210402,1021040203,311,2,,,,,,,1,,
102,102104,10210402,1021040203,312,2,,,,,,,1,,
102,102104,10210402,1021040203,313,2,,,,,,,1,,
102,102104,10210410,1021041002,301,2,,,,,,,2,1,
102,102104,10210410,1021041002,302,2,,,,,,,2,1,
102,102104,10210410,1021041002,303,2,,,,,,,2,1,
102,102104,10210410,1021041002,304,1,,2,"2008",1,18,,2,1,
102,102104,10210410,1021041002,305,2,,,,,,,2,1,
102,102104,10210410,1021041002,306,1,,2,"2010",1,12,,2,1,
102,102104,10210410,1021041002,307,1,,4,"2009",1,16,,2,1,
102,102104,10210410,1021041002,308,2,,,,,,,2,1,
102,102104,10210410,1021041002,309,1,,5,"2007",1,15,,2,1,
102,102104,10210410,1021041002,310,1,,1,"2012",9,0,,2,1,
102,102104,10210410,1021041002,311,2,,,,,,,2,1,
102,102104,10210410,1021041002,312,2,,,,,,,2,1,
102,102104,10210410,1021041002,313,2,,,,,,,2,1,
102,102104,10210411,1021041118,301,,,,,,,,2,,
102,102104,10210411,1021041118,302,,,,,,,,2,,
102,102104,10210411,1021041118,303,,,,,,,,2,,
102,102104,10210411,1021041118,304,,,,,,,,2,,
102,102104,10210411,1021041118,305,,,,,,,,2,,
102,102104,10210411,1021041118,306,,,,,,,,2,,
102,102104,10210411,1021041118,307,,,,,,,,2,,
102,102104,10210411,1021041118,308,,,,,,,,2,,
102,102104,10210411,1021041118,309,,,,,,,,2,,
102,102104,10210411,1021041118,310,,,,,,,,2,,
102,102104,10210411,1021041118,311,,,,,,,,2,,
102,102104,10210411,1021041118,312,,,,,,,,2,,
102,102104,10210411,1021041118,313,,,,,,,,2,,
102,102104,10210417,1021041701,301,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,302,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,303,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,304,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,305,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,306,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,307,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,308,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,309,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,310,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,311,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,312,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
