"HHID","HHID_old","rotate","result_code","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","region","regurb","sregion","urban","ea","wgt_X","wgt","year","month","day","DynID"
"H02711-04-01",1021002611,1,1,102,102103,"Lubaga Division",10210301,"Busega",1,11,1,1,27,624.932739257813,10021.39453125,2013,10,"16",2711
"H02711-04-02",,1,1,102,102103,"Lubaga Division",10210301,"Busega",1,11,1,1,27,624.932739257813,10021.39453125,2013,10,"16",2711
"H02711-04-03",,1,1,113,113111,"Nsangi",11311106,"Kyegera",1,11,2,1,27,624.932739257813,0,2013,10,"17",2711
"H02802-04-01",1021002702,1,1,102,102103,"Lubaga Division",10210302,"Kabowa",1,11,1,1,28,1874.79821777344,3054.6962890625,2013,12,"01",2802
"H02803-04-01",1021002703,1,1,102,102103,"Lubaga Division",10210302,"Kabowa",1,11,1,1,28,1874.79821777344,2697.33374023438,2013,12,"01",2803
"H02811-04-01",1021002711,1,1,102,102103,"Lubaga Division",10210302,"Kabowa",1,11,1,1,28,1874.79821777344,6077.53369140625,2013,12,"01",2811
"H03001-04-01",1021002901,1,1,113,113113,"Wakiso",11311303,"Kyebando",1,10,2,0,30,1874.79821777344,738.003479003906,2014,1,"24",3001
"H03003-04-01",1021002903,1,1,102,102103,"Lubaga Division",10210305,"Lubya",1,11,1,1,30,1874.79821777344,885.604125976563,2014,1,"24",3003
"H03005-04-01",1021002905,1,1,102,102103,"Lubaga Division",10210305,"Lubya",1,11,1,1,30,1874.79821777344,885.604125976563,2014,1,"24",3005
"H03006-04-01",1021002906,1,1,102,102103,"Lubaga Division",10210305,"Lubya",1,11,1,1,30,1874.79821777344,738.003479003906,2014,1,"24",3006
"H03010-04-01",1021002910,1,1,102,102103,"Lubaga Division",10210305,"Lubya",1,11,1,1,30,1874.79821777344,1476.00695800781,2014,1,"24",3010
"H03401-04-01",1021003301,1,1,102,102103,"Lubaga Division",10210312,"Nateete",1,11,1,1,34,1874.79821777344,0,2013,11,"17",3401
"H03408-04-01",1021003308,1,1,113,113104,"Kasanje",11310406,"Ssazi",1,10,2,0,34,1874.79821777344,0,2014,10,"19",3408
"H03409-04-01",1021003309,1,1,102,102103,"Lubaga Division",10210312,"Nateete",1,11,1,1,34,937.399108886719,4259.14208984375,2014,6,"06",3409
"H03409-04-02",2102100330903,1,1,113,113113,"Wakiso",11311305,"Nakabugo",1,11,2,1,34,937.399108886719,3447.876953125,2014,10,"17",3409
"H03410-04-01",1021003310,1,1,102,102103,"Lubaga Division",10210312,"Nateete",1,11,1,1,34,937.399108886719,3275.32373046875,2014,6,"06",3410
"H03410-04-02",,1,1,102,102103,"Lubaga Division",10210312,"Nateete",1,11,1,1,34,937.399108886719,0,2014,6,"06",3410
"H03503-04-01",1021003403,1,1,102,102103,"Lubaga Division",10210304,"Lubaga",1,11,1,1,35,1874.79809570313,9324.16796875,2013,12,"06",3503
"H03511-04-01",1021003411,1,1,102,102103,"Lubaga Division",10210304,"Lubaga",1,11,1,1,35,1874.79809570313,1551.845703125,2013,12,"06",3511
"H03512-04-01",1021003412,1,1,102,102103,"Lubaga Division",10210304,"Lubaga",1,11,1,1,35,1874.79809570313,2460.42431640625,2013,12,"06",3512
"H03515-04-01",1021003415,1,1,102,102103,"Lubaga Division",10210304,"Lubaga",1,11,1,1,35,1874.79809570313,0,2013,12,"06",3515
"H03601-04-01",1033000301,1,1,103,103106,"Kiboga Town Council",10310602,"Buzibweera Ward",1,10,3,0,36,2551.70141601563,3473.80932617188,2013,9,"27",3601
"H03602-04-04",,1,1,103,103106,"Kiboga Town Council",10310602,"Buzibweera Ward",1,10,3,0,36,2551.70141601563,1551.61462402344,2013,9,"27",3602
"H03603-04-05",,1,1,103,103106,"Kiboga Town Council",10310602,"Buzibweera Ward",1,10,3,0,36,2551.70141601563,1854.84423828125,2014,3,"16",3603
"H03604-04-04",2103300030402,1,1,103,103107,"Lwamata",10310702,"Kasejjere",1,10,3,0,36,850.567138671875,6368.64892578125,2014,3,"17",3604
"H03604-04-08",,1,1,103,103107,"Lwamata",10310702,"Kasejjere",1,10,3,0,36,850.567138671875,10007.537109375,2014,3,"17",3604
"H03604-04-09",,1,1,103,103107,"Lwamata",10310702,"Kasejjere",1,10,3,0,36,850.567138671875,0,2014,3,"18",3604
"H03605-04-02",,1,1,103,103107,"Lwamata",10310702,"Kasejjere",1,10,3,0,36,2551.70141601563,0,2014,3,"17",3605
"H03607-04-01",1033000307,1,1,103,103106,"Kiboga Town Council",10310602,"Buzibweera Ward",1,10,3,0,36,2551.70141601563,11223.3486328125,2014,3,"17",3607
"H03608-04-01",1033000308,1,1,103,103106,"Kiboga Town Council",10310602,"Buzibweera Ward",1,10,3,0,36,2551.70141601563,2782.26635742188,2013,9,"27",3608
"H03704-04-01",1033000504,1,1,123,123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",1,10,3,0,37,2551.70141601563,6882.4482421875,2014,1,"25",3704
"H03705-04-01",1033000505,1,1,123,123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",1,10,3,0,37,2551.70141601563,4669.0556640625,2014,1,"24",3705
"H03706-04-01",1033000506,1,1,123,123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",1,10,3,0,37,2551.70141601563,3732.669921875,2014,1,"24",3706
"H03707-04-01",1033000507,1,1,123,123108,"Ntwetwe Tc",12310803,"Kisojjo Ward",1,10,3,0,37,1275.85070800781,3534.50073242188,2014,7,"27",3707
"H03707-04-02",,1,1,113,113110,"Namayumba Town Council",11311002,"Kyanuuna",1,11,2,1,37,1275.85070800781,,2014,7,"26",3707
"H03709-04-01",1033000509,1,1,123,123107,"Ntwete",12310707,"Natyole",1,10,3,0,37,2551.70141601563,13370.9326171875,2014,1,"24",3709
"H03711-04-02",103300051102,1,1,123,123107,"Ntwete",12310709,"Ntiba",1,10,3,0,37,637.925354003906,0,2014,7,"27",3711
"H03711-04-03",2103300051102,1,1,123,123107,"Ntwete",12310709,"Ntiba",1,10,3,0,37,637.925354003906,11310.40234375,2014,7,"27",3711
"H03711-04-04",3103300051105,1,1,103,103104,"Kapeke",10310404,"Kyayimba",1,10,3,0,37,637.925354003906,0,2014,7,"26",3711
"H03804-04-01",1041000204,1,1,104,104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",1,11,3,1,38,2551.70141601563,,2013,11,"28",3804
"H03807-04-01",1041000207,1,1,104,104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",1,11,3,1,38,2551.70141601563,,2013,11,"28",3807
"H03809-04-01",1041000209,1,1,104,104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",1,11,3,1,38,2551.70141601563,,2014,6,"01",3809
"H03810-04-01",1041000210,1,1,104,104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",1,11,3,1,38,2551.70141601563,,2014,6,"01",3810
"H03811-04-01",1041000211,1,1,104,104201,"Bombo Town Council",10420104,"Mpakawero",1,11,3,1,38,2551.70141601563,,2014,6,"01",3811
"H03813-04-01",1041000213,1,1,104,104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",1,11,3,1,38,2551.70141601563,,2013,11,"28",3813
"H03901-04-01",1043000401,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,2551.70141601563,,2013,10,"29",3901
"H03902-04-01",1043000402,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,2551.70141601563,,2013,10,"28",3902
"H03903-04-01",1043000403,1,1,104,104102,"Kalagala",10410205,"Kamira",1,10,3,0,39,2551.70141601563,,2013,10,"28",3903
"H03906-04-01",1043000406,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,2551.70141601563,,2013,10,"28",3906
"H03907-04-01",1043000407,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,2551.70141601563,,2013,10,"28",3907
"H03908-04-01",1043000408,1,1,104,104102,"Kalagala",10410201,"Busiika",1,10,3,0,39,2551.70141601563,,2014,4,"22",3908
"H03909-04-01",1043000409,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,1275.85070800781,12473.36328125,2014,4,"22",3909
"H03909-04-02",104300040906,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,1275.85070800781,,2014,4,"23",3909
"H03910-04-01",1043000410,1,1,104,104102,"Kalagala",10410204,"Kalanamu",1,10,3,0,39,2551.70141601563,,2014,4,"22",3910
"H04001-04-01",1043000601,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,10,3,0,40,2551.70141601563,,2014,8,"04",4001
"H04002-04-01",1043000602,1,1,109,109101,"Kakooge",10910105,"Katuugo",1,10,3,0,40,2551.70141601563,,2014,8,"06",4002
