"HHID","h17q10b","h17q10a","wgt_X"
"H39401-04-01",10,2,911.797973632813
"H39401-04-01",11,1,911.797973632813
"H39401-04-01",12,1,911.797973632813
"H39402-04-01",1,1,911.797973632813
"H39402-04-01",2,1,911.797973632813
"H39402-04-01",3,2,911.797973632813
"H39402-04-01",4,2,911.797973632813
"H39402-04-01",5,2,911.797973632813
"H39402-04-01",6,2,911.797973632813
"H39402-04-01",7,2,911.797973632813
"H39402-04-01",8,2,911.797973632813
"H39402-04-01",9,1,911.797973632813
"H39402-04-01",10,1,911.797973632813
"H39402-04-01",11,1,911.797973632813
"H39402-04-01",12,1,911.797973632813
"H39409-04-01",1,2,911.797973632813
"H39409-04-01",2,2,911.797973632813
"H39409-04-01",3,2,911.797973632813
"H39409-04-01",4,2,911.797973632813
"H39409-04-01",5,2,911.797973632813
"H39409-04-01",6,1,911.797973632813
"H39409-04-01",7,1,911.797973632813
"H39409-04-01",8,2,911.797973632813
"H39409-04-01",9,2,911.797973632813
"H39409-04-01",10,2,911.797973632813
"H39409-04-01",11,2,911.797973632813
"H39409-04-01",12,2,911.797973632813
"H39410-04-01",1,2,911.797973632813
"H39410-04-01",2,2,911.797973632813
"H39410-04-01",3,2,911.797973632813
"H39410-04-01",4,2,911.797973632813
"H39410-04-01",5,2,911.797973632813
"H39410-04-01",6,2,911.797973632813
"H39410-04-01",7,2,911.797973632813
"H39410-04-01",8,1,911.797973632813
"H39410-04-01",9,2,911.797973632813
"H39410-04-01",10,2,911.797973632813
"H39410-04-01",11,2,911.797973632813
"H39410-04-01",12,2,911.797973632813
"H39506-04-01",1,2,1220.53100585938
"H39506-04-01",2,2,1220.53100585938
"H39506-04-01",3,2,1220.53100585938
"H39506-04-01",4,2,1220.53100585938
"H39506-04-01",5,1,1220.53100585938
"H39506-04-01",6,1,1220.53100585938
"H39506-04-01",7,2,1220.53100585938
"H39506-04-01",8,2,1220.53100585938
"H39506-04-01",9,2,1220.53100585938
"H39506-04-01",10,2,1220.53100585938
"H39506-04-01",11,2,1220.53100585938
"H39506-04-01",12,2,1220.53100585938
"H39601-04-01",1,1,1151.29089355469
"H39601-04-01",2,1,1151.29089355469
"H39601-04-01",3,2,1151.29089355469
"H39601-04-01",4,2,1151.29089355469
"H39601-04-01",5,2,1151.29089355469
"H39601-04-01",6,2,1151.29089355469
"H39601-04-01",7,2,1151.29089355469
"H39601-04-01",8,1,1151.29089355469
"H39601-04-01",9,1,1151.29089355469
