"HHID","parcelID","a2aq1owned","a2aq4","a2aq5","a2aq5_1","a2aq5_2","a2aq5_2_1","a2aq6","a2aq7","a2aq8","a2aq9","a2aq10","a2aq11a","a2aq11b","a2aq12","a2aq13a","a2aq13b","a2aq14","a2aq15a","a2aq15b","a2aq16","a2aq17","a2aq18","a2aq19","a2aq20","a2aq21","a2aq22a","a2aq22b","a2aq23","a2aq24a","a2aq24b","a2aq25","a2aq26a","a2aq26b","a2aq27a","a2aq27b","hh","wgt_X"
155090401,3,1,,0.5,15509009,2,1,4,4,2,999,1,1,1,9999,,,,100,100,2,1,2,4,2,,,,4,15509001,15509009,2,,,15509001,15509009,"H15509-04-01",2935.46557617188
155090401,4,1,,0.5,15509009,2,1,4,4,2,999,1,2,5,2013,0,3,,100,,2,1,2,4,2,,,,4,15509001,15509009,2,,,15509001,15509009,"H15509-04-01",2935.46557617188
155100401,1,1,2.71000003814697,2,15510001,1,,1,4,2,1962,1,2,2,9999,,,,100,100,2,1,2,3,1,2,2,8,4,15510001,99999999,2,,,15510001,99999999,"H15510-04-01",2935.46557617188
155100401,2,1,,0.5,15510001,2,1,4,4,2,1958,1,1,1,9999,,,,100,100,2,1,2,4,2,,,,4,15510001,99999999,2,,,15510001,99999999,"H15510-04-01",2935.46557617188
155100401,3,1,,1,15510001,2,1,4,4,1,1986,1,1,1,9999,,,,100,100,2,1,2,4,1,2,1,8,4,15510001,99999999,2,,,15510001,99999999,"H15510-04-01",2935.46557617188
155100401,4,1,,0.5,15510001,2,1,4,4,1,1986,1,1,1,9999,,,,100,100,2,1,2,4,1,2,1,8,4,15510001,99999999,2,,,15510001,99999999,"H15510-04-01",2935.46557617188
159020401,1,1,2.02999997138977,1,15902001,1,,1,4,2,1953,1,1,1,9999,,,,95,95,2,1,2,2,2,,,,4,15902001,,2,,,15902001,99999999,"H15902-04-01",2935.46606445313
159030401,1,1,1.23000001907349,0.75,15903001,1,,1,1,1,1985,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,15903001,,2,,,15903001,15903002,"H15903-04-01",2935.46606445313
159030401,2,1,,0.5,15903001,2,4,1,1,1,1984,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,4,15903001,,2,,,15903001,15903002,"H15903-04-01",2935.46606445313
159040401,1,1,,0.5,15904002,2,1,3,4,2,2012,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,15904002,15904004,2,,,15904003,15904002,"H15904-04-01",2935.46606445313
159050401,1,1,2.25999999046326,0.25,15905002,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,15905001,15905002,2,,,15905001,15905002,"H15905-04-01",2935.46606445313
159050401,2,1,,1,15905002,2,3,1,4,2,999,1,1,1,9999,,,,100,100,1,2,2,1,2,,,,4,15905001,15905002,2,,,15905001,15905002,"H15905-04-01",2935.46606445313
159070401,1,1,2.25999999046326,2,15907001,1,,1,4,1,1990,1,1,1,9999,,,,50,50,1,2,2,2,2,,,,1,,,2,15907001,15907002,15907001,15907002,"H15907-04-01",1467.73303222656
159070401,2,1,,1,15907001,2,1,3,4,1,2012,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,1,,,2,15907001,15907002,15907001,15907002,"H15907-04-01",1467.73303222656
159070401,3,1,,1,15907001,2,1,3,4,1,2012,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,1,,,2,15907001,15907002,15907001,15907002,"H15907-04-01",1467.73303222656
159080401,1,1,0.230000004172325,0.25,15908001,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,15908001,99999999,2,,,15908001,99999999,"H15908-04-01",2935.46606445313
159090401,1,1,0.769999980926514,1,15909002,1,,1,4,1,1972,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,15909001,15909002,2,,,15909001,15909002,"H15909-04-01",978.488708496094
159090401,2,1,1.53999996185303,1,15909002,1,,1,4,1,1972,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,15909001,15909002,2,,,15909001,15909002,"H15909-04-01",978.488708496094
159090402,1,1,2.08999991416931,2,15909010,1,,1,4,2,2008,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,15909010,99999999,2,,,15909010,99999999,"H15909-04-02",978.488708496094
159090403,1,1,1.12000000476837,1,15909014,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,15909014,15909015,2,,,15909014,15909015,"H15909-04-03",978.488708496094
159090403,2,1,0.660000026226044,0.5,15909014,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,3,2,,,,4,15909014,15909015,2,,,15909014,15909015,"H15909-04-03",978.488708496094
159100401,1,1,,0.5,15910001,2,4,1,4,2,1959,1,2,2,9999,,,,100,100,2,1,2,2,2,,,,4,15910001,15910002,2,,,15910001,99999999,"H15910-04-01",2935.46606445313
162010402,1,1,0.740000009536743,1,16201002,1,,1,4,2,999,1,2,5,9999,,,,100,,3,1,2,2,2,,,,4,16201002,16201005,2,,,16201002,16201005,"H16201-04-02",1467.73278808594
162020401,1,1,0.280000001192093,0.5,16202002,1,,1,4,2,999,1,1,1,9999,,,,100,100,3,1,2,2,2,,,,2,,,2,16202001,16202002,16202001,16202002,"H16202-04-01",2935.46557617188
162030401,1,1,1.41999995708466,1,16203001,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16203001,,2,,,16203001,16203003,"H16203-04-01",2935.46557617188
162040401,1,1,,4,16204001,2,3,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16204001,,2,,,16204001,16204002,"H16204-04-01",2935.46557617188
162050401,2,1,,2,16205003,2,3,1,4,1,2000,1,1,1,9999,,,,50,50,2,1,2,2,2,,,,4,16205001,16205003,2,,,16205001,16205003,"H16205-04-01",2935.46557617188
162060401,1,1,,1,16206008,2,2,1,4,2,999,1,2,2,9999,,,,100,100,1,2,2,2,2,,,,4,16206001,16206008,2,,,16206001,16206008,"H16206-04-01",2935.46557617188
162060401,2,1,,1,16206008,2,2,1,4,2,999,1,2,2,9999,,,,100,100,1,3,2,2,2,,,,4,16206001,16206008,2,,,16206001,16206008,"H16206-04-01",2935.46557617188
162070401,1,1,,2,16207002,2,3,1,4,2,999,1,1,2,9999,,,,100,100,1,1,2,2,2,,,,4,16207002,,2,,,16207002,16207008,"H16207-04-01",2935.46557617188
162080401,1,1,,4,16208001,2,2,2,4,2,999,1,2,2,9999,,,,100,100,1,2,2,2,2,,,,4,16208001,16208002,2,,,16208001,16208002,"H16208-04-01",2935.46557617188
162090401,1,1,3.20000004768372,3,16209002,1,,1,4,2,999,1,2,2,9999,,,,70,70,2,2,2,2,2,,,,4,16209001,16209002,2,,,16209001,16209002,"H16209-04-01",2935.46557617188
162090401,2,1,,2,16209002,2,2,3,4,2,999,1,5,2,9999,,,,,100,1,1,2,2,2,,,,4,16209001,16209002,2,,,16209001,16209002,"H16209-04-01",2935.46557617188
162090401,3,1,,3,16209002,2,2,4,4,2,999,1,5,5,9999,,,,,,1,2,2,2,2,,,,4,16209001,16209002,2,,,16209001,16209002,"H16209-04-01",2935.46557617188
162100401,1,1,0.740000009536743,1,16210002,1,,1,4,2,999,1,2,5,9999,,,,100,,2,1,2,2,2,,,,4,16210001,16210003,2,,,16210001,16210003,"H16210-04-01",2935.46557617188
162100401,2,1,,1,16210002,2,3,3,4,2,999,1,2,2,9999,,,,100,100,2,1,2,2,2,,,,4,16210001,16210003,2,,,16210001,16210003,"H16210-04-01",2935.46557617188
163020401,1,1,0.100000001490116,0.25,16302001,1,,1,4,2,1978,1,5,1,9999,,,,,50,1,1,2,2,2,,,,2,,,2,16302001,99999999,16302001,99999999,"H16302-04-01",2935.46557617188
163050401,1,1,1.20000004768372,1,16305001,1,,1,4,2,999,1,1,1,9999,,,,100,80,1,2,2,2,2,,,,4,16305001,16305002,2,,,16305001,16305002,"H16305-04-01",978.488586425781
163050402,1,1,0.550000011920929,0.5,16305003,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16305003,,2,,,16305003,99999999,"H16305-04-02",978.488586425781
163050403,1,1,,1,16305005,2,2,1,4,2,999,1,1,5,9999,,,,100,,3,1,2,2,2,,,,4,16305004,16305005,2,,,16305004,16305005,"H16305-04-03",978.488586425781
163070401,1,1,1.10000002384186,1.5,16307007,1,,1,4,2,999,1,1,5,9999,,,,100,,1,1,2,3,1,1,8,,4,16307001,16307007,2,,,16307001,16307007,"H16307-04-01",2935.46557617188
163070401,2,1,,3,16307007,2,3,2,4,2,999,1,1,2,9999,,,,80,80,1,1,2,3,2,,,,4,16307001,16307007,2,,,16307001,16307007,"H16307-04-01",2935.46557617188
163070401,3,1,,2,16307007,2,2,1,4,1,2009,1,5,5,2013,1,1,,,,1,1,2,3,1,1,8,,4,16307001,16307007,2,,,16307001,16307007,"H16307-04-01",2935.46557617188
163080402,1,1,,2,16308007,2,1,4,4,2,999,1,1,1,9999,,,,100,50,2,1,2,2,2,,,,2,,,2,16308007,16308016,16308007,16308016,"H16308-04-02",1467.73278808594
163090401,2,1,0.109999999403954,2,16309001,1,,3,4,2,2005,1,5,1,2012,1,3,,,100,2,1,2,2,2,,,,2,,,2,16309001,99999999,16309001,99999999,"H16309-04-01",2935.46557617188
164010401,1,1,0.670000016689301,0.75,16401001,1,,1,4,2,999,1,1,5,9999,,,,100,,2,1,2,2,2,,,,2,,,2,16401001,16401006,16401001,16401006,"H16401-04-01",2935.46557617188
164010401,2,1,0.660000026226044,1,16401001,1,,1,4,2,999,1,1,5,9999,,,,100,,2,1,2,2,2,,,,2,,,2,16401001,16401006,16401001,16401006,"H16401-04-01",2935.46557617188
164020401,1,1,,1.5,16402001,2,2,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16402001,16402002,2,,,16402001,16402002,"H16402-04-01",2935.46557617188
164030401,1,1,,0.5,16403001,2,2,1,4,2,2007,1,2,2,9999,,,,100,100,1,1,2,2,2,,,,4,16403001,16403003,2,,,16403001,16403003,"H16403-04-01",2935.46557617188
164040401,1,1,,1,16404001,2,2,3,4,2,999,1,1,5,9999,,,,100,,2,1,2,2,2,,,,2,,,2,16404001,16404003,16404001,16404003,"H16404-04-01",2935.46557617188
164050401,1,1,,3,16405002,2,3,1,4,2,999,1,1,1,9999,,,,60,60,2,1,2,2,2,,,,4,16405001,16405002,2,,,16405001,16405002,"H16405-04-01",1467.73278808594
164050402,1,1,,4,16405004,2,3,1,4,2,999,1,1,1,9999,,,,50,50,1,1,2,2,2,,,,4,16405004,,2,,,16405004,16405005,"H16405-04-02",1467.73278808594
164060401,1,1,0.5,0.5,16406001,1,,1,4,2,999,1,2,2,9999,,,,100,100,2,2,2,2,2,,,,4,16406001,16406002,2,,,16406001,16406002,"H16406-04-01",2935.46557617188
164060401,2,1,,0.5,16406001,2,2,2,4,2,999,1,2,2,9999,,,,100,100,2,2,2,2,2,,,,4,16406001,16406002,2,,,16406001,16406002,"H16406-04-01",2935.46557617188
164060401,3,1,,0.5,16406001,2,2,3,4,2,999,1,2,2,9999,,,,100,100,2,2,2,2,2,,,,4,16406001,16406002,2,,,16406001,16406002,"H16406-04-01",2935.46557617188
164060401,4,1,,0.5,16406001,2,3,3,4,2,999,1,2,2,9999,,,,100,100,2,2,2,2,2,,,,4,16406001,16406002,2,,,16406001,16406002,"H16406-04-01",2935.46557617188
164060401,5,1,,0.5,16406001,2,3,1,4,2,999,2,2,2,9999,,,,100,100,2,2,2,2,2,,,,4,16406001,16406002,2,,,16406001,16406002,"H16406-04-01",2935.46557617188
164070401,1,1,3.70000004768372,3.70000004768372,16407002,1,,1,4,2,999,1,2,1,9999,,,,60,60,1,2,2,2,2,,,,4,16407001,16407002,2,,,16407001,16407002,"H16407-04-01",978.488586425781
164070401,2,1,,0.5,16407002,2,2,3,4,2,999,1,2,2,9999,,,,100,100,1,2,2,2,2,,,,4,16407001,16407002,2,,,16407001,16407002,"H16407-04-01",978.488586425781
164070401,3,1,,0.5,16407002,2,3,4,4,2,999,1,2,2,9999,,,,100,100,1,2,2,2,2,,,,4,16407001,16407002,2,,,16407001,16407002,"H16407-04-01",978.488586425781
164080401,1,1,,1,16408001,2,2,3,4,2,999,1,1,5,9999,,,,100,,2,1,2,3,2,,,,2,,,2,16408001,16408002,16408001,16408002,"H16408-04-01",2935.46557617188
164090401,1,1,,1,16409002,2,2,1,4,2,999,1,2,2,9999,,,,1,1,2,1,2,2,2,,,,4,16409001,16409002,1,,,16409001,16409002,"H16409-04-01",733.866394042969
164090402,1,1,,5,16409007,2,3,1,4,2,999,1,1,1,9999,,,,50,50,1,1,2,2,2,,,,4,16409007,,2,,,16409007,16409008,"H16409-04-02",733.866394042969
164090403,1,1,,4,16409019,2,1,4,4,2,999,1,1,1,9999,,,,40,50,1,1,2,2,2,,,,4,16409018,,2,,,16409018,16409019,"H16409-04-03",733.866394042969
164090404,1,1,,3,16409015,2,3,2,4,2,999,1,1,1,9999,,,,50,40,2,1,2,2,2,,,,4,16409014,99999999,2,,,16409014,16409015,"H16409-04-04",733.866394042969
164100401,1,1,,2,16410001,2,3,1,4,2,999,1,1,1,9999,,,,75,75,1,1,2,2,2,,,,4,16410001,16410002,2,,,16410001,16410002,"H16410-04-01",2935.46557617188
165010401,1,1,,3,16501001,2,3,1,4,2,999,1,1,1,9999,,,,40,50,1,1,2,2,2,,,,4,16501001,,2,,,16501001,99999999,"H16501-04-01",1467.73278808594
165010402,1,1,,2,16501004,2,2,1,4,2,999,1,1,1,9999,,,,50,60,1,1,2,3,2,,,,4,16501004,,2,,,16501004,16501005,"H16501-04-02",1467.73278808594
165010402,2,1,,2,16501004,2,1,2,4,2,999,1,5,1,9999,,,,,50,2,1,2,3,2,,,,4,16501004,,2,,,16501004,16501005,"H16501-04-02",1467.73278808594
165020401,1,1,0.670000016689301,0.5,16502001,1,,1,4,2,999,1,2,1,9999,,,,100,100,1,1,2,2,2,,,,2,,,2,16502001,16502002,16502001,16502002,"H16502-04-01",2935.46557617188
165050401,1,1,7.5,7,16505006,1,,1,4,2,999,1,2,5,9999,,,,100,,1,2,2,2,2,,,,4,16505001,16505002,2,,,16505001,16505002,"H16505-04-01",978.488586425781
165050402,1,1,,1,16505014,2,2,3,4,2,2011,1,2,2,9999,,,,100,100,1,1,2,2,2,,,,4,16505014,16505015,2,,,16505014,16505015,"H16505-04-02",978.488586425781
165060401,1,1,,3,16506006,2,2,1,4,2,999,1,1,1,9999,,,,80,80,1,1,2,2,2,,,,4,16506005,,2,,,16506005,16506006,"H16506-04-01",2935.46557617188
165070401,1,1,0.230000004172325,0.200000002980232,16507003,1,,1,1,1,2003,1,2,1,9999,,,,100,100,1,1,2,3,2,,,,3,,,2,16507001,16507004,16507001,16507004,"H16507-04-01",2935.46557617188
165070401,2,1,0.180000007152557,0.200000002980232,16507003,1,,1,1,1,2003,1,2,1,9999,,,,100,100,1,1,2,2,2,,,,3,,,2,16507001,16507004,16507001,16507004,"H16507-04-01",2935.46557617188
165080401,2,1,,0.5,16508001,2,1,1,4,2,999,1,5,1,9999,,,,,30,1,1,2,2,2,,,,4,16508001,,2,,,16508001,16508002,"H16508-04-01",2935.46557617188
165080401,3,1,,2.5,16508001,2,1,1,4,2,999,1,5,1,9999,,,,,100,1,1,2,2,2,,,,4,16508001,,2,,,16508001,16508002,"H16508-04-01",2935.46557617188
165090401,1,1,1.39999997615814,1,16509001,1,,1,4,2,999,1,2,5,9999,,,,50,,1,1,2,2,2,,,,1,,,2,16509001,16509002,16509001,16509002,"H16509-04-01",2935.46557617188
165090401,2,1,,5,16509001,2,2,2,2,1,1985,1,2,2,9999,,,,36,36,1,1,2,2,2,,,,1,,,2,16509001,16509002,16509001,16509002,"H16509-04-01",2935.46557617188
165100401,1,1,,5,16510001,2,2,2,2,1,1972,1,2,2,9999,,,,70,30,1,1,2,2,2,,,,3,,,1,16510001,16510003,16510001,16510011,"H16510-04-01",2935.46557617188
165100401,2,1,,4,16510001,2,2,2,4,2,999,1,5,2,9999,,,,,100,1,1,2,2,2,,,,2,,,1,16510001,16510011,16510001,16510002,"H16510-04-01",2935.46557617188
165100401,3,1,1.89999997615814,8,16510001,1,,3,2,1,1984,1,5,2,9999,,,,,100,1,2,2,2,2,,,,1,,,1,16510001,16510002,16510001,16510002,"H16510-04-01",2935.46557617188
165100401,4,1,,3,16510001,2,2,2,4,2,999,1,2,5,9999,,,,40,,1,1,2,2,2,,,,1,,,1,16510001,16510003,16510005,16510002,"H16510-04-01",2935.46557617188
165100401,5,1,2.09999990463257,2,16510001,1,,1,2,1,1986,1,5,2,9999,,,,,70,1,3,2,2,2,,,,1,,,1,16510003,16510002,16510001,16510002,"H16510-04-01",2935.46557617188
166040401,1,1,0.230000004172325,0.5,16604002,1,,1,1,1,1988,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,1,,,2,16604002,16604001,16604002,16604001,"H16604-04-01",1467.73278808594
166060401,1,1,0.439999997615814,0.5,16606002,1,,1,4,1,2008,1,1,1,9999,,,,100,100,2,2,2,2,2,,,,2,,,2,16606001,16606003,16606001,16606003,"H16606-04-01",2935.46557617188
166110401,1,1,,0.25,16611001,2,3,1,4,1,1998,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,1,,,2,16611001,16611002,16611001,16611002,"H16611-04-01",2935.46557617188
167010401,1,1,,0.5,16701002,2,1,4,4,1,2001,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16701001,16701002,2,,,16701001,99999999,"H16701-04-01",2935.46557617188
167020401,1,1,0.119999997317791,0.25,16702001,1,,1,1,2,1994,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,4,16702001,16702002,2,,,16702001,16702002,"H16702-04-01",2935.46557617188
167020401,2,1,0.300000011920929,0.25,16702001,1,,1,1,2,1994,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,4,16702001,16702002,2,,,16702001,16702002,"H16702-04-01",2935.46557617188
167020401,3,1,0.259999990463257,0.5,16702001,1,,1,1,1,2004,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16702001,16702002,2,,,16702001,16702002,"H16702-04-01",2935.46557617188
167030401,1,1,0.180000007152557,0.25,16703002,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16703002,,2,,,16703002,,"H16703-04-01",1467.73278808594
167030401,2,1,1.48000001907349,1,16703002,1,,1,4,2,999,1,1,5,2013,0,3,,100,,1,1,2,2,2,,,,4,16703002,,2,,,16703002,,"H16703-04-01",1467.73278808594
167030401,3,1,,0.5,16703002,2,1,4,4,2,999,1,5,1,2013,0,3,,,100,1,1,2,2,2,,,,4,16703002,,2,,,16703002,,"H16703-04-01",1467.73278808594
167040401,1,1,,0.119999997317791,16704002,2,2,1,4,2,999,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,4,16704001,16704002,2,,,16704001,16704002,"H16704-04-01",1467.73278808594
167040401,2,1,0.409999996423721,0.25,16704002,1,,1,4,2,999,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,4,16704001,16704002,2,,,16704001,16704002,"H16704-04-01",1467.73278808594
167040401,3,1,,0.5,16704002,2,1,3,4,2,999,1,1,3,9999,,,0,100,,2,1,2,2,2,,,,4,16704001,16704002,2,,,16704001,16704002,"H16704-04-01",1467.73278808594
167040402,1,1,,0.25,16704011,2,1,2,4,2,999,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,4,16704003,16704011,2,,,16704003,99999999,"H16704-04-02",1467.73278808594
167050401,1,1,0.150000005960464,0.200000002980232,16705002,1,,1,4,1,1980,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16705001,16705002,2,,,16705001,99999999,"H16705-04-01",2935.46557617188
167050401,2,1,,1,16705002,2,1,2,1,2,1980,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16705001,16705002,2,,,16705001,99999999,"H16705-04-01",2935.46557617188
167070401,1,1,,0.25,16707001,2,3,1,4,2,1995,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16707001,,1,,,16707001,99999999,"H16707-04-01",2935.46557617188
167070401,2,1,,0.25,16707001,2,3,1,4,2,1995,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16707001,,1,,,16707001,99999999,"H16707-04-01",2935.46557617188
167070401,3,1,,0.25,16707001,2,3,1,4,2,1995,1,1,1,2012,1,3,,100,100,1,2,2,2,2,,,,4,16707001,,1,,,16707001,99999999,"H16707-04-01",2935.46557617188
167080401,1,1,0.829999983310699,0.5,16708002,1,,1,4,2,2002,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,16708001,,16708001,16708002,"H16708-04-01",2935.46557617188
167080401,2,1,,0.25,16708002,2,1,3,4,2,2007,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,16708001,,16708001,16708002,"H16708-04-01",2935.46557617188
167100401,1,1,,0.25,16710002,2,3,1,4,2,999,1,6,6,2013,1,1,,,,2,1,2,2,2,,,,4,16710001,16710002,2,,,16710001,99999999,"H16710-04-01",2935.46557617188
167100401,2,1,,0.25,16710002,2,3,1,4,2,999,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,4,16710001,16710002,2,,,16710001,99999999,"H16710-04-01",2935.46557617188
167100401,3,1,,0.5,16710002,2,1,2,4,2,999,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,4,16710001,16710002,2,,,16710001,99999999,"H16710-04-01",2935.46557617188
168020401,1,1,,0.5,16802002,2,3,1,4,1,1999,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,16802001,99999999,16802001,16802002,"H16802-04-01",2935.46606445313
168030401,1,1,0.239999994635582,0.200000002980232,16803002,1,,1,4,2,1994,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16803001,,2,,,16803001,99999999,"H16803-04-01",2935.46606445313
168030401,2,1,,1.5,16803002,2,1,4,1,1,2010,1,1,1,9999,,,,50,50,2,1,2,2,2,,,,4,16803001,,1,,,16803001,99999999,"H16803-04-01",2935.46606445313
168030401,4,1,0.230000004172325,0.200000002980232,16803002,1,,1,4,1,2003,1,96,1,9999,,,,,100,1,3,2,2,2,,,,4,16803001,,2,,,16803001,99999999,"H16803-04-01",2935.46606445313
168040401,1,1,,0.25,16804001,2,2,1,4,2,999,2,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16804001,99999999,2,,,16804001,99999999,"H16804-04-01",1467.73303222656
168040401,2,1,,0.25,16804001,2,2,1,4,2,999,2,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16804001,99999999,2,,,16804001,99999999,"H16804-04-01",1467.73303222656
168060401,1,1,0.5,0.5,16806001,1,,1,4,2,1993,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,4,16806001,99999999,2,,,16806003,99999999,"H16806-04-01",1467.73303222656
168070401,1,1,0.509999990463257,0.5,16807002,1,,1,4,2,1985,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,4,16807001,16807002,2,,,16807001,16807002,"H16807-04-01",2935.46606445313
168080401,1,1,,0.25,16808001,2,3,2,4,2,999,1,1,1,9999,,,,100,100,2,1,3,2,2,,,,4,16808001,99999999,2,,,16808001,99999999,"H16808-04-01",2935.46606445313
168080401,2,1,,0.5,16808001,2,1,4,4,2,999,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16808001,,2,,,16808001,99999999,"H16808-04-01",2935.46606445313
168090401,1,1,0.550000011920929,0.5,16809005,1,,1,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16809005,16809007,2,,,16809005,16809006,"H16809-04-01",978.488708496094
168090401,2,1,,1,16809005,2,4,2,4,2,999,1,1,5,9999,,,,100,,1,1,3,2,2,,,,4,16809005,16809007,2,,,16809005,16809006,"H16809-04-01",978.488708496094
168090401,3,1,,1,16809005,2,4,2,4,2,999,1,1,5,9999,,,,100,,1,1,3,2,2,,,,4,16809005,16809007,2,,,16809005,16809006,"H16809-04-01",978.488708496094
168090401,4,1,,0.5,16809005,2,4,2,4,2,999,1,1,1,9999,,,,100,100,1,1,3,2,2,,,,4,16809005,16809007,2,,,16809005,16809006,"H16809-04-01",978.488708496094
168090402,1,1,,0.5,16809009,2,4,3,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16809008,16809009,2,,,16809008,,"H16809-04-02",978.488708496094
168090402,2,1,,0.5,16809009,2,4,3,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16809008,16809009,2,,,16809008,,"H16809-04-02",978.488708496094
168100401,1,1,0.509999990463257,0.5,16810003,1,,1,4,1,1997,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,2,,,2,16810003,,16810003,,"H16810-04-01",2935.46606445313
168100401,2,1,0.340000003576279,0.25,16810003,1,,1,4,1,1999,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16810003,16810005,2,,,16810003,,"H16810-04-01",2935.46606445313
168100401,3,1,0.649999976158142,0.5,16810003,1,,1,4,1,1997,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,4,16810003,16810005,2,,,16810003,,"H16810-04-01",2935.46606445313
168100401,4,1,0.730000019073486,1,16810003,1,,1,4,1,1997,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,2,,,2,16810003,,16810003,,"H16810-04-01",2935.46606445313
168100401,5,1,,1,16810003,2,1,3,4,2,999,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,16810003,,2,,,16810003,,"H16810-04-01",2935.46606445313
170020401,1,1,0.439999997615814,0.5,17002002,1,,1,4,2,999,1,2,1,9999,,,,100,100,2,1,2,2,2,,,,4,17002001,17002002,2,,,17002001,99999999,"H17002-04-01",2935.46557617188
170020401,2,1,2.70000004768372,3,17002002,1,,1,4,2,999,1,1,2,9999,,,,100,100,2,2,2,2,2,,,,4,17002001,17002002,2,,,17002001,99999999,"H17002-04-01",2935.46557617188
170020401,3,1,,2,17002002,2,4,1,4,2,999,1,1,5,9999,,,,100,,2,3,3,2,2,,,,4,17002001,17002002,2,,,17002001,99999999,"H17002-04-01",2935.46557617188
170030401,1,1,,0.5,17003002,2,4,1,4,2,2012,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,4,17003001,,2,,,17003001,99999999,"H17003-04-01",2935.46557617188
170030401,2,1,0.129999995231628,0.25,17003002,1,,1,4,2,2012,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,4,17003001,,2,,,17003001,99999999,"H17003-04-01",2935.46557617188
170030401,3,1,0.189999997615814,0.200000002980232,17003002,1,,1,4,2,2012,1,1,96,9999,,,,100,,1,3,2,2,2,,,,4,17003001,,2,,,17003001,99999999,"H17003-04-01",2935.46557617188
170030401,4,1,0.180000007152557,0.119999997317791,17003002,1,,1,4,2,2012,1,1,96,9999,,,,100,,1,3,2,2,2,,,,4,17003001,,2,,,17003001,99999999,"H17003-04-01",2935.46557617188
170030401,5,1,0.28999999165535,0.25,17003002,1,,1,4,2,2012,2,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,17003001,,2,,,17003001,99999999,"H17003-04-01",2935.46557617188
170030401,6,1,0.310000002384186,0.5,17003002,1,,2,4,2,2012,1,1,96,2011,1,3,,100,,1,3,2,2,2,,,,4,17003001,,2,,,17003001,99999999,"H17003-04-01",2935.46557617188
170050401,1,1,,2,17005001,2,4,1,4,2,2010,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,17005001,17005008,2,,,17005002,17005001,"H17005-04-01",2935.46557617188
170050401,2,1,,1,17005001,2,4,3,4,2,2010,1,1,5,2013,0,3,,100,,2,2,3,3,2,,,,4,17005001,17005008,2,,,17005002,17005001,"H17005-04-01",2935.46557617188
