"id_hh","wgt","ea","rural"
"H05410-04-01",2781.16381835938,54,2
"H05412-04-01",8740.5029296875,54,2
"H05412-04-02",11876.3701171875,54,2
"H05412-04-03",0,54,1
"H05701-04-01",5976.39013671875,57,2
"H05702-04-01",3460.76977539063,57,2
"H05703-04-01",6203.95751953125,57,2
"H05704-04-01",11074.4638671875,57,2
"H05705-04-01",1460.58776855469,57,2
"H05706-04-01",3949.52856445313,57,2
"H05707-04-01",3735.24365234375,57,2
"H05709-04-01",2556.02880859375,57,2
"H05710-04-01",11374.642578125,57,2
"H05711-04-01",3460.76977539063,57,2
"H05711-04-02",3460.76977539063,57,2
"H05901-04-01",11117.7099609375,59,1
"H05903-04-01",5566.671875,59,2
"H05904-04-01",8350.0078125,59,1
"H05906-04-01",6442.93505859375,59,1
"H05906-04-02",0,59,2
"H05910-04-01",3820.57983398438,59,1
"H06001-04-01",5139.66162109375,60,2
"H06005-04-01",6167.59423828125,60,1
"H06006-04-01",5855.00634765625,60,1
"H06007-04-01",13463.8916015625,60,1
"H06008-04-01",7105.595703125,60,2
"H06009-04-01",5167.7060546875,60,1
"H06010-04-01",3850.2861328125,60,1
"H06101-04-01",1038.69030761719,61,2
"H06102-04-01",3553.88208007813,61,2
"H06103-04-01",3833.74829101563,61,2
"H06104-04-01",23924.84765625,61,2
"H06104-04-02",0,61,1
"H06104-04-03",NA,61,1
"H06105-04-01",4352.45947265625,61,2
"H06105-04-02",2040.21533203125,61,2
"H06107-04-01",10738.7216796875,61,2
"H06108-04-01",0,61,2
"H06109-04-01",1780.61206054688,61,2
"H06110-04-01",1643.03491210938,61,2
"H06201-04-01",240.253799438477,62,2
"H06203-04-01",1686.37780761719,62,2
"H06207-04-01",1081.14208984375,62,2
"H06208-04-01",880.4560546875,62,2
"H06209-04-01",NA,62,2
"H06301-04-01",2958.61499023438,63,2
"H06302-04-01",5981.2119140625,63,2
"H06303-04-01",2421.91186523438,63,2
"H06303-04-02",0,63,2
"H06303-04-03",5449.3017578125,63,2
"H06305-04-01",2094.490234375,63,1
"H06306-04-01",2336.74951171875,63,1
"H06307-04-01",2524.06372070313,63,2
"H06309-04-01",5407.26318359375,63,1
"H06310-04-01",12289.2333984375,63,1
"H06310-04-02",0,63,1
"H06310-04-03",0,63,1
"H06401-04-01",18231.232421875,64,2
"H06402-04-01",3881.19091796875,64,2
"H06403-04-01",9102.8154296875,64,2
"H06404-04-01",2606.80444335938,64,2
"H06405-04-01",2982.65673828125,64,2
"H06406-04-01",776.238159179688,64,2
"H06408-04-01",1341.80615234375,64,2
"H06409-04-01",2236.34350585938,64,2
"H06410-04-01",6986.14501953125,64,2
"H06411-04-01",931.73486328125,64,2
"H06601-04-01",0,66,2
"H06602-04-01",13680.8525390625,66,2
"H06603-04-01",1139.45104980469,66,2
"H06604-04-01",1164.99011230469,66,2
"H06605-04-01",3883.30053710938,66,2
"H06606-04-01",5438.07275390625,66,2
"H06607-04-01",1304.11022949219,66,2
"H06608-04-01",3988.07861328125,66,2
"H06609-04-01",6830.82177734375,66,2
"H06701-04-01",1210.72375488281,67,2
"H06702-04-01",3254.17749023438,67,2
"H06703-04-01",2421.44750976563,67,2
"H06704-04-01",2077.39331054688,67,2
"H06706-04-01",1220.31652832031,67,2
"H06707-04-01",1209.02368164063,67,2
"H06707-04-02",1007.51971435547,67,2
"H06708-04-01",1597.40466308594,67,2
"H06709-04-01",4620.06494140625,67,2
"H06710-04-01",1731.16101074219,67,2
"H06801-04-01",8913.50390625,68,1
"H06802-04-01",7974.94921875,68,1
"H06803-04-01",2355.3671875,68,2
"H06805-04-01",23924.84765625,68,1
"H06806-04-01",5942.3359375,68,1
"H06807-04-01",5093.43115234375,68,2
"H06810-04-01",0,68,2
"H06810-04-02",0,68,2
"H06901-04-01",8405.5458984375,69,1
"H06902-04-01",13330.7744140625,69,1
"H06903-04-01",2125.03247070313,69,1
"H06906-04-01",8844.056640625,69,1
"H06908-04-01",15407.2900390625,69,1
"H06909-04-01",1681.10913085938,69,1
"H06911-04-01",1286.78979492188,69,1
"H06911-04-03",0,69,2
"H06914-04-01",0,69,2
"H07002-04-02",1501.47985839844,70,1
"H07003-04-01",2422.6943359375,70,1
"H07007-04-01",1899.89990234375,70,1
"H07007-04-02",1357.07141113281,70,1
"H07008-04-01",2119.857421875,70,1
"H07009-04-01",1420.52648925781,70,1
"H07010-04-01",500.493286132813,70,1
"H07201-04-01",3824.8876953125,72,2
"H07202-04-01",14618.111328125,72,2
"H07202-04-02",4635.3515625,72,2
"H07203-04-01",2955.14233398438,72,2
"H07204-04-01",738.785583496094,72,2
"H07205-04-01",0,72,2
"H07206-04-01",13790.6640625,72,2
"H07207-04-01",1341.14807128906,72,2
"H07208-04-01",2234.41918945313,72,2
"H07208-04-02",4189.5361328125,72,2
"H07209-04-01",2682.29614257813,72,2
"H07210-04-01",4465.32080078125,72,2
"H07302-04-01",4294.39794921875,73,2
"H07303-04-01",2969.82788085938,73,2
"H07304-04-01",16334.0546875,73,2
"H07304-04-02",0,73,1
"H07305-04-01",11041.423828125,73,2
"H07306-04-01",2471.99267578125,73,2
"H07307-04-01",1409.65502929688,73,2
"H07309-04-01",3884.42846679688,73,2
"H07310-04-01",2162.99365234375,73,2
"H07311-04-01",14831.95703125,73,2
"H07403-04-01",4165.98388671875,74,2
"H07404-04-01",3636.84643554688,74,2
"H07406-04-01",7283.9208984375,74,2
"H07408-04-01",8898.1748046875,74,2
"H07408-04-02",NA,74,2
"H07408-04-03",0,74,2
"H07410-04-01",9104.900390625,74,2
"H07412-04-01",4165.98388671875,74,2
"H07413-04-01",3167.5390625,74,2
"H07501-04-01",3818.78857421875,75,2
"H07502-04-01",12228.5439453125,75,2
"H07502-04-02",NA,75,2
"H07502-04-03",NA,75,1
"H07502-04-04",0,75,1
"H07502-04-06",NA,75,2
"H07502-04-07",7472.99951171875,75,1
"H07504-04-01",2457.14331054688,75,2
"H07506-04-01",3658.3662109375,75,2
"H07507-04-01",1494.59985351563,75,2
"H07508-04-01",8431.806640625,75,2
"H07509-04-01",0,75,2
"H07509-04-02",9274.986328125,75,2
"H07509-04-03",4233.95068359375,75,2
"H07509-04-04",9274.986328125,75,2
"H07510-04-01",1660.66650390625,75,2
"H08101-04-01",14180.224609375,81,1
"H08102-04-01",38481.28125,81,1
"H08102-04-02",0,81,1
"H08102-04-03",NA,81,1
"H08102-04-04",NA,81,1
"H08102-04-06",0,81,1
"H08103-04-01",3803.81640625,81,1
"H08107-04-01",5071.7548828125,81,2
"H08110-04-01",14515.1875,81,1
"H08114-04-01",17404.513671875,81,1
"H08301-04-01",5649.1171875,83,2
"H08302-04-01",4393.7578125,83,2
"H08302-04-02",0,83,2
"H08302-04-03",NA,83,2
"H08302-04-04",0,83,2
"H08303-04-01",1293.52648925781,83,2
"H08304-04-01",7957.9970703125,83,2
"H08305-04-01",27634.033203125,83,2
"H08306-04-01",840.41796875,83,2
"H08307-04-02",6590.63720703125,83,2
"H08307-04-03",2196.87890625,83,2
"H08308-04-01",16711.791015625,83,2
"H08308-04-03",0,83,2
"H08309-04-01",2302.8359375,83,1
"H08310-04-01",6590.63720703125,83,2
"H08402-04-01",3061.2568359375,84,2
"H08404-04-01",4081.67578125,84,2
"H08405-04-01",3694.734375,84,2
"H08406-04-01",5432.7109375,84,2
"H08406-04-02",5432.7109375,84,1
"H08406-04-03",10865.421875,84,1
"H08406-04-04",0,84,2
"H08408-04-01",9658.15234375,84,2
"H08409-04-01",33932.484375,84,2
"H08409-04-02",10865.421875,84,2
"H08410-04-01",4114.59033203125,84,2
"H08411-04-01",0,84,1
"H08501-04-01",6302.81982421875,85,2
"H08502-04-01",2092.1708984375,85,2
"H08503-04-01",33932.484375,85,2
"H08503-04-02",4587.77099609375,85,1
"H08503-04-03",6792.76220703125,85,2
"H08504-04-01",6389.6640625,85,2
"H08505-04-01",3707.73071289063,85,2
"H08506-04-01",11847.826171875,85,2
"H08507-04-01",13461.591796875,85,2
"H08508-04-01",987.31884765625,85,2
"H08509-04-01",2961.95654296875,85,2
"H08510-04-01",NA,85,2
"H08510-04-02",0,85,1
"H08602-04-01",5526.76416015625,86,2
"H08602-04-02",0,86,2
"H08602-04-03",3070.42431640625,86,2
"H08603-04-01",6427.9873046875,86,2
"H08605-04-01",17055.3828125,86,2
"H08609-04-01",9204.0234375,86,2
"H08611-04-01",7363.21826171875,86,2
"H08701-04-01",NA,87,2
"H08703-04-01",NA,87,2
"H08704-04-01",NA,87,2
"H08706-04-01",NA,87,2
"H08707-04-01",NA,87,2
"H08708-04-01",NA,87,2
"H08708-04-02",0,87,2
"H08709-04-01",NA,87,2
"H08710-04-01",NA,87,2
"H08801-04-01",NA,88,2
"H08802-04-01",NA,88,2
"H08802-04-02",0,88,2
"H08803-04-01",NA,88,2
"H08804-04-01",NA,88,2
"H08805-04-01",NA,88,2
"H08806-04-01",NA,88,2
"H08810-04-01",NA,88,2
"H08811-04-01",NA,88,2
"H09001-04-01",3242.02783203125,90,1
"H09001-04-02",1512.94641113281,90,1
"H09003-04-01",3836.35815429688,90,2
"H09004-04-01",0,90,1
"H09004-04-02",0,90,2
"H09005-04-01",4538.8388671875,90,2
"H09007-04-01",3170.10864257813,90,2
"H09008-04-01",2968.53833007813,90,1
"H09008-04-02",5442.31982421875,90,1
"H09009-04-01",959.089538574219,90,2
"H09009-04-02",0,90,1
"H09010-04-01",1434.80725097656,90,2
"H09011-04-01",9515.5,90,1
"H09101-04-01",8404.1123046875,91,2
"H09102-04-01",2400.533203125,91,2
"H09103-04-01",717.416625976563,91,2
"H09105-04-01",2178.52099609375,91,2
"H09105-04-02",778.043212890625,91,2
"H09106-04-01",0,91,2
"H09106-04-02",0,91,1
"H09107-04-01",0,91,2
"H09108-04-01",1021.58441162109,91,2
